行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,瑞隆村,154,440,296,890,12,902,0,902,856,1758,51.31
,鹿野村,180,522,484,1186,18,1204,0,1204,930,2134,56.42
,龍田村,100,362,714,1176,16,1192,0,1192,948,2140,55.7
,總計,1106,2812,3342,7260,122,7382,0,7382,6320,13702,53.88
池上鄉,,976,2922,3206,7104,94,7198,0,7198,7000,14198,50.7
,福文村,168,442,464,1074,18,1092,0,1092,1178,2270,48.11
,慶豐村,82,232,272,586,12,598,0,598,720,1318,45.37
,大坡村,56,112,102,270,2,272,0,272,378,650,41.85
,大埔村,102,390,320,812,8,820,0,820,746,1566,52.36
,福原村,272,830,982,2084,30,2114,0,2114,1608,3722,56.8
,錦園村,26,120,216,362,6,368,0,368,332,700,52.57
,新興村,108,330,404,842,6,848,0,848,860,1708,49.65
,萬安村,50,106,202,358,4,362,0,362,300,662,54.68
,富興村,66,180,154,400,2,402,0,402,358,760,52.89
,振興村,46,180,90,316,6,322,0,322,520,842,38.24
,總計,976,2922,3206,7104,94,7198,0,7198,7000,14198,50.7
東河鄉,,1294,3852,2454,7600,76,7676,0,7676,7740,15416,49.79
,北源村,274,704,358,1336,18,1354,0,1354,1922,3276,41.33
,泰源村,264,538,292,1094,10,1104,0,1104,1322,2426,45.51
,東河村,202,570,212,984,6,990,0,990,958,1948,50.82
,尚德村,46,102,124,272,2,274,0,274,284,558,49.1
,隆昌村,76,292,174,542,12,554,0,554,524,1078,51.39
,興昌村,152,452,398,1002,6,1008,0,1008,830,1838,54.84
,都蘭村,280,1194,896,2370,22,2392,0,2392,1900,4292,55.73
,總計,1294,3852,2454,7600,76,7676,0,7676,7740,15416,49.79
長濱鄉,,946,3296,1906,6148,86,6234,0,6234,7076,13310,46.84
,樟原村,114,334,166,614,2,616,0,616,628,1244,49.52
,三間村,166,588,262,1016,4,1020,0,1020,1060,2080,49.04
,忠勇村,54,212,194,460,8,468,0,468,656,1124,41.64
,長濱村,266,958,668,1892,30,1922,0,1922,2024,3946,48.71
,竹湖村,110,408,280,798,18,816,0,816,1006,1822,44.79
,寧埔村,190,702,258,1150,20,1170,0,1170,1436,2606,44.9
,樟原村、三間村,46,94,78,218,4,222,0,222,266,488,45.49
,總計,946,3296,1906,6148,86,6234,0,6234,7076,13310,46.84
太麻里鄉,,1704,4542,4074,10320,144,10464,0,10464,8438,18902,55.36
,美和村,170,416,752,1338,22,1360,0,1360,1114,2474,54.97
,三和村,78,220,348,646,0,646,0,646,560,1206,53.57
,華源村,64,178,488,730,4,734,0,734,490,1224,59.97
,北里村,92,256,276,624,12,636,0,636,456,1092,58.24
,泰和村,272,672,728,1672,26,1698,0,1698,1130,2828,60.04
,大王村,344,872,770,1986,22,2008,0,2008,1526,3534,56.82
,香蘭村,110,320,342,772,18,790,0,790,764,1554,50.84
