行政區別,村里別,周可盛,柯文哲,楊秋興,連勝文,陳永昌,陳菊,馮光遠,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,翠屏里,138,0,6234,0,0,9514,0,15886,264,16150,0,16150,10852,27002,59.81
,宏南里,16,0,1014,0,0,696,0,1726,40,1766,0,1766,946,2712,65.12
,宏毅里,32,0,1174,0,0,2356,0,3562,54,3616,0,3616,1442,5058,71.49
,宏榮里,40,0,1480,0,0,1798,0,3318,52,3370,0,3370,1770,5140,65.56
,廣昌里,52,0,1516,0,0,2780,0,4348,64,4412,0,4412,1492,5904,74.73
,久昌里,28,0,1098,0,0,1926,0,3052,66,3118,0,3118,1808,4926,63.3
,大昌里,42,0,1066,0,0,1622,0,2730,50,2780,0,2780,1324,4104,67.74
,福昌里,26,0,836,0,0,1784,0,2646,44,2690,0,2690,1290,3980,67.59
,盛昌里,66,0,2432,0,0,3916,0,6414,98,6512,0,6512,3330,9842,66.17
,泰昌里,16,0,616,0,0,1244,0,1876,40,1916,0,1916,884,2800,68.43
,興昌里,38,0,1570,0,0,3408,0,5016,78,5094,0,5094,2772,7866,64.76
,建昌里,40,0,1314,0,0,2164,0,3518,70,3588,0,3588,1588,5176,69.32
,宏昌里,34,0,1272,0,0,2288,0,3594,76,3670,0,3670,2004,5674,64.68
,和昌里,32,0,1102,0,0,1670,0,2804,50,2854,0,2854,1256,4110,69.44
,慶昌里,38,0,1628,0,0,2342,0,4008,54,4062,0,4062,2220,6282,64.66
,隆昌里,40,0,1626,0,0,2802,0,4468,88,4556,0,4556,2080,6636,68.66
,秀昌里,46,0,1044,0,0,1666,0,2756,54,2810,0,2810,1294,4104,68.47
,裕昌里,58,0,1430,0,0,3470,0,4958,84,5042,0,5042,2592,7634,66.05
,國昌里,64,0,1370,0,0,2976,0,4410,72,4482,0,4482,1936,6418,69.83
,加昌里,80,0,3530,0,0,5188,0,8798,136,8934,0,8934,6228,15162,58.92
,仁昌里,46,0,1920,0,0,3068,0,5034,98,5132,0,5132,3784,8916,57.56
,藍田里,60,0,1828,0,0,3550,0,5438,94,5532,0,5532,2512,8044,68.77
,中興里,20,0,448,0,0,1490,0,1958,28,1986,0,1986,826,2812,70.63
,中和里,16,0,530,0,0,2194,0,2740,50,2790,0,2790,944,3734,74.72
,總計,1750,0,56794,0,0,119976,0,178520,3026,181546,0,181546,96432,277978,65.31
三民區,,3700,0,106962,0,0,245450,0,356112,5124,361236,0,361236,197446,558682,64.66
,鼎金里,56,0,1128,0,0,3276,0,4460,66,4526,0,4526,3050,7576,59.74
,鼎盛里,80,0,2590,0,0,5756,0,8426,134,8560,0,8560,5180,13740,62.3
,鼎強里,34,0,1274,0,0,3656,0,4964,88,5052,0,5052,2294,7346,68.77
,鼎力里,38,0,1286,0,0,3284,0,4608,66,4674,0,4674,2184,6858,68.15
,鼎西里,86,0,2138,0,0,6202,0,8426,108,8534,0,8534,4770,13304,64.15
,鼎中里,62,0,1232,0,0,3372,0,4666,50,4716,0,4716,1768,6484,72.73
,鼎泰里,216,0,8258,0,0,14000,0,22474,286,22760,0,22760,14250,37010,61.5
,本館里,90,0,3004,0,0,7170,0,10264,142,10406,0,10406,5664,16070,64.75
,本和里,110,0,2862,0,0,5960,0,8932,100,9032,0,9032,4204,13236,68.24
,本文里,36,0,806,0,0,1928,0,2770,50,2820,0,2820,1176,3996,70.57
,本武里,32,0,506,0,0,1550,0,2088,38,2126,0,2126,1094,3220,66.02
,本元里,66,0,2016,0,0,4440,0,6522,108,6630,0,6630,3320,9950,66.63
,本安里,48,0,2012,0,0,3384,0,5444,70,5514,0,5514,2970,8484,64.99
,本上里,88,0,2006,0,0,3462,0,5556,82,5638,0,5638,3126,8764,64.33
,本揚里,78,0,2770,0,0,5338,0,8186,120,8306,0,8306,5564,13870,59.88
,寶獅里,52,0,1408,0,0,3058,0,4518,80,4598,0,4598,2352,6950,66.16
,寶德里,40,0,1876,0,0,4216,0,6132,86,6218,0,6218,3232,9450,65.8
,寶泰里,36,0,1332,0,0,2960,0,4328,50,4378,0,4378,3056,7434,58.89
,寶興里,90,0,2380,0,0,5336,0,7806,130,7936,0,7936,4274,12210,65.0
,寶中里,44,0,1026,0,0,2962,0,4032,58,4090,0,4090,1744,5834,70.11
,寶華里,34,0,1300,0,0,2070,0,3404,52,3456,0,3456,2526,5982,57.77
,寶國里,80,0,2834,0,0,5858,0,8772,146,8918,0,8918,5656,14574,61.19
,寶民里,46,0,1148,0,0,2430,0,3624,38,3662,0,3662,2238,5900,62.07
,寶慶里,30,0,928,0,0,2080,0,3038,36,3074,0,3074,2020,5094,60.35
,寶業里,52,0,1794,0,0,3638,0,5484,76,5560,0,5560,3580,9140,60.83
,寶盛里,54,0,2014,0,0,4040,0,6108,86,6194,0,6194,3158,9352,66.23
,寶安里,110,0,2714,0,0,5378,0,8202,108,8310,0,8310,4862,13172,63.09
,寶龍里,52,0,1496,0,0,3508,0,5056,64,5120,0,5120,2862,7982,64.14
,寶珠里,54,0,1902,0,0,4322,0,6278,84,6362,0,6362,5966,12328,51.61
,寶玉里,78,0,3086,0,0,6302,0,9466,96,9562,0,9562,5690,15252,62.69
,灣子里,48,0,1306,0,0,3070,0,4424,62,4486,0,4486,2610,7096,63.22
,灣愛里,20,0,840,0,0,2722,0,3582,44,3626,0,3626,2316,5942,61.02
,灣中里,56,0,1496,0,0,4212,0,5764,88,5852,0,5852,4370,10222,57.25
,灣華里,28,0,830,0,0,2314,0,3172,36,3208,0,3208,1976,5184,61.88
,灣勝里,36,0,570,0,0,2048,0,2654,56,2710,0,2710,1088,3798,71.35
,灣利里,44,0,1044,0,0,3298,0,4386,52,4438,0,4438,1744,6182,71.79
,灣復里,52,0,1006,0,0,2810,0,3868,40,3908,0,3908,3114,7022,55.65
,正興里,122,0,4118,0,0,8312,0,12552,170,12722,0,12722,8882,21604,58.89
,正順里,56,0,1494,0,0,3398,0,4948,70,5018,0,5018,2370,7388,67.92
,灣興里,20,0,656,0,0,1576,0,2252,34,2286,0,2286,1244,3530,64.76
,灣成里,36,0,804,0,0,2052,0,2892,38,2930,0,2930,1304,4234,69.2
,安康里,28,0,918,0,0,2728,0,3674,58,3732,0,3732,2002,5734,65.09
,安寧里,26,0,540,0,0,1818,0,2384,50,2434,0,2434,1268,3702,65.75
,安吉里,72,0,1802,0,0,3778,0,5652,66,5718,0,5718,3432,9150,62.49
,安發里,98,0,1784,0,0,3634,0,5516,64,5580,0,5580,3136,8716,64.02
,安東里,36,0,1170,0,0,2770,0,3976,62,4038,0,4038,1572,5610,71.98
,安和里,38,0,892,0,0,2720,0,3650,64,3714,0,3714,1264,4978,74.61
,達德里,8,0,464,0,0,1328,0,1800,24,1824,0,1824,854,2678,68.11
,達明里,18,0,540,0,0,1534,0,2092,28,2120,0,2120,934,3054,69.42
,達仁里,20,0,680,0,0,1560,0,2260,42,2302,0,2302,716,3018,76.28
,達勇里,12,0,436,0,0,936,0,1384,32,1416,0,1416,536,1952,72.54
,同德里,52,0,966,0,0,2552,0,3570,72,3642,0,3642,1768,5410,67.32
,德智里,62,0,978,0,0,2164,0,3204,58,3262,0,3262,1238,4500,72.49
,德仁里,26,0,778,0,0,1636,0,2440,20,2460,0,2460,1378,3838,64.1
,安生里,22,0,550,0,0,1628,0,2200,28,2228,0,2228,670,2898,76.88
,德東里,14,0,320,0,0,818,0,1152,22,1174,0,1174,438,1612,72.83
,德行里,18,0,364,0,0,1164,0,1546,28,1574,0,1574,588,2162,72.8
,精華里,18,0,652,0,0,1448,0,2118,14,2132,0,2132,888,3020,70.6
,民享里,16,0,668,0,0,1868,0,2552,40,2592,0,2592,1426,4018,64.51
,安宜里,54,0,1220,0,0,3354,0,4628,92,4720,0,4720,1426,6146,76.8
,安泰里,54,0,1536,0,0,3636,0,5226,94,5320,0,5320,2228,7548,70.48
,安邦里,24,0,1246,0,0,3234,0,4504,72,4576,0,4576,2952,7528,60.79
,十全里,26,0,554,0,0,1594,0,2174,34,2208,0,2208,804,3012,73.31
,十美里,26,0,610,0,0,1644,0,2280,36,2316,0,2316,1266,3582,64.66
,德北里,30,0,646,0,0,1730,0,2406,34,2440,0,2440,1330,3770,64.72
,立誠里,8,0,256,0,0,714,0,978,12,990,0,990,504,1494,66.27
,立業里,18,0,394,0,0,1018,0,1430,14,1444,0,1444,538,1982,72.86
,港東里,34,0,456,0,0,1254,0,1744,24,1768,0,1768,954,2722,64.95
,港新里,18,0,602,0,0,1152,0,1772,32,1804,0,1804,950,2754,65.5
,港西里,6,0,258,0,0,616,0,880,24,904,0,904,638,1542,58.63
,博愛里,24,0,558,0,0,1040,0,1622,14,1636,0,1636,840,2476,66.07
,博惠里,54,0,1588,0,0,3610,0,5252,84,5336,0,5336,2646,7982,66.85
,長明里,4,0,438,0,0,836,0,1278,26,1304,0,1304,826,2130,61.22
,建東里,4,0,420,0,0,860,0,1284,20,1304,0,1304,1084,2388,54.61
,興德里,20,0,664,0,0,1394,0,2078,10,2088,0,2088,1372,3460,60.35
,鳳南里,8,0,308,0,0,1026,0,1342,22,1364,0,1364,526,1890,72.17
,鳳北里,22,0,540,0,0,1620,0,2182,40,2222,0,2222,570,2792,79.58
,德西里,16,0,342,0,0,882,0,1240,28,1268,0,1268,502,1770,71.64
,豐裕里,36,0,894,0,0,2344,0,3274,56,3330,0,3330,1692,5022,66.31
,川東里,16,0,392,0,0,1252,0,1660,20,1680,0,1680,792,2472,67.96
,裕民里,28,0,502,0,0,1222,0,1752,34,1786,0,1786,636,2422,73.74
,力行里,16,0,498,0,0,1236,0,1750,12,1762,0,1762,440,2202,80.02
,千歲里,12,0,528,0,0,1052,0,1592,32,1624,0,1624,620,2244,72.37
,立德里,18,0,524,0,0,1034,0,1576,24,1600,0,1600,660,2260,70.8
,千北里,22,0,474,0,0,1156,0,1652,34,1686,0,1686,486,2172,77.62
,千秋里,28,0,722,0,0,2108,0,2858,40,2898,0,2898,1208,4106,70.58
,總計,3700,0,106962,0,0,245450,0,356112,5124,361236,0,361236,197446,558682,64.66
新興區,,598,0,18448,0,0,35770,0,54816,836,55652,0,55652,32314,87966,63.27
,浩然里,28,0,886,0,0,1334,0,2248,36,2284,0,2284,1408,3692,61.86
,振成里,22,0,488,0,0,898,0,1408,24,1432,0,1432,784,2216,64.62
,德生里,40,0,1232,0,0,1970,0,3242,44,3286,0,3286,2376,5662,58.04
,振華里,22,0,550,0,0,844,0,1416,18,1434,0,1434,836,2270,63.17
,正氣里,38,0,780,0,0,1148,0,1966,40,2006,0,2006,858,2864,70.04
,德政里,18,0,332,0,0,596,0,946,26,972,0,972,396,1368,71.05
,仁聲里,4,0,372,0,0,646,0,1022,14,1036,0,1036,904,1940,53.4
,德望里,30,0,912,0,0,1568,0,2510,48,2558,0,2558,1410,3968,64.47
,華聲里,10,0,416,0,0,880,0,1306,10,1316,0,1316,650,1966,66.94
,蕉園里,20,0,328,0,0,700,0,1048,8,1056,0,1056,406,1462,72.23
,永寧里,16,0,564,0,0,1026,0,1606,46,1652,0,1652,1022,2674,61.78
,玉衡里,10,0,372,0,0,800,0,1182,18,1200,0,1200,492,1692,70.92
,順昌里,18,0,744,0,0,1532,0,2294,36,2330,0,2330,1354,3684,63.25
,文昌里,20,0,1142,0,0,1830,0,2992,44,3036,0,3036,1778,4814,63.07
,光耀里,28,0,1042,0,0,1750,0,2820,42,2862,0,2862,1624,4486,63.8
,興昌里,8,0,780,0,0,1414,0,2202,34,2236,0,2236,1168,3404,65.69
,開平里,40,0,1338,0,0,2524,0,3902,34,3936,0,3936,2532,6468,60.85
,成功里,24,0,596,0,0,768,0,1388,14,1402,0,1402,790,2192,63.96
,新江里,10,0,356,0,0,1040,0,1406,22,1428,0,1428,852,2280,62.63
,黎明里,8,0,322,0,0,774,0,1104,10,1114,0,1114,576,1690,65.92
,愛平里,8,0,382,0,0,770,0,1160,16,1176,0,1176,784,1960,60.0
,南港里,30,0,606,0,0,1962,0,2598,38,2636,0,2636,1214,3850,68.47
,中東里,26,0,970,0,0,1642,0,2638,54,2692,0,2692,2678,5370,50.13
,明莊里,8,0,242,0,0,670,0,920,36,956,0,956,420,1376,69.48
,大明里,16,0,412,0,0,1046,0,1474,30,1504,0,1504,660,2164,69.5
,秋山里,8,0,260,0,0,718,0,986,8,994,0,994,662,1656,60.02
,長驛里,12,0,290,0,0,756,0,1058,12,1070,0,1070,760,1830,58.47
,建興里,12,0,314,0,0,834,0,1160,12,1172,0,1172,676,1848,63.42
,建華里,22,0,328,0,0,804,0,1154,18,1172,0,1172,534,1706,68.7
,漢民里,16,0,270,0,0,720,0,1006,14,1020,0,1020,438,1458,69.96
,榮治里,12,0,356,0,0,568,0,936,14,950,0,950,528,1478,64.28
,東坡里,14,0,466,0,0,1238,0,1718,16,1734,0,1734,744,2478,69.98
,總計,598,0,18448,0,0,35770,0,54816,836,55652,0,55652,32314,87966,63.27
前金區,,344,0,9904,0,0,19252,0,29500,494,29994,0,29994,17776,47770,62.79
,三川里,10,0,238,0,0,760,0,1008,12,1020,0,1020,380,1400,72.86
,草江里,20,0,470,0,0,814,0,1304,18,1322,0,1322,752,2074,63.74
,長城里,14,0,414,0,0,1286,0,1714,22,1736,0,1736,984,2720,63.82
,北金里,10,0,358,0,0,872,0,1240,16,1256,0,1256,514,1770,70.96
,東金里,20,0,380,0,0,904,0,1304,28,1332,0,1332,608,1940,68.66
,新生里,46,0,1550,0,0,2480,0,4076,74,4150,0,4150,2722,6872,60.39
,後金里,10,0,342,0,0,598,0,950,14,964,0,964,550,1514,63.67
,長興里,14,0,454,0,0,846,0,1314,12,1326,0,1326,924,2250,58.93
,青山里,16,0,690,0,0,1210,0,1916,20,1936,0,1936,1190,3126,61.93
,民生里,10,0,278,0,0,552,0,840,8,848,0,848,650,1498,56.61
,復元里,20,0,448,0,0,746,0,1214,8,1222,0,1222,752,1974,61.9
,林投里,24,0,346,0,0,854,0,1224,22,1246,0,1246,790,2036,61.2
,國民里,14,0,354,0,0,686,0,1054,36,1090,0,1090,880,1970,55.33
,社東里,32,0,742,0,0,1216,0,1990,48,2038,0,2038,1106,3144,64.82
,社西里,8,0,440,0,0,776,0,1224,10,1234,0,1234,772,2006,61.52
,博孝里,6,0,380,0,0,730,0,1116,28,1144,0,1144,700,1844,62.04
,長生里,20,0,724,0,0,1130,0,1874,40,1914,0,1914,1342,3256,58.78
,榮復里,10,0,388,0,0,1010,0,1408,32,1440,0,1440,744,2184,65.93
,文西里,18,0,340,0,0,790,0,1148,18,1166,0,1166,632,1798,64.85
,文東里,22,0,568,0,0,992,0,1582,28,1610,0,1610,784,2394,67.25
,總計,344,0,9904,0,0,19252,0,29500,494,29994,0,29994,17776,47770,62.79
苓雅區,,2124,0,62374,0,0,121858,0,186356,2938,189294,0,189294,101878,291172,65.01
,博仁里,12,0,310,0,0,504,0,826,16,842,0,842,480,1322,63.69
,苓洲里,40,0,582,0,0,1088,0,1710,20,1730,0,1730,1140,2870,60.28
,苓昇里,8,0,502,0,0,1238,0,1748,42,1790,0,1790,672,2462,72.71
,苓中里,18,0,470,0,0,1524,0,2012,24,2036,0,2036,1194,3230,63.03
,苓雅里,28,0,692,0,0,1234,0,1954,24,1978,0,1978,930,2908,68.02
,苓東里,20,0,482,0,0,1290,0,1792,24,1816,0,1816,1152,2968,61.19
,城北里,16,0,476,0,0,1174,0,1666,22,1688,0,1688,1204,2892,58.37
,城西里,8,0,210,0,0,610,0,828,4,832,0,832,308,1140,72.98
,城東里,18,0,690,0,0,1530,0,2238,32,2270,0,2270,1630,3900,58.21
,意誠里,36,0,1362,0,0,2554,0,3952,64,4016,0,4016,3002,7018,57.22
,鼓中里,10,0,426,0,0,1018,0,1454,26,1480,0,1480,498,1978,74.82
,田西里,10,0,518,0,0,1088,0,1616,40,1656,0,1656,952,2608,63.5
,人和里,30,0,704,0,0,1548,0,2282,28,2310,0,2310,1266,3576,64.6
,仁政里,8,0,542,0,0,898,0,1448,22,1470,0,1470,966,2436,60.34
,廣澤里,36,0,700,0,0,1740,0,2476,46,2522,0,2522,1066,3588,70.29
,美田里,24,0,502,0,0,974,0,1500,22,1522,0,1522,782,2304,66.06
,華堂里,34,0,1116,0,0,2424,0,3574,48,3622,0,3622,2310,5932,61.06
,日中里,32,0,822,0,0,1750,0,2604,44,2648,0,2648,1644,4292,61.7
,普照里,24,0,1174,0,0,2184,0,3382,52,3434,0,3434,2208,5642,60.86
,和煦里,32,0,956,0,0,1680,0,2668,32,2700,0,2700,1282,3982,67.81
,晴朗里,8,0,518,0,0,998,0,1524,18,1542,0,1542,2502,4044,38.13
,普天里,40,0,1192,0,0,2282,0,3514,62,3576,0,3576,2534,6110,58.53
,林富里,38,0,864,0,0,1352,0,2254,22,2276,0,2276,1272,3548,64.15
,林圍里,34,0,1184,0,0,1584,0,2802,52,2854,0,2854,1624,4478,63.73
,林安里,30,0,822,0,0,1156,0,2008,32,2040,0,2040,812,2852,71.53
,光華里,4,0,208,0,0,754,0,966,14,980,0,980,398,1378,71.12
,林興里,22,0,422,0,0,1280,0,1724,28,1752,0,1752,914,2666,65.72
,林華里,26,0,1076,0,0,2406,0,3508,52,3560,0,3560,1860,5420,65.68
,林西里,32,0,664,0,0,1284,0,1980,10,1990,0,1990,1124,3114,63.9
,林中里,56,0,1228,0,0,2468,0,3752,84,3836,0,3836,1982,5818,65.93
