行政區別,村里別,璩美鳳,蘇煥智,蘇盈貴,陳其邁,陳永和,韓國瑜,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,雙榮里,160,0,12,1440,2116,72,3800,40,3840,0,3840,2288,6128,62.66
,瑞坪里,258,0,30,2812,2842,94,6036,70,6106,0,6106,4542,10648,57.34
,永平里,120,0,12,924,1078,50,2184,28,2212,0,2212,1460,3672,60.24
,瑞溪里,112,0,16,1348,1788,52,3316,44,3360,0,3360,3332,6692,50.21
,高上里,176,0,18,1102,1898,46,3240,74,3314,0,3314,1906,5220,63.49
,富豐里,186,0,20,1308,1964,24,3502,76,3578,0,3578,2064,5642,63.42
,裕新里,102,0,24,1016,962,22,2126,30,2156,0,2156,2268,4424,48.73
,三民里,180,0,18,1672,1742,50,3662,56,3718,0,3718,2590,6308,58.94
,頭湖里,152,0,20,1358,1710,44,3284,90,3374,0,3374,1934,5308,63.56
,總計,6774,0,696,65076,80544,2408,155498,2480,157978,0,157978,107220,265198,59.57
蘆竹區,,8394,0,428,48328,83876,3220,144246,2450,146696,0,146696,100706,247402,59.29
,新興里,182,0,14,738,2274,62,3270,56,3326,0,3326,2242,5568,59.73
,中福里,234,0,8,1038,2798,72,4150,66,4216,0,4216,3122,7338,57.45
,新莊里,366,0,14,1492,3234,108,5214,78,5292,0,5292,3912,9204,57.5
,大竹里,292,0,10,1820,2664,84,4870,78,4948,0,4948,4040,8988,55.05
,蘆竹里,272,0,8,992,2906,86,4264,88,4352,0,4352,3518,7870,55.3
,南崁里,258,0,20,1376,2346,94,4094,86,4180,0,4180,2690,6870,60.84
,錦興里,276,0,6,1346,2616,68,4312,98,4410,0,4410,2832,7242,60.89
,五福里,162,0,4,1114,1484,58,2822,52,2874,0,2874,1682,4556,63.08
,內厝里,190,0,14,816,1888,60,2968,48,3016,0,3016,1860,4876,61.85
,山鼻里,154,0,20,626,1576,38,2414,58,2472,0,2472,948,3420,72.28
,山腳里,236,0,14,916,2862,90,4118,74,4192,0,4192,2726,6918,60.6
,外社里,160,0,18,378,1654,30,2240,50,2290,0,2290,596,2886,79.35
,坑子里,122,0,14,380,1900,26,2442,56,2498,0,2498,730,3228,77.39
,坑口里,186,0,8,766,2344,58,3362,100,3462,0,3462,1328,4790,72.28
,海湖里,258,0,8,1266,2366,98,3996,84,4080,0,4080,1522,5602,72.83
,南榮里,166,0,2,1246,1974,80,3468,42,3510,0,3510,2562,6072,57.81
,南興里,304,0,8,2186,2646,174,5318,78,5396,0,5396,4166,9562,56.43
,長興里,228,0,12,898,1848,56,3042,78,3120,0,3120,1838,4958,62.93
,錦中里,170,0,10,1214,1872,82,3348,62,3410,0,3410,2666,6076,56.12
,富竹里,100,0,4,310,1192,32,1638,24,1662,0,1662,904,2566,64.77
,上竹里,228,0,8,1268,2160,76,3740,48,3788,0,3788,2788,6576,57.6
,宏竹里,246,0,24,1080,2388,56,3794,94,3888,0,3888,1838,5726,67.9
,瓦窯里,184,0,24,1602,1686,70,3566,86,3652,0,3652,2454,6106,59.81
,營盤里,242,0,14,1878,2440,96,4670,52,4722,0,4722,4026,8748,53.98
,羊稠里,204,0,8,1774,2260,118,4364,50,4414,0,4414,3674,8088,54.57
,順興里,198,0,6,1322,1976,130,3632,42,3674,0,3674,3134,6808,53.97
,福昌里,218,0,12,1932,2482,142,4786,70,4856,0,4856,4556,9412,51.59
,福興里,190,0,6,1326,1874,148,3544,38,3582,0,3582,2826,6408,55.9
,蘆興里,200,0,10,640,1284,34,2168,44,2212,0,2212,884,3096,71.45
,長壽里,294,0,12,2518,2966,164,5954,82,6036,0,6036,4180,10216,59.08
,吉祥里,172,0,4,1738,1908,82,3904,34,3938,0,3938,2712,6650,59.22
,中山里,172,0,4,1372,1682,68,3298,46,3344,0,3344,2558,5902,56.66
,福祿里,142,0,10,1206,1978,98,3434,44,3478,0,3478,2508,5986,58.1
,興榮里,146,0,8,1290,1538,66,3048,44,3092,0,3092,2156,5248,58.92
,中興里,306,0,12,1532,2650,90,4590,50,4640,0,4640,4202,8842,52.48
,上興里,246,0,20,1222,2076,42,3606,36,3642,0,3642,2496,6138,59.34
,營福里,178,0,4,1248,1778,98,3306,70,3376,0,3376,2640,6016,56.12
,正興里,262,0,10,1480,2424,128,4304,68,4372,0,4372,3696,8068,54.19
,濱海里,250,0,16,982,1882,58,3188,96,3284,0,3284,1494,4778,68.73
,總計,8394,0,428,48328,83876,3220,144246,2450,146696,0,146696,100706,247402,59.29
大園區,,5016,0,402,27730,55304,1590,90042,1746,91788,0,91788,50320,142108,64.59
,大園里,478,0,32,2496,4306,114,7426,168,7594,0,7594,4256,11850,64.08
,田心里,404,0,30,2304,4752,146,7636,170,7806,0,7806,4646,12452,62.69
,溪海里,254,0,24,1592,3560,66,5496,126,5622,0,5622,3276,8898,63.18
,和平里,102,0,20,592,1658,32,2404,44,2448,0,2448,684,3132,78.16
,橫峰里,520,0,34,3792,6700,214,11260,166,11426,0,11426,7790,19216,59.46
,五權里,420,0,18,1486,4074,116,6114,138,6252,0,6252,3092,9344,66.91
,埔心里,398,0,32,2092,4558,114,7194,124,7318,0,7318,4052,11370,64.36
,大海里,118,0,6,844,1120,24,2112,54,2166,0,2166,986,3152,68.72
,三石里,200,0,18,1154,2454,82,3908,54,3962,0,3962,1590,5552,71.36
,菓林里,464,0,30,2332,4596,198,7620,102,7722,0,7722,5500,13222,58.4
,竹圍里,220,0,18,1396,2544,92,4270,72,4342,0,4342,1820,6162,70.46
,海口里,146,0,6,880,1258,42,2332,60,2392,0,2392,1114,3506,68.23
,沙崙里,220,0,22,1174,2172,64,3652,102,3754,0,3754,1534,5288,70.99
,後厝里,216,0,16,1066,2100,76,3474,72,3546,0,3546,1180,4726,75.03
,圳頭里,174,0,24,846,2094,48,3186,66,3252,0,3252,1640,4892,66.48
,內海里,202,0,16,890,2000,30,3138,70,3208,0,3208,1012,4220,76.02
,北港里,190,0,36,920,2264,54,3464,46,3510,0,3510,1618,5128,68.45
,南港里,290,0,20,1874,3094,78,5356,112,5468,0,5468,4530,9998,54.69
,總計,5016,0,402,27730,55304,1590,90042,1746,91788,0,91788,50320,142108,64.59
龜山區,,8142,0,512,53582,79996,2744,144976,2720,147696,0,147696,105270,252966,58.39
,楓樹里,238,0,12,1396,2576,94,4316,70,4386,0,4386,2784,7170,61.17
,龜山里,438,0,16,2736,4074,144,7408,106,7514,0,7514,5434,12948,58.03
,兔坑里,244,0,6,1598,2976,90,4914,122,5036,0,5036,3298,8334,60.43
,大同里,402,0,12,2478,3714,142,6748,144,6892,0,6892,4140,11032,62.47
,山福里,256,0,12,1402,2222,64,3956,74,4030,0,4030,2252,6282,64.15
,山頂里,406,0,28,2176,3332,116,6058,76,6134,0,6134,4214,10348,59.28
,陸光里,230,0,12,3564,724,82,4612,90,4702,0,4702,2322,7024,66.94
,精忠里,240,0,14,3000,2232,112,5598,106,5704,0,5704,3996,9700,58.8
,公西里,20,0,14,594,812,20,1460,22,1482,0,1482,736,2218,66.82
,樂善里,196,0,26,1240,2378,38,3878,90,3968,0,3968,2830,6798,58.37
,南上里,136,0,6,660,1266,40,2108,40,2148,0,2148,1400,3548,60.54
,大坑里,152,0,14,600,1326,52,2144,44,2188,0,2188,1508,3696,59.2
,中興里,278,0,4,1798,2956,98,5134,94,5228,0,5228,3942,9170,57.01
,山德里,276,0,16,1674,2870,108,4944,86,5030,0,5030,4400,9430,53.34
,新路里,372,0,12,2446,3698,116,6644,94,6738,0,6738,3802,10540,63.93
,嶺頂里,238,0,16,1364,2632,72,4322,84,4406,0,4406,3216,7622,57.81
,龍壽里,116,0,24,500,1500,48,2188,46,2234,0,2234,1130,3364,66.41
,舊路里,168,0,6,816,1888,36,2914,84,2998,0,2998,1698,4696,63.84
,大崗里,266,0,6,1348,2298,76,3994,118,4112,0,4112,3674,7786,52.81
,文化里,472,0,16,2198,3436,94,6216,146,6362,0,6362,5032,11394,55.84
,南美里,126,0,24,866,1474,46,2536,48,2584,0,2584,1778,4362,59.24
