行政區別,村里別,何孟樺,侯漢廷,劉仕傑,劉榮之,劉耀仁,吳世正,吳崢,吳志剛,吳怡萱,吳欣岱,吳沛憶,吳蕚洋,呂增塔,張四維,張幸松,張志豪,張文潔,張斯綱,張榮法,張渝江,徐千淳,徐巧芯,徐弘庭,徐正文,徐立信,應曉薇,戴錫欽,曾獻瑩,曾琳詒,李光輝,李建昌,李彥秀,李明賢,李有宜,李柏毅,李菁琪,林世宗,林亮君,林元敏,林婕麗,林岳龍,林延鳳,林志穎,林杏兒,林柏勛,林泓泰,林珍羽,林瑞圖,林穎孟,柳采葳,梁文傑,楊寶楨,楊植斗,楊靜宇,江志銘,汪志冰,洪健益,洪士奇,洪婉臻,游淑慧,王世堅,王孝維,王欣儀,王郁揚,王閔生,王鴻薇,王麒傑,秦慧珠,簡舒培,耿葳,苗博雅,華珮君,葉林傳,蘇府庭,蘇恆,許家蓓,許淑華,詹晉鑒,詹為元,趙怡翔,連紹傑,邵維倫,郝淑薏,郭昭巖,郭智亭,郭榮先,鄭建炘,鄭淑娟,鄭穎隆,鍾佩玲,鍾小平,鍾沛君,闕枚莎,陳宥丞,陳志明,陳思宇,陳怡君,陳慈慧,陳政忠,陳樹霖,陳炳甫,陳聖文,陳賢蔚,陳重文,陳錦祥,項豪,顏若芳,高世俊,高揚凱,高毓安,黃瀞瑩,黃郁芬
中山區,永安里,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,836.0,,270.0,,,,,,,818.0,,,1488.0,712.0,,,,,,,,,,1458.0,,,,,,,,,,,,854.0,,,,,,,,72.0,,,,,,,,,,,,,,,,584.0,,,,1324.0,,,,,,1204.0,194.0,,,,
中山區,江寧里,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,542.0,,140.0,,,,,,,632.0,,,804.0,506.0,,,,,,,,,,1134.0,,,,,,,,,,,,928.0,,,,,,,,72.0,,,,,,,,,,,,,,,,716.0,,,,916.0,,,,,,766.0,194.0,,,,
中山區,江山里,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,708.0,,148.0,,,,,,,754.0,,,916.0,602.0,,,,,,,,,,1304.0,,,,,,,,,,,,822.0,,,,,,,,50.0,,,,,,,,,,,,,,,,684.0,,,,746.0,,,,,,1052.0,174.0,,,,
中山區,聚盛里,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,234.0,,90.0,,,,,,,382.0,,,386.0,314.0,,,,,,,,,,566.0,,,,,,,,,,,,880.0,,,,,,,,20.0,,,,,,,,,,,,,,,,262.0,,,,370.0,,,,,,370.0,96.0,,,,
中山區,聚葉里,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,292.0,,60.0,,,,,,,362.0,,,434.0,366.0,,,,,,,,,,772.0,,,,,,,,,,,,410.0,,,,,,,,34.0,,,,,,,,,,,,,,,,280.0,,,,532.0,,,,,,396.0,66.0,,,,
中山區,興亞里,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,450.0,,64.0,,,,,,,478.0,,,544.0,434.0,,,,,,,,,,918.0,,,,,,,,,,,,970.0,,,,,,,,46.0,,,,,,,,,,,,,,,,408.0,,,,512.0,,,,,,690.0,98.0,,,,
中山區,行仁里,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,548.0,,150.0,,,,,,,876.0,,,914.0,566.0,,,,,,,,,,1236.0,,,,,,,,,,,,766.0,,,,,,,,80.0,,,,,,,,,,,,,,,,1116.0,,,,880.0,,,,,,1186.0,202.0,,,,
中山區,行孝里,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,386.0,,158.0,,,,,,,536.0,,,452.0,272.0,,,,,,,,,,742.0,,,,,,,,,,,,380.0,,,,,,,,30.0,,,,,,,,,,,,,,,,506.0,,,,428.0,,,,,,630.0,116.0,,,,
中山區,行政里,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,424.0,,136.0,,,,,,,742.0,,,740.0,386.0,,,,,,,,,,960.0,,,,,,,,,,,,716.0,,,,,,,,50.0,,,,,,,,,,,,,,,,578.0,,,,698.0,,,,,,952.0,132.0,,,,
中山區,金泰里,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,616.0,,188.0,,,,,,,636.0,,,912.0,468.0,,,,,,,,,,1306.0,,,,,,,,,,,,1114.0,,,,,,,,100.0,,,,,,,,,,,,,,,,506.0,,,,984.0,,,,,,742.0,200.0,,,,
中山區,集英里,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,702.0,,112.0,,,,,,,636.0,,,740.0,578.0,,,,,,,,,,1184.0,,,,,,,,,,,,516.0,,,,,,,,62.0,,,,,,,,,,,,,,,,572.0,,,,874.0,,,,,,996.0,94.0,,,,
中山區,龍洲里,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,332.0,,274.0,,,,,,,656.0,,,1230.0,248.0,,,,,,,,,,590.0,,,,,,,,,,,,1030.0,,,,,,,,44.0,,,,,,,,,,,,,,,,254.0,,,,506.0,,,,,,318.0,150.0,,,,
