行政區別,村里別,伍大辰,侯漢廷,劉仕傑,劉耀仁,吳世正,吳崢,吳志剛,吳曉東,吳沛憶,周威佑,周柏雅,張凱鈞,張斯綱,張東隆,張榮法,張秀葉,張茂楠,徐世勲,徐巧芯,徐弘庭,徐書慧,徐立信,應曉薇,戴錫欽,曾勁元,李克焜,李建昌,李志恒,李慶元,李慶鋒,李明賢,李柏毅,李美津,李茂榮,杜彩菊,林世宗,林亭君,林亮君,林國成,林婕麗,林明正,林杏兒,林柏勛,林瑞圖,林穎孟,林逸萍,梁文傑,楊仟慧,楊時睿,楊靜宇,歐陽龍,江志銘,汪志冰,洪健益,洪士奇,游淑慧,游藝,潘懷宗,潘翰疆,王世堅,王奕凱,王威中,王孝維,王振鴻,王映心,王欣儀,王正德,王浩,王致雅,王芝安,王閔生,王鴻芸,王鴻薇,秦慧珠,簡舒培,羅智強,耿葳,苗博雅,葉智遠,葉林傳,葉海瑞,蔡宜珊,蕭新晟,蕭瑞麟,蕭筱臻,蕭赫麟,蘇恆,許家蓓,許淑華,許菡芸,謝維洲,趙家蓉,邱威傑,郭昭巖,鄭建炘,鍾佩玲,鍾小平,鍾沛君,闕枚莎,阮昭雄,陳又新,陳婕瑄,陳建銘,陳彥伯,陳怡君,陳慈慧,陳政忠,陳永德,陳炳甫,陳義洲,陳賢蔚,陳重文,陳錦祥,顏聖冠,顏若芳,高嘉瑜,黃德北,黃珊珊,黃郁芬,黃麗香,龔偉綸
中山區,集英里,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,8.0,,566.0,760.0,498.0,166.0,,,,,,,764.0,38.0,,,,,,,,,,,62.0,748.0,,,,,,,,512.0,,,,12.0,,,,,,,,688.0,,,,,,,226.0,,,,,,,,,,,,,,,,,,596.0,,,,746.0,,,,,,710.0,,,,,12.0,
中山區,龍洲里,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,474.0,432.0,986.0,134.0,,,,,,,254.0,12.0,,,,,,,,,,,50.0,218.0,,,,,,,,868.0,,,,14.0,,,,,,,,1140.0,,,,,,,496.0,,,,,,,,,,,,,,,,,,248.0,,,,352.0,,,,,,154.0,,,,,0.0,
中正區,三愛里,2.0,,,654.0,,,864.0,,1220.0,486.0,,,,,294.0,10.0,,,,,,860.0,618.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,120.0,,,,,,,,478.0,,,,592.0,,,1816.0,,,,,58.0,,,,,,,,,,,,566.0,,,,,,,12.0
中正區,光復里,10.0,,,178.0,,,426.0,,512.0,252.0,,,,,124.0,6.0,,,,,,380.0,300.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,48.0,,,,,,,,116.0,,,,544.0,,,512.0,,,,,22.0,,,,,,,,,,,,352.0,,,,,,,10.0
中正區,南福里,22.0,,,368.0,,,1264.0,,1308.0,464.0,,,,,408.0,10.0,,,,,,1220.0,842.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,98.0,,,,,,,,406.0,,,,1022.0,,,1748.0,,,,,44.0,,,,,,,,,,,,1378.0,,,,,,,16.0
中正區,南門里,6.0,,,148.0,,,304.0,,292.0,160.0,,,,,102.0,6.0,,,,,,462.0,332.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,24.0,,,,,,,,80.0,,,,302.0,,,540.0,,,,,14.0,,,,,,,,,,,,140.0,,,,,,,2.0
中正區,富水里,10.0,,,118.0,,,164.0,,256.0,94.0,,,,,192.0,6.0,,,,,,214.0,288.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,38.0,,,,,,,,102.0,,,,582.0,,,382.0,,,,,8.0,,,,,,,,,,,,70.0,,,,,,,2.0
中正區,幸市里,10.0,,,252.0,,,556.0,,734.0,356.0,,,,,156.0,4.0,,,,,,534.0,330.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,82.0,,,,,,,,198.0,,,,370.0,,,840.0,,,,,2.0,,,,,,,,,,,,344.0,,,,,,,10.0
中正區,幸福里,6.0,,,258.0,,,454.0,,562.0,212.0,,,,,206.0,2.0,,,,,,602.0,334.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,44.0,,,,,,,,192.0,,,,682.0,,,712.0,,,,,22.0,,,,,,,,,,,,346.0,,,,,,,4.0
中正區,廈安里,6.0,,,282.0,,,328.0,,508.0,352.0,,,,,138.0,2.0,,,,,,774.0,246.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,46.0,,,,,,,,166.0,,,,862.0,,,442.0,,,,,18.0,,,,,,,,,,,,256.0,,,,,,,4.0
中正區,建國里,0.0,,,52.0,,,230.0,,180.0,94.0,,,,,52.0,2.0,,,,,,182.0,112.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,18.0,,,,,,,,36.0,,,,174.0,,,226.0,,,,,2.0,,,,,,,,,,,,86.0,,,,,,,2.0
中正區,忠勤里,26.0,,,362.0,,,456.0,,710.0,298.0,,,,,230.0,18.0,,,,,,1012.0,530.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,64.0,,,,,,,,190.0,,,,1150.0,,,992.0,,,,,22.0,,,,,,,,,,,,518.0,,,,,,,8.0
中正區,愛國里,6.0,,,260.0,,,396.0,,388.0,322.0,,,,,104.0,0.0,,,,,,460.0,196.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,50.0,,,,,,,,114.0,,,,298.0,,,426.0,,,,,8.0,,,,,,,,,,,,204.0,,,,,,,2.0
中正區,文北里,6.0,,,364.0,,,788.0,,736.0,338.0,,,,,254.0,8.0,,,,,,650.0,358.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,86.0,,,,,,,,288.0,,,,362.0,,,998.0,,,,,12.0,,,,,,,,,,,,370.0,,,,,,,10.0
中正區,文盛里,2.0,,,224.0,,,226.0,,320.0,194.0,,,,,154.0,6.0,,,,,,190.0,210.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,20.0,,,,,,,,122.0,,,,234.0,,,508.0,,,,,24.0,,,,,,,,,,,,160.0,,,,,,,4.0
中正區,文祥里,18.0,,,430.0,,,1020.0,,1020.0,420.0,,,,,284.0,6.0,,,,,,1058.0,470.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,122.0,,,,,,,,380.0,,,,660.0,,,1260.0,,,,,22.0,,,,,,,,,,,,520.0,,,,,,,2.0
中正區,新營里,14.0,,,264.0,,,1028.0,,1002.0,348.0,,,,,414.0,2.0,,,,,,1066.0,716.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,88.0,,,,,,,,368.0,,,,808.0,,,1804.0,,,,,34.0,,,,,,,,,,,,596.0,,,,,,,10.0
中正區,東門里,0.0,,,198.0,,,344.0,,476.0,188.0,,,,,206.0,2.0,,,,,,408.0,382.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,44.0,,,,,,,,178.0,,,,772.0,,,578.0,,,,,12.0,,,,,,,,,,,,250.0,,,,,,,4.0
中正區,板溪里,10.0,,,184.0,,,282.0,,382.0,210.0,,,,,134.0,8.0,,,,,,468.0,424.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,62.0,,,,,,,,140.0,,,,430.0,,,620.0,,,,,6.0,,,,,,,,,,,,342.0,,,,,,,4.0
中正區,林興里,18.0,,,272.0,,,478.0,,556.0,204.0,,,,,226.0,18.0,,,,,,390.0,478.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,78.0,,,,,,,,188.0,,,,574.0,,,1068.0,,,,,10.0,,,,,,,,,,,,296.0,,,,,,,12.0
中正區,梅花里,2.0,,,218.0,,,392.0,,508.0,172.0,,,,,80.0,0.0,,,,,,338.0,254.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,34.0,,,,,,,,158.0,,,,274.0,,,576.0,,,,,6.0,,,,,,,,,,,,224.0,,,,,,,14.0
中正區,水源里,12.0,,,202.0,,,204.0,,430.0,276.0,,,,,134.0,2.0,,,,,,310.0,266.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,20.0,,,,,,,,148.0,,,,532.0,,,362.0,,,,,16.0,,,,,,,,,,,,142.0,,,,,,,0.0
中正區,永功里,10.0,,,518.0,,,472.0,,854.0,402.0,,,,,172.0,10.0,,,,,,950.0,466.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,114.0,,,,,,,,220.0,,,,1052.0,,,670.0,,,,,28.0,,,,,,,,,,,,408.0,,,,,,,8.0
