行政區別,村里別,唐新民,張家豪,施奉先,王文娟,童文薰,蔣萬安,蘇煥智,謝立康,鄭匡宇,陳時中,黃珊珊,黃聖峰
信義區,西村里,2,8,0,4,0,3054,0,2,0,1076,1132,0
信義區,長春里,0,10,0,4,12,1918,2,0,0,1622,1168,0
信義區,雅祥里,0,10,2,8,6,2288,10,2,2,2076,1424,0
信義區,雙和里,2,12,4,4,18,3794,8,2,0,2146,1886,2
信義區,黎安里,0,6,2,6,6,1142,6,0,0,502,378,0
信義區,黎平里,2,10,2,0,8,3652,8,6,0,2084,1744,0
信義區,黎忠里,0,8,0,2,8,2520,10,0,0,1566,1310,0
信義區,黎順里,2,4,2,2,18,2064,6,0,2,1228,996,0
內湖區,五分里,6,18,2,2,8,4002,2,2,4,3056,3590,2
內湖區,內湖里,2,12,0,0,2,3120,14,2,2,1980,1978,4
內湖區,內溝里,4,8,0,2,4,1934,4,2,2,1562,1714,0
內湖區,南湖里,0,6,0,0,4,2474,8,2,0,1544,1932,0
內湖區,大湖里,0,10,0,0,16,2480,4,2,0,1678,1780,2
內湖區,安泰里,2,4,2,6,12,2394,8,2,4,1544,1864,0
內湖區,安湖里,0,2,2,0,6,3132,10,2,2,2344,2572,2
內湖區,寶湖里,2,10,0,0,12,4518,6,0,2,2738,2914,0
內湖區,康寧里,2,8,2,2,8,3982,14,2,2,2376,3000,2
內湖區,明湖里,2,10,4,2,8,2212,6,2,0,1654,1900,0
內湖區,東湖里,0,14,0,4,8,3350,4,0,6,2604,2790,2
內湖區,樂康里,0,12,2,2,10,3086,28,2,4,2374,2682,0
內湖區,清白里,0,14,0,0,28,3996,14,2,0,2626,3094,4
內湖區,港墘里,0,4,0,0,12,2694,14,0,6,2068,1952,0
內湖區,港富里,0,8,2,2,18,3944,10,0,4,3250,2908,0
內湖區,港華里,4,20,0,2,14,4000,18,2,2,2902,3140,2
內湖區,港都里,0,28,0,0,2,2318,4,0,2,1906,1830,0
內湖區,湖元里,2,2,0,0,12,2444,2,0,0,1938,1928,0
內湖區,湖濱里,0,6,2,0,16,4290,10,0,4,2426,2650,6
內湖區,湖興里,4,6,2,0,18,3098,10,0,2,2410,2486,0
內湖區,瑞光里,0,12,4,0,4,2330,6,0,0,1222,1570,0
內湖區,瑞陽里,2,16,0,0,22,4360,8,0,2,2026,2356,2
內湖區,石潭里,0,4,0,0,8,1764,4,2,0,1116,1164,0
內湖區,碧山里,0,8,2,2,8,3292,14,0,2,2224,2352,2
內湖區,秀湖里,2,6,2,0,6,3032,8,0,0,1822,1960,0
內湖區,紫星里,2,16,0,2,6,3570,6,0,0,2898,2482,4
內湖區,紫陽里,0,18,2,2,16,3694,10,0,2,2776,2738,2
內湖區,紫雲里,2,12,2,0,14,2946,10,0,2,1492,1752,2
內湖區,葫洲里,0,2,2,2,12,3236,8,0,0,1760,2394,2
內湖區,蘆洲里,0,2,0,0,0,442,6,0,0,420,390,0
內湖區,行善里,0,18,2,0,8,3088,0,0,2,2590,2364,0
內湖區,西安里,0,14,0,0,12,3058,4,0,0,2118,2040,10
內湖區,西康里,4,14,2,2,12,4558,10,4,8,2994,3008,2
內湖區,西湖里,0,12,182,0,14,3020,10,2,4,2618,2272,2
內湖區,週美里,0,10,2,4,10,3692,16,0,6,3218,2702,2
內湖區,金湖里,4,12,2,0,10,4452,12,0,2,2874,2954,0
內湖區,金瑞里,0,12,0,4,12,2972,4,2,4,2390,2110,0
內湖區,金龍里,6,10,0,4,2,2506,8,0,0,1748,1776,0
內湖區,麗山里,0,4,0,2,8,2204,8,4,0,2166,1844,0
北投區,一德里,0,12,2,4,14,2810,20,0,8,3098,2106,2
北投區,中和里,0,4,0,2,6,2206,2,2,0,1854,1316,2
北投區,中央里,0,8,2,4,8,3026,12,0,2,3334,2222,0
