縣市,行政區別,村里別,合一行動聯盟,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,不分區政黨有效票數A
臺北市,中正區,永功里,2,38,2,268,16,2480,1042,6,0,28,20,8,270,56,212,606,138,20,2416,7628
臺北市,中正區,永昌里,2,62,8,194,10,2056,862,12,4,12,16,20,292,58,150,452,120,8,2286,6624
臺北市,中正區,河堤里,6,10,6,216,10,1574,662,2,2,14,18,12,210,62,116,572,200,12,2224,5928
臺北市,中正區,網溪里,4,34,2,276,18,2144,900,2,0,22,14,8,282,60,192,640,216,22,2746,7582
臺北市,中正區,螢圃里,2,20,8,286,12,2034,932,4,0,10,2,6,268,72,186,512,190,16,2684,7244
臺北市,中正區,螢雪里,0,48,4,170,6,1620,784,2,2,16,16,18,206,38,130,440,134,16,2206,5856
臺北市,中正區,頂東里,12,30,14,308,20,2284,956,8,0,16,16,8,258,74,160,678,246,40,2746,7874
臺北市,中正區,黎明里,4,16,0,124,2,970,594,2,2,14,6,6,184,18,132,302,80,8,1346,3810
臺北市,中正區,龍光里,2,16,6,154,0,1040,498,2,2,4,8,4,184,30,120,356,108,12,1546,4092
臺北市,中正區,龍福里,2,18,0,252,8,1918,1014,4,2,20,8,6,264,42,200,612,156,8,2242,6776
臺北市,中正區,龍興里,4,32,6,190,0,1350,712,0,0,16,10,8,166,46,138,400,86,6,1476,4646
臺北市,信義區,三張里,8,46,14,366,16,2978,1374,2,2,34,26,14,462,106,238,910,382,18,4498,11494
臺北市,信義區,三犁里,4,24,10,264,14,1826,852,0,0,24,8,14,262,44,118,478,252,8,2592,6794
臺北市,信義區,中坡里,6,30,2,150,2,1784,778,0,2,18,8,2,204,28,156,504,110,6,2060,5850
臺北市,信義區,中興里,6,18,4,156,2,1188,474,4,0,10,0,2,174,32,86,370,144,4,1548,4222
臺北市,信義區,中行里,8,40,2,276,32,3436,1376,2,4,40,24,14,356,54,248,894,138,16,3454,10414
臺北市,信義區,五全里,4,42,4,232,8,2226,846,2,0,16,16,4,262,42,140,528,122,10,1992,6496
臺北市,信義區,五常里,0,16,0,136,8,1470,526,2,0,12,6,10,172,30,122,444,120,4,1646,4724
臺北市,信義區,六合里,2,18,2,288,16,2032,1064,0,0,24,10,18,390,48,162,722,302,8,3662,8768
臺北市,信義區,六藝里,0,34,2,118,4,1584,630,2,2,26,14,8,158,40,112,400,76,16,1486,4712
臺北市,信義區,嘉興里,2,22,4,136,0,1280,524,6,0,16,8,4,154,48,90,338,92,6,1474,4204
臺北市,信義區,四維里,0,44,6,192,2,1946,1008,4,0,16,10,10,266,40,152,614,124,8,2582,7024
臺北市,信義區,四育里,0,52,12,236,6,2536,898,2,4,18,6,12,260,46,172,664,84,14,2414,7436
臺北市,信義區,國業里,6,38,4,318,16,2580,1156,2,2,40,12,12,396,86,174,818,192,24,3406,9282
臺北市,信義區,大仁里,6,38,4,132,10,1654,630,0,4,16,22,10,200,26,104,412,100,14,1908,5290
臺北市,信義區,大道里,14,36,2,232,20,2610,1024,8,2,30,16,14,314,38,202,662,144,12,2700,8080
臺北市,信義區,安康里,4,34,4,384,8,3552,1644,4,2,44,20,22,604,124,302,924,332,30,4672,12710
臺北市,信義區,富台里,2,14,4,194,2,1144,704,2,4,20,6,12,198,62,100,436,182,0,2452,5538
臺北市,信義區,廣居里,14,30,6,296,10,2648,1140,0,0,22,14,14,436,68,206,828,270,10,3652,9664
臺北市,信義區,惠安里,4,48,2,216,20,2188,1102,6,4,10,14,10,340,76,186,690,228,8,3578,8730
臺北市,信義區,敦厚里,4,24,4,220,10,1936,898,6,0,24,6,4,270,44,128,548,130,12,2372,6640
臺北市,信義區,新仁里,6,6,2,140,4,1036,518,0,0,12,4,2,154,42,96,304,152,6,1686,4170
臺北市,信義區,景勤里,0,20,4,148,0,1386,568,0,0,20,6,16,182,40,100,404,190,8,2002,5094
臺北市,信義區,景新里,2,24,2,208,8,1656,764,0,6,22,18,6,296,58,162,402,224,12,2598,6468
臺北市,信義區,景聯里,4,48,8,208,6,1628,812,4,0,22,16,8,278,46,156,514,170,10,2256,6194
臺北市,信義區,松光里,4,16,2,216,12,2178,756,2,0,16,22,6,210,42,128,464,122,14,2248,6458
臺北市,信義區,松友里,2,24,6,252,20,2396,1162,4,22,36,20,4,276,52,188,676,202,16,3066,8424
臺北市,信義區,松隆里,2,22,2,58,16,884,330,8,0,8,2,0,88,14,50,208,66,4,994,2756
臺北市,信義區,正和里,4,30,10,178,2,1410,666,2,0,20,10,4,214,48,88,498,222,6,2426,5838
臺北市,信義區,永吉里,0,62,2,114,4,2046,678,2,2,22,14,2,196,34,118,382,50,8,1328,5064
臺北市,信義區,永春里,12,18,0,196,20,2132,872,0,2,20,4,14,250,36,148,542,106,8,2090,6470
臺北市,信義區,泰和里,4,60,4,380,12,2706,1260,10,10,42,18,20,372,60,202,774,268,30,3672,9904
臺北市,信義區,興隆里,0,12,0,102,10,792,314,4,6,8,8,4,112,28,70,252,158,4,1376,3260
臺北市,信義區,興雅里,2,28,0,254,10,2072,818,4,0,38,18,8,306,54,152,688,158,20,2738,7368
臺北市,信義區,西村里,0,18,2,208,8,1068,674,0,0,26,2,2,236,80,124,458,322,10,2992,6230
臺北市,信義區,長春里,2,18,2,162,8,1852,750,4,4,18,46,8,202,30,132,460,74,18,1838,5628
臺北市,信義區,雅祥里,6,44,2,222,14,2098,874,4,10,28,12,10,230,36,126,492,114,10,2214,6546
臺北市,信義區,雙和里,2,20,8,284,12,2522,1160,2,4,16,14,12,334,56,194,766,330,20,3582,9338
臺北市,信義區,黎安里,0,14,0,34,4,558,276,0,2,38,6,20,88,10,38,134,66,6,1296,2590
臺北市,信義區,黎平里,2,22,14,296,20,2574,1214,6,2,24,8,10,380,68,180,736,206,18,3484,9264
臺北市,信義區,黎忠里,4,36,6,146,14,1752,768,4,6,14,10,8,280,36,158,432,154,26,2372,6226
臺北市,信義區,黎順里,2,18,4,182,6,1484,574,2,0,6,6,4,188,44,118,420,146,14,1984,5202
臺北市,內湖區,五分里,10,58,12,422,20,4016,2084,10,6,58,18,14,600,98,254,1166,166,12,4024,13048
臺北市,內湖區,內湖里,8,38,0,320,2,2278,1094,6,6,14,4,14,356,44,172,630,204,10,3056,8256
臺北市,內湖區,內溝里,6,26,12,216,6,1822,924,0,0,10,16,8,252,68,134,500,122,12,2062,6196
臺北市,內湖區,南湖里,6,10,4,322,8,1750,1068,2,0,16,2,14,284,88,142,684,148,6,2428,6982
臺北市,內湖區,大湖里,4,24,6,286,10,1984,1026,6,2,22,6,12,280,56,178,634,164,8,2602,7310
臺北市,內湖區,安泰里,0,20,6,210,2,1872,1096,0,6,22,18,16,278,46,158,654,136,10,2412,6962
臺北市,內湖區,安湖里,2,32,6,374,10,2824,1556,12,4,22,12,12,438,82,264,1022,156,10,3214,10052
臺北市,內湖區,寶湖里,2,34,2,400,14,2902,1624,4,2,26,18,14,516,94,296,1022,278,22,4304,11574
臺北市,內湖區,康寧里,8,20,2,366,6,2870,1642,4,6,26,24,16,502,68,256,1138,254,20,3978,11206
臺北市,內湖區,明湖里,4,26,6,228,8,1990,1188,4,0,6,12,6,318,42,172,694,132,2,2190,7028
臺北市,內湖區,東湖里,6,28,4,300,6,3186,1454,2,0,20,10,14,338,74,192,862,116,10,3128,9750
臺北市,內湖區,樂康里,10,32,8,352,18,3080,1694,4,2,74,12,16,434,86,252,922,160,16,3502,10674
臺北市,內湖區,清白里,6,54,14,444,2,2912,1550,4,6,18,14,2,604,124,230,1066,256,14,4018,11338
臺北市,內湖區,港墘里,0,52,10,282,88,2402,1116,2,6,20,22,18,382,94,144,712,116,10,2622,8098
臺北市,內湖區,港富里,4,58,6,428,10,3782,1764,4,2,34,20,20,458,96,286,1098,202,26,4100,12398
臺北市,內湖區,港華里,2,42,6,390,12,3396,1810,0,4,32,14,22,480,112,282,1156,190,26,3984,11960
臺北市,內湖區,港都里,2,56,6,246,14,2190,1176,2,2,12,18,4,256,46,148,628,108,12,2384,7310
臺北市,內湖區,湖元里,2,60,6,258,8,2038,1018,0,2,14,16,6,284,52,172,634,138,12,2342,7062
臺北市,內湖區,湖濱里,10,34,4,404,14,2734,1450,0,2,16,16,18,476,112,222,948,294,16,4344,11114
臺北市,內湖區,湖興里,0,72,2,322,8,2830,1304,4,2,26,32,20,370,72,242,832,150,20,3392,9700
臺北市,內湖區,瑞光里,2,20,2,180,6,1422,790,2,2,14,8,14,246,68,142,584,156,14,2576,6248
臺北市,內湖區,瑞陽里,8,22,8,360,14,2268,1326,2,2,20,26,16,390,104,212,942,288,6,4496,10510
臺北市,內湖區,石潭里,2,20,4,188,4,1470,668,2,2,18,6,16,258,40,118,418,132,10,1742,5118
臺北市,內湖區,碧山里,4,38,10,294,12,2738,1238,2,0,18,22,10,346,70,182,832,182,8,3264,9270
臺北市,內湖區,秀湖里,0,26,4,300,10,2196,1026,2,0,16,6,10,324,90,166,730,236,10,3088,8240
臺北市,內湖區,紫星里,4,62,4,292,2,3342,1400,0,0,22,16,28,440,124,238,986,190,24,3610,10784
臺北市,內湖區,紫陽里,0,28,4,400,6,3096,1570,6,8,22,14,28,390,88,254,1094,234,16,3596,10854
臺北市,內湖區,紫雲里,16,40,2,242,2,1796,998,2,6,10,8,14,302,112,120,598,236,2,3036,7542
臺北市,內湖區,葫洲里,2,14,6,376,4,2266,1414,10,8,24,14,10,406,96,202,830,236,24,3200,9142
臺北市,內湖區,蘆洲里,2,8,0,44,4,586,168,2,0,0,4,6,80,6,42,146,12,0,454,1564
臺北市,內湖區,行善里,0,52,8,328,6,2886,1218,2,2,8,30,8,416,42,178,756,176,14,3006,9136
臺北市,內湖區,西安里,4,42,0,236,10,2466,1168,2,2,28,12,10,348,80,210,910,202,16,3166,8912
臺北市,內湖區,西康里,10,54,6,450,8,3222,1670,0,2,18,18,14,500,136,308,1210,274,14,4660,12574
臺北市,內湖區,西湖里,8,52,6,284,14,3034,1392,6,2,32,14,12,354,64,260,964,220,22,3094,9834
臺北市,內湖區,週美里,4,66,8,346,22,3592,1612,2,6,20,18,12,552,72,204,914,190,14,3314,10968
臺北市,內湖區,金湖里,2,18,2,440,4,3168,1730,4,0,28,10,6,650,210,264,1068,258,34,4290,12186
臺北市,內湖區,金瑞里,2,40,0,282,6,2594,1192,0,6,18,16,16,386,70,180,774,196,14,2904,8696
臺北市,內湖區,金龍里,10,58,6,222,18,2042,994,2,2,6,4,44,308,62,168,610,152,2,2408,7118
臺北市,內湖區,麗山里,2,28,4,296,8,2566,1058,0,2,16,14,6,290,82,164,738,104,6,2268,7652
臺北市,北投區,一德里,16,78,2,274,16,3448,1348,4,6,16,18,16,408,40,240,820,144,14,2676,9584
臺北市,北投區,中和里,12,34,12,170,10,1982,896,4,0,10,24,10,214,52,136,452,150,14,2282,6464
臺北市,北投區,中央里,20,98,12,436,28,5590,2102,4,6,30,42,16,512,86,304,1248,210,30,4630,15404
臺北市,北投區,中庸里,14,28,0,150,14,1988,750,0,6,14,20,6,212,24,106,384,72,20,1618,5426
臺北市,北投區,中心里,12,52,8,300,8,2568,1088,4,0,20,6,10,298,40,224,674,152,24,2646,8134
臺北市,北投區,八仙里,4,40,4,248,14,2566,936,0,6,20,14,10,294,36,194,596,102,14,2116,7214
臺北市,北投區,吉利里,8,24,4,264,14,2434,1132,0,6,32,8,12,380,76,216,774,182,16,3192,8774
臺北市,北投區,吉慶里,2,32,0,212,8,2402,912,6,0,14,18,8,256,30,160,528,92,10,1820,6510
臺北市,北投區,大同里,2,48,8,236,10,2864,1042,6,4,36,24,8,268,38,202,626,104,16,2014,7556
臺北市,北投區,大屯里,2,22,6,26,4,712,182,0,2,2,6,8,74,4,46,104,10,0,322,1532
臺北市,北投區,奇岩里,26,80,14,462,22,4542,1726,6,6,26,30,22,548,96,320,1160,272,26,4378,13762
臺北市,北投區,尊賢里,2,52,2,212,2,2192,814,0,2,22,26,6,198,36,168,480,70,8,1782,6074
臺北市,北投區,建民里,6,16,6,202,10,2052,700,2,2,12,8,8,188,44,152,418,106,10,1792,5734
臺北市,北投區,振華里,4,52,4,344,8,3008,1188,2,0,46,6,8,400,72,242,748,232,16,3352,9732
臺北市,北投區,文化里,10,12,8,142,6,1130,666,2,0,20,6,10,210,62,94,384,186,4,2462,5414
臺北市,北投區,文林里,4,38,2,212,12,2116,686,4,0,6,24,6,182,30,160,458,82,12,1706,5740
臺北市,北投區,智仁里,8,30,4,222,34,2374,1084,4,4,20,14,6,284,50,172,678,132,6,2616,7742
臺北市,北投區,東華里,2,28,8,194,10,1722,724,2,2,16,12,12,196,30,116,512,120,6,2094,5806
臺北市,北投區,林泉里,6,24,8,136,18,1052,514,0,0,8,10,6,142,16,98,328,106,4,1282,3758
臺北市,北投區,桃源里,10,64,2,242,8,2756,1140,2,2,22,26,20,262,32,206,704,90,14,2246,7848
臺北市,北投區,榮光里,4,78,10,278,18,2932,1208,4,0,24,34,14,324,70,230,762,154,20,2858,9022
臺北市,北投區,榮華里,6,52,8,406,14,3084,1196,0,0,24,14,8,290,74,256,794,222,22,3200,9670
臺北市,北投區,永和里,4,66,10,430,10,3952,1334,2,0,22,16,8,464,164,320,912,264,16,3772,11766
臺北市,北投區,永明里,6,28,4,194,12,1944,880,2,4,12,12,10,278,36,126,504,84,20,2082,6238
臺北市,北投區,永欣里,2,32,4,376,10,3000,1158,2,6,20,10,10,362,110,326,896,304,28,3548,10204
臺北市,北投區,泉源里,2,24,2,98,16,1210,360,0,2,14,16,0,120,8,66,210,50,2,836,3036
臺北市,北投區,洲美里,4,26,2,106,2,1272,430,2,4,0,10,8,82,4,62,186,24,6,622,2852
臺北市,北投區,清江里,18,66,14,290,18,3960,1430,8,12,32,28,16,408,74,216,884,162,18,3444,11098
臺北市,北投區,湖山里,4,12,0,44,4,784,250,0,2,4,6,10,76,14,68,136,40,4,680,2138
臺北市,北投區,湖田里,2,2,8,32,2,414,142,0,4,4,6,4,42,6,32,72,14,8,370,1164
臺北市,北投區,溫泉里,12,54,0,246,24,2998,994,6,4,42,18,16,340,52,286,720,162,16,2604,8594
臺北市,北投區,石牌里,4,46,6,232,18,2518,998,0,2,16,6,12,250,22,142,552,90,10,2068,6992
臺北市,北投區,福興里,0,46,12,290,18,2998,1292,6,6,32,22,4,404,62,218,770,160,10,2776,9126
臺北市,北投區,秀山里,2,26,10,60,6,1364,518,0,12,14,8,2,132,38,74,272,78,14,1546,4176
臺北市,北投區,稻香里,8,38,6,222,4,2038,854,2,2,8,20,18,244,28,158,496,140,8,2696,6990
臺北市,北投區,立賢里,4,36,4,230,10,2340,1064,2,4,10,4,4,230,62,188,626,74,18,2046,6956
臺北市,北投區,立農里,10,82,2,366,16,3864,1780,6,6,28,20,18,432,72,276,1046,176,20,3494,11714
臺北市,北投區,裕民里,6,46,6,318,12,3254,1252,8,4,24,8,12,398,118,216,846,192,26,3272,10018
臺北市,北投區,豐年里,14,18,8,140,12,1818,802,4,0,20,22,22,228,30,136,482,106,16,1836,5714
臺北市,北投區,長安里,14,36,4,290,16,2682,988,4,4,18,22,20,294,34,202,700,140,22,2442,7932
臺北市,北投區,開明里,12,56,6,218,6,2706,1094,2,0,30,18,12,324,66,220,656,236,16,3026,8704
臺北市,北投區,關渡里,8,78,12,422,16,4970,1862,8,16,20,50,20,618,102,310,1188,238,22,4404,14364
臺北市,南港區,三重里,6,38,4,356,8,2642,1452,6,2,18,8,10,412,54,210,846,200,6,3066,9344
臺北市,南港區,中南里,0,22,6,116,10,1640,704,4,10,14,14,8,154,28,88,346,60,6,1496,4726
臺北市,南港區,中研里,8,48,10,432,14,3592,1794,4,10,46,16,30,398,106,292,1244,230,26,3972,12272
臺北市,南港區,九如里,10,22,18,220,16,2106,1048,8,0,26,24,28,318,58,186,604,196,18,3342,8248
臺北市,南港區,仁福里,6,20,2,188,8,1768,1048,6,0,34,8,22,302,56,142,588,200,8,2908,7314
臺北市,南港區,南港里,4,26,6,232,10,2342,1090,4,2,22,26,20,294,62,218,712,94,16,2582,7762
臺北市,南港區,合成里,2,52,10,260,10,2782,1230,6,2,36,20,18,352,56,174,742,158,14,3020,8944
臺北市,南港區,成福里,2,42,2,308,6,2720,1430,6,2,18,20,34,450,58,192,774,232,38,3812,10146
臺北市,南港區,新光里,6,26,8,154,2,1330,648,0,0,12,12,16,160,42,92,374,72,12,1914,4880
臺北市,南港區,新富里,4,34,6,180,12,1700,748,0,6,6,10,18,202,24,124,462,66,16,1530,5148
臺北市,南港區,東新里,4,48,4,270,10,2942,1366,4,0,24,26,22,450,56,246,772,122,8,3038,9412
臺北市,南港區,東明里,6,20,8,202,2,1562,930,0,0,24,22,10,242,38,158,514,104,12,2146,6000
臺北市,南港區,玉成里,0,38,10,160,6,2190,868,2,2,16,18,16,220,38,138,456,66,16,1916,6176
臺北市,南港區,百福里,4,34,0,208,6,2158,978,6,4,28,16,8,282,54,140,570,104,6,2282,6888
臺北市,南港區,聯成里,8,26,6,172,2,1958,926,4,4,6,14,20,300,44,140,542,142,12,2442,6768
臺北市,南港區,舊莊里,6,42,18,296,18,3524,1600,14,4,32,34,36,458,102,238,1036,156,20,3492,11126
臺北市,南港區,萬福里,10,20,2,178,2,1668,786,8,6,14,4,12,242,36,120,482,148,4,2222,5964
臺北市,南港區,西新里,2,48,6,180,6,2176,1012,4,0,16,22,18,276,40,120,516,82,8,1652,6184
臺北市,南港區,重陽里,4,26,4,282,2,1778,1084,0,0,22,8,2,302,74,138,606,144,20,2288,6784
臺北市,南港區,鴻福里,4,20,4,202,10,1898,822,4,0,22,10,18,206,30,136,474,92,6,2140,6098
臺北市,士林區,三玉里,2,40,2,284,6,2550,928,0,4,12,12,12,312,54,164,636,126,8,2454,7606
臺北市,士林區,仁勇里,2,32,0,96,8,1890,654,8,6,8,10,8,266,6,160,362,56,8,1352,4932
臺北市,士林區,公館里,4,8,0,44,4,810,238,0,0,2,12,4,48,6,30,136,16,2,418,1782
臺北市,士林區,前港里,2,28,2,176,16,2142,850,0,8,16,12,12,268,36,130,472,40,12,1560,5782
臺北市,士林區,名山里,16,56,2,348,12,2836,1120,8,2,22,26,8,314,76,258,762,220,22,3254,9362
臺北市,士林區,天和里,6,44,6,354,12,2972,1124,6,4,20,10,4,330,96,296,820,262,14,3210,9590
臺北市,士林區,天壽里,8,22,2,254,6,2080,746,4,0,8,12,2,218,40,122,550,126,14,2262,6476
臺北市,士林區,天山里,2,36,4,326,10,2726,1020,2,2,14,18,12,270,68,212,772,232,32,3194,8952
臺北市,士林區,天母里,4,32,4,310,10,2580,902,6,2,10,22,10,352,46,228,680,208,18,2982,8406
臺北市,士林區,天玉里,10,48,4,462,14,3482,1292,4,4,18,12,6,426,120,284,876,250,14,3630,10956
臺北市,士林區,天祿里,4,28,2,230,12,2304,866,2,2,24,14,14,234,46,184,640,120,14,2044,6784
臺北市,士林區,天福里,8,32,8,232,6,2546,1058,2,10,24,14,16,306,62,204,742,198,24,2616,8108
臺北市,士林區,富光里,14,58,6,190,18,2992,1116,8,4,12,28,10,408,36,200,594,84,18,1746,7542
臺北市,士林區,富洲里,18,86,6,136,10,3746,942,2,14,20,32,12,664,44,220,574,62,6,1348,7942
臺北市,士林區,岩山里,14,16,14,158,4,1350,480,0,0,14,14,6,180,38,104,370,84,6,1628,4480
臺北市,士林區,平等里,6,8,0,38,0,1020,226,0,0,2,4,2,82,14,76,112,20,4,392,2006
臺北市,士林區,後港里,8,96,2,338,24,3866,1424,8,4,24,38,10,474,56,284,920,88,18,2794,10476
臺北市,士林區,德華里,4,44,8,280,4,2668,942,4,6,8,20,14,270,82,164,596,122,18,2112,7366
臺北市,士林區,德行里,4,50,0,230,4,2054,676,2,2,10,22,6,210,44,156,442,104,10,1852,5878
臺北市,士林區,忠誠里,10,26,4,206,6,1698,772,2,0,24,10,14,262,52,176,572,252,22,3216,7324
臺北市,士林區,承德里,6,40,6,204,10,2252,1026,0,0,24,22,8,270,54,172,534,148,18,2306,7100
臺北市,士林區,新安里,4,78,8,246,16,3168,1160,4,2,28,30,36,476,60,192,610,274,16,3790,10198
臺北市,士林區,明勝里,6,44,4,238,16,2248,890,0,4,8,18,4,242,36,138,546,76,12,2014,6544
