行政區別,村里別,丁守中,吳蕚洋,姚文智,李錫錕,柯文哲
士林區,葫蘆里,2902,30,1768,24,3772
士林區,蘭興里,2834,30,1494,26,3040
士林區,蘭雅里,3758,26,1746,50,3918
士林區,陽明里,1396,8,800,18,1180
大同區,保安里,1364,22,1308,14,2178
大同區,光能里,1656,22,1380,38,2584
大同區,南芳里,1394,28,1044,24,2146
大同區,國慶里,1556,22,1232,16,2288
大同區,國順里,824,8,930,28,1296
大同區,大有里,1470,10,1360,18,2648
大同區,延平里,1604,16,1146,40,2120
大同區,建功里,1550,32,1268,18,2326
大同區,建明里,1152,12,818,12,1706
大同區,建泰里,1200,24,1042,18,1956
大同區,揚雅里,1134,12,1016,24,1878
大同區,斯文里,1670,26,1484,32,2624
大同區,星明里,2064,14,1400,22,3080
大同區,景星里,962,12,850,14,1306
大同區,朝陽里,1552,16,1174,22,2494
大同區,民權里,2264,32,1554,24,3246
大同區,永樂里,1614,28,1474,20,3076
大同區,玉泉里,1058,10,694,10,1548
大同區,老師里,1854,34,1786,36,3092
大同區,至聖里,2868,40,2344,34,4100
大同區,蓬萊里,1736,18,1362,38,2578
大同區,鄰江里,2228,26,2178,46,3228
大同區,重慶里,2542,20,1464,38,3336
大同區,隆和里,998,6,910,24,1722
大同區,雙連里,3176,42,2572,68,4764
大安區,仁愛里,2430,18,918,18,1796
大安區,仁慈里,2324,10,910,16,2180
大安區,住安里,2580,20,922,24,1924
大安區,光信里,3726,22,1310,26,3144
大安區,光明里,1480,12,480,18,1764
大安區,光武里,3564,38,1406,30,2700
大安區,全安里,2244,20,612,22,1846
大安區,古莊里,3410,32,1194,28,3428
大安區,古風里,2030,20,740,16,1870
大安區,和安里,3294,18,998,30,2928
大安區,大學里,4190,34,1402,52,3702
大安區,學府里,1674,24,444,18,930
大安區,建倫里,2952,10,990,16,2232
大安區,建安里,2372,16,748,26,1808
大安區,德安里,2966,22,914,24,2094
大安區,敦安里,2828,20,1172,22,2504
大安區,敦煌里,2800,18,1060,12,2488
大安區,新龍里,4066,24,640,34,2832
大安區,昌隆里,1434,18,646,12,1294
大安區,正聲里,2272,10,672,16,1944
大安區,民炤里,3464,32,1482,32,3292
大安區,民輝里,3078,32,1284,46,2916
大安區,永康里,1670,20,566,8,1576
大安區,法治里,2474,24,722,38,1880
大安區,福住里,2702,30,914,28,2686
大安區,群英里,4800,44,590,16,2666
大安區,群賢里,3250,20,906,28,2406
大安區,義安里,2820,20,838,34,2164
大安區,義村里,3528,20,720,26,2204
大安區,臥龍里,1162,2,300,6,970
大安區,臨江里,2154,8,852,20,1740
大安區,芳和里,3134,38,1024,30,2356
大安區,華聲里,2126,18,670,26,1708
大安區,虎嘯里,1914,18,566,12,1632
大安區,誠安里,1934,18,826,18,1626
大安區,車層里,3044,28,1106,24,2324
大安區,通化里,2624,24,1292,22,2742
大安區,通安里,2778,20,1134,44,2394
大安區,錦安里,2756,34,884,26,2622
大安區,錦泰里,1744,10,442,18,1508
大安區,錦華里,2556,34,790,32,2464
大安區,黎元里,2636,24,984,26,2650
大安區,黎和里,2590,16,714,22,1958
大安區,黎孝里,4024,34,1264,32,3580
大安區,龍圖里,3448,28,1032,30,2752
大安區,龍坡里,2796,16,866,28,2416
大安區,龍安里,2822,30,1004,36,2900
大安區,龍泉里,2080,30,774,14,2102
大安區,龍淵里,4304,26,1316,46,4052
大安區,龍生里,3366,18,956,24,2808
大安區,龍門里,1948,20,714,22,1940
大安區,龍陣里,1878,8,664,20,1432
大安區,龍雲里,2382,14,918,22,2006
文山區,博嘉里,3112,46,990,26,2606
文山區,忠順里,2634,10,508,34,1734
文山區,指南里,1716,24,748,24,1816
文山區,政大里,3512,50,912,32,3320
文山區,明義里,2024,18,504,24,1412
文山區,明興里,3506,40,900,26,3106
文山區,景仁里,2608,44,738,38,2078
文山區,景慶里,3120,26,1090,32,2830
文山區,景東里,3600,34,908,38,3078
文山區,景美里,2544,40,910,38,2134
文山區,景華里,2940,18,924,36,2566
文山區,景行里,3140,38,1406,42,3346
文山區,木新里,4176,52,1542,44,3832
文山區,木柵里,5264,38,982,46,3518
文山區,樟文里,3082,26,1032,36,2720
文山區,樟新里,2932,40,824,24,2418
文山區,樟林里,4664,42,1176,46,3556
文山區,樟樹里,2500,16,850,12,2336
文山區,樟腳里,2716,24,876,34,2570
文山區,老泉里,298,10,298,4,450
文山區,興光里,1780,14,436,14,1478
文山區,興安里,3894,26,840,38,2802
文山區,興家里,4180,54,974,60,3346
文山區,興得里,3090,38,852,34,2508
文山區,興旺里,4714,32,864,54,3846
文山區,興昌里,3718,38,824,30,2866
文山區,興業里,3424,28,710,36,2256
文山區,興泰里,2286,32,626,26,1848
文山區,興福里,2936,26,994,44,2556
文山區,興豐里,2638,24,748,14,2090
文山區,興邦里,2962,34,560,20,2038
文山區,華興里,5032,56,1202,50,3928
文山區,萬和里,2206,4,336,16,1242
文山區,萬年里,2710,32,1042,36,2354
文山區,萬有里,2890,22,860,22,2372
文山區,萬盛里,2574,24,708,28,2032
文山區,萬祥里,2204,26,764,20,2096
文山區,萬美里,3872,34,978,36,2984
文山區,萬興里,4014,42,1390,46,3612
文山區,萬芳里,4192,32,988,38,3654
文山區,萬隆里,3858,64,1024,46,3288
文山區,試院里,4084,56,868,46,2968
文山區,順興里,3752,46,1272,30,3336
松山區,三民里,3414,20,1132,38,2882
松山區,中崙里,1686,32,632,0,1656
松山區,中正里,3592,46,1650,48,4280
松山區,中華里,2948,30,980,22,2584
松山區,介壽里,1888,26,868,30,2098
松山區,吉仁里,1660,16,700,20,1660
松山區,吉祥里,4088,36,1586,16,3598
松山區,安平里,3518,44,1840,32,3962
松山區,富泰里,2532,24,650,22,1960
松山區,富錦里,2528,30,862,20,2258
松山區,復勢里,2630,12,1228,30,2922
松山區,復建里,2086,16,710,18,1860
松山區,復源里,1478,4,574,20,1374
松山區,復盛里,3220,44,1156,24,2734
松山區,慈祐里,2488,28,1548,46,3194
松山區,敦化里,2900,38,1306,42,2900
松山區,新東里,2360,12,958,14,2328
松山區,新益里,2276,38,1022,18,2218
松山區,新聚里,3314,20,1486,28,3634
松山區,東光里,3658,28,1306,20,2988
松山區,東勢里,1890,14,896,12,1812
松山區,東昌里,1146,24,578,12,1394
松山區,東榮里,3574,32,1526,16,3346
松山區,松基里,1578,18,736,26,1600
松山區,民有里,3918,42,1968,40,4004
松山區,民福里,3514,20,1148,38,2654
松山區,福成里,1130,16,522,6,1164
松山區,精忠里,2026,16,822,10,1844
松山區,美仁里,1420,6,752,14,1466
松山區,自強里,6696,52,728,42,3694
松山區,莊敬里,2618,16,988,40,2330
松山區,鵬程里,3082,12,756,26,2334
松山區,龍田里,5850,38,956,44,3898
萬華區,仁德里,1992,16,1136,22,2398
萬華區,保德里,1290,14,790,14,1708
萬華區,全德里,1652,16,1014,14,2214
萬華區,凌霄里,2132,22,620,16,1716
萬華區,和平里,2176,24,1992,30,3548
萬華區,和德里,2146,40,1664,40,3184
萬華區,壽德里,2028,26,1234,30,2512
萬華區,孝德里,1148,24,952,14,1778
萬華區,富民里,1638,14,1470,18,2110
萬華區,富福里,1636,12,1302,16,2666
萬華區,忠德里,1538,28,1284,24,2300
萬華區,忠貞里,3266,34,766,30,1810
萬華區,新和里,5824,42,836,46,3516
萬華區,新安里,3248,36,1080,38,2620
