行政區別,村里別,宋楚瑜/余湘,蔡英文/賴清德,韓國瑜/張善政,宋楚瑜/余湘_黨籍,蔡英文/賴清德_黨籍,韓國瑜/張善政_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
信義區,廣居里,396,4816,4460,親民黨,民主進步黨,中國國民黨,1332,879,16,895,1161,0,3,1
信義區,惠安里,366,4070,4348,親民黨,民主進步黨,中國國民黨,1419,799,7,806,1081,0,3,1
信義區,敦厚里,294,3416,2902,親民黨,民主進步黨,中國國民黨,1328,734,8,742,1024,0,3,1
信義區,新仁里,160,1902,2098,親民黨,民主進步黨,中國國民黨,1321,707,3,710,954,0,3,1
信義區,景勤里,182,2432,2494,親民黨,民主進步黨,中國國民黨,1450,790,13,803,1045,0,3,1
信義區,景新里,242,2978,3244,親民黨,民主進步黨,中國國民黨,1415,909,9,918,1176,0,3,1
信義區,景聯里,346,3126,2742,親民黨,民主進步黨,中國國民黨,1446,788,11,799,1023,0,3,1
信義區,松光里,264,3542,2638,親民黨,民主進步黨,中國國民黨,1393,773,12,785,1063,0,3,1
信義區,松友里,374,4278,3766,親民黨,民主進步黨,中國國民黨,1388,783,7,790,1052,0,3,1
信義區,松隆里,112,1486,1188,親民黨,民主進步黨,中國國民黨,1386,702,5,707,945,0,3,1
信義區,正和里,252,2618,2964,親民黨,民主進步黨,中國國民黨,1313,972,18,990,1306,0,3,1
信義區,永吉里,146,3394,1610,親民黨,民主進步黨,中國國民黨,1359,838,6,844,1165,0,3,1
信義區,永春里,282,3712,2484,親民黨,民主進步黨,中國國民黨,1373,772,5,777,1010,0,3,1
信義區,泰和里,420,4970,4512,親民黨,民主進步黨,中國國民黨,1440,759,9,768,1046,0,3,1
信義區,興隆里,136,1452,1684,親民黨,民主進步黨,中國國民黨,1316,672,5,677,922,0,3,1
信義區,興雅里,378,3714,3266,親民黨,民主進步黨,中國國民黨,1324,821,6,827,1099,0,3,1
信義區,西村里,232,2244,3738,親民黨,民主進步黨,中國國民黨,1309,791,18,809,1043,0,3,1
信義區,長春里,224,3204,2248,親民黨,民主進步黨,中國國民黨,1362,947,9,956,1267,0,3,1
信義區,雅祥里,272,3618,2670,親民黨,民主進步黨,中國國民黨,1348,816,9,825,1083,0,3,1
信義區,雙和里,434,4490,4434,親民黨,民主進步黨,中國國民黨,1453,1014,19,1033,1319,0,3,1
信義區,黎安里,114,1032,1464,親民黨,民主進步黨,中國國民黨,1473,749,14,763,1035,0,3,1
信義區,黎平里,420,4614,4242,親民黨,民主進步黨,中國國民黨,1464,965,9,974,1226,0,3,1
信義區,黎忠里,290,3096,2862,親民黨,民主進步黨,中國國民黨,1469,860,20,880,1134,0,3,1
信義區,黎順里,198,2582,2418,親民黨,民主進步黨,中國國民黨,1461,828,10,838,1207,0,3,1
內湖區,五分里,620,7526,4924,親民黨,民主進步黨,中國國民黨,744,1068,14,1082,1388,0,3,1
內湖區,內湖里,342,4190,3680,親民黨,民主進步黨,中國國民黨,689,1007,19,1026,1331,0,3,1
內湖區,內溝里,318,3370,2516,親民黨,民主進步黨,中國國民黨,760,865,8,873,1144,0,3,1
內湖區,南湖里,330,3572,3044,親民黨,民主進步黨,中國國民黨,818,1099,22,1121,1427,0,3,1
內湖區,大湖里,300,3858,3146,親民黨,民主進步黨,中國國民黨,703,1181,8,1189,1567,0,3,1
內湖區,安泰里,370,3720,2886,親民黨,民主進步黨,中國國民黨,792,1131,14,1145,1516,0,3,1
內湖區,安湖里,542,5632,3866,親民黨,民主進步黨,中國國民黨,783,901,11,912,1174,0,3,1
內湖區,寶湖里,554,5668,5278,親民黨,民主進步黨,中國國民黨,813,1104,17,1121,1469,0,3,1
內湖區,康寧里,518,5830,4860,親民黨,民主進步黨,中國國民黨,800,1150,13,1163,1520,0,3,1
內湖區,明湖里,370,3952,2704,親民黨,民主進步黨,中國國民黨,805,1221,20,1241,1546,0,3,1
內湖區,東湖里,442,5678,3662,親民黨,民主進步黨,中國國民黨,750,954,12,966,1224,0,3,1
內湖區,樂康里,564,5908,4192,親民黨,民主進步黨,中國國民黨,755,1070,19,1089,1431,0,3,1
內湖區,清白里,558,5654,5066,親民黨,民主進步黨,中國國民黨,722,1211,15,1226,1528,0,3,1
內湖區,港墘里,346,4426,3222,親民黨,民主進步黨,中國國民黨,671,1020,17,1037,1319,0,3,1
內湖區,港富里,528,6956,4926,親民黨,民主進步黨,中國國民黨,678,1007,12,1019,1292,0,3,1
