縣市,行政區別,村里別,民主進步黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,不分區政黨有效票數A
臺北市,中山區,正守里,1574,84,272,8,102,10,8,288,10,18,196,10,2,18,46,74,18,956,3694
臺北市,中山區,正得里,1646,86,256,6,154,10,12,324,8,28,214,6,4,8,44,64,28,1200,4098
臺北市,中山區,正義里,2180,120,354,10,196,8,10,360,34,50,360,14,10,14,64,118,44,1522,5468
臺北市,中山區,民安里,2462,154,270,2,170,8,14,332,14,44,338,22,18,10,46,84,20,1340,5348
臺北市,中山區,永安里,4146,204,646,10,414,20,30,846,14,64,552,22,10,54,104,278,36,3062,10512
臺北市,中山區,江寧里,3404,190,442,6,266,10,10,686,28,76,406,22,24,36,104,130,36,2130,8006
臺北市,中山區,江山里,4110,214,604,2,286,16,18,548,26,56,442,28,8,50,82,178,30,2252,8950
臺北市,中山區,聚盛里,1810,86,252,6,142,12,18,308,8,28,342,20,6,36,66,100,32,894,4166
臺北市,中山區,聚葉里,1874,106,254,6,148,4,10,246,12,42,308,8,0,32,46,66,12,1136,4310
臺北市,中山區,興亞里,2716,168,358,4,186,6,18,390,10,66,320,12,6,44,66,134,42,1614,6160
臺北市,中山區,行仁里,4472,314,696,8,242,18,28,394,26,66,532,36,16,42,120,90,38,2408,9546
臺北市,中山區,行孝里,2296,138,256,2,148,14,6,226,24,22,282,10,10,18,60,72,28,1092,4704
臺北市,中山區,行政里,3050,138,440,6,238,10,36,434,18,50,432,16,16,22,88,118,38,1804,6954
臺北市,中山區,金泰里,2852,176,542,6,238,10,14,694,14,52,542,8,4,46,100,244,32,2312,7886
臺北市,中山區,集英里,3726,150,594,10,248,8,26,358,16,64,492,16,14,28,98,158,26,1842,7874
臺北市,中山區,龍洲里,1410,86,300,2,208,4,4,848,12,52,394,8,2,38,48,192,46,2504,6158
臺北市,中正區,三愛里,3484,244,500,8,418,10,32,924,20,138,522,32,0,62,130,300,36,2570,9430
臺北市,中正區,光復里,1550,100,262,2,96,10,10,302,16,36,256,6,10,16,58,90,46,1130,3996
臺北市,中正區,南福里,4048,228,644,6,450,10,44,938,16,124,638,20,8,108,136,332,56,3336,11142
臺北市,中正區,南門里,960,58,174,4,102,4,8,382,6,32,166,2,0,24,32,92,20,1110,3176
臺北市,中正區,富水里,666,36,180,2,92,4,14,318,4,34,200,10,8,58,42,84,28,956,2736
臺北市,中正區,幸市里,2118,142,314,2,194,4,18,524,4,68,258,20,6,30,60,166,6,1496,5430
臺北市,中正區,幸福里,1946,86,324,10,152,6,18,412,18,44,276,20,2,26,72,166,32,1428,5038
臺北市,中正區,廈安里,1750,108,352,6,154,6,12,314,2,64,252,6,10,28,64,134,12,1236,4510
臺北市,中正區,建國里,528,28,108,2,54,4,6,156,2,12,126,4,0,4,14,36,20,480,1584
臺北市,中正區,忠勤里,2858,152,406,10,154,24,16,574,28,94,514,14,12,42,128,148,58,2370,7602
臺北市,中正區,愛國里,1394,78,198,4,118,0,6,316,2,58,210,6,2,24,20,80,28,1040,3584
臺北市,中正區,文北里,2324,204,338,6,260,4,6,556,6,78,320,22,0,42,70,196,48,1704,6184
臺北市,中正區,文盛里,1166,72,208,4,132,0,4,344,14,28,124,8,2,20,32,126,24,824,3132
臺北市,中正區,文祥里,3140,170,522,6,362,0,20,814,6,104,416,16,6,60,106,232,38,2480,8498
臺北市,中正區,新營里,2988,192,568,6,408,18,14,980,14,120,560,12,4,106,146,302,66,3122,9626
臺北市,中正區,東門里,1474,98,252,2,198,14,12,530,2,58,234,10,0,26,62,100,18,1442,4532
臺北市,中正區,板溪里,1456,92,248,2,148,8,10,352,8,42,224,2,2,42,54,104,28,1158,3980
臺北市,中正區,林興里,1564,78,302,2,190,6,8,512,16,64,342,10,6,62,98,202,52,1546,5060
臺北市,中正區,梅花里,1414,106,218,8,152,4,8,268,8,44,190,4,2,18,48,110,6,1100,3708
臺北市,中正區,水源里,1282,76,220,2,128,4,14,244,8,36,178,8,10,20,42,58,14,976,3320
臺北市,中正區,永功里,2978,166,476,4,202,14,16,508,14,90,390,24,2,50,108,146,48,1878,7114
臺北市,中正區,永昌里,2492,148,374,8,168,8,26,438,8,64,360,8,6,22,102,104,58,1792,6186
臺北市,中正區,河堤里,1726,106,366,2,216,2,20,652,18,116,338,14,2,44,74,152,30,1600,5478
臺北市,中正區,網溪里,2374,136,484,2,302,8,14,716,14,116,372,10,12,38,88,208,48,1938,6880
臺北市,中正區,螢圃里,2232,104,416,8,222,10,20,656,6,120,332,16,10,40,84,200,34,1958,6468
臺北市,中正區,螢雪里,1974,104,358,2,188,8,12,458,18,70,314,26,8,46,74,120,36,1642,5458
臺北市,中正區,頂東里,2634,168,490,2,252,14,22,682,20,124,348,16,18,70,100,232,46,2114,7352
臺北市,中正區,黎明里,1098,100,200,4,110,10,2,306,20,32,252,14,2,18,46,70,12,1020,3316
臺北市,中正區,龍光里,1332,94,212,2,140,4,22,330,4,56,206,12,0,26,46,54,24,1198,3762
臺北市,中正區,龍福里,2492,140,414,4,260,12,8,560,4,82,408,4,0,34,106,158,36,2076,6798
臺北市,中正區,龍興里,1674,80,266,2,216,2,6,300,8,86,266,18,0,28,66,90,6,1156,4270
臺北市,信義區,三張里,3356,192,628,14,360,26,30,1224,26,140,610,20,12,54,132,258,60,3336,10478
臺北市,信義區,三犁里,2120,92,272,6,178,8,18,714,10,52,364,4,12,18,86,140,62,1836,5992
臺北市,信義區,中坡里,2112,102,340,4,174,14,10,370,12,84,280,12,6,18,70,86,24,1616,5334
臺北市,信義區,中興里,1300,52,234,6,148,8,8,436,10,38,218,2,0,22,68,112,18,1062,3742
臺北市,信義區,中行里,4046,178,598,16,298,30,44,598,22,84,550,22,6,52,174,136,58,2496,9408
臺北市,信義區,五全里,2768,130,398,10,182,12,20,340,12,64,334,14,4,32,110,118,42,1682,6272
臺北市,信義區,五常里,1738,56,268,4,154,10,6,300,6,28,232,4,6,28,118,74,26,1304,4362
臺北市,信義區,六合里,2252,106,474,4,288,18,24,1000,20,78,438,10,8,48,112,158,70,2666,7774
臺北市,信義區,六藝里,1890,58,272,2,128,0,14,264,8,40,252,12,16,26,82,82,12,1198,4356
臺北市,信義區,嘉興里,1504,88,220,4,132,8,2,354,6,26,176,6,4,20,74,86,22,1036,3768
臺北市,信義區,四維里,2340,114,420,6,206,10,34,478,10,44,342,28,6,34,108,150,24,1958,6312
臺北市,信義區,四育里,2958,192,438,10,240,10,28,380,30,60,348,12,12,48,68,156,48,1832,6870
臺北市,信義區,國業里,2998,168,518,8,278,4,30,750,16,84,476,16,12,68,110,142,64,2534,8276
臺北市,信義區,大仁里,1930,108,252,6,146,8,10,300,16,30,244,10,2,38,78,86,36,1534,4834
臺北市,信義區,大道里,3154,166,480,6,246,16,12,538,18,66,376,18,10,38,102,134,40,2128,7548
臺北市,信義區,安康里,4032,162,670,6,350,12,32,1134,26,96,650,14,24,42,162,282,112,3190,10996
臺北市,信義區,富台里,1344,72,232,6,166,4,22,604,26,48,290,4,2,24,72,120,48,1754,4838
臺北市,信義區,廣居里,3194,158,572,6,322,12,36,896,8,74,476,30,8,44,150,222,54,2734,8996
臺北市,信義區,惠安里,2340,100,476,6,278,18,14,814,22,74,510,32,8,54,102,180,90,2540,7658
臺北市,信義區,敦厚里,2108,118,366,2,224,8,20,566,26,58,338,12,4,32,116,136,32,1766,5932
臺北市,信義區,新仁里,1142,88,234,0,150,4,14,438,4,66,262,4,4,24,78,136,26,1274,3948
臺北市,信義區,景勤里,1684,80,246,4,116,14,10,514,6,42,264,22,4,20,82,100,32,1550,4790
臺北市,信義區,景新里,1898,102,280,10,254,8,12,672,12,58,308,8,6,16,94,194,56,1818,5806
臺北市,信義區,景聯里,2012,118,358,2,188,6,14,536,10,30,318,6,6,42,94,130,36,1670,5576
臺北市,信義區,松光里,2334,134,366,8,154,6,22,426,22,60,348,10,8,14,78,104,32,1672,5798
臺北市,信義區,松友里,2768,142,470,4,242,14,20,666,12,70,394,10,18,28,114,170,50,2354,7546
臺北市,信義區,松隆里,944,36,126,0,76,8,4,190,6,20,198,12,0,14,70,38,24,734,2500
臺北市,信義區,正和里,1612,112,268,6,200,4,24,746,12,58,278,10,6,32,90,162,48,1712,5380
臺北市,信義區,永吉里,2468,106,240,4,78,10,22,158,22,42,296,14,12,20,50,58,26,1034,4660
臺北市,信義區,永春里,2464,138,330,6,176,12,20,378,18,60,296,22,8,30,112,108,38,1540,5756
臺北市,信義區,泰和里,3068,126,516,6,332,18,32,818,28,84,532,20,18,46,124,232,66,2664,8730
臺北市,信義區,興隆里,948,42,164,2,110,10,2,416,4,22,192,6,4,10,52,64,42,958,3048
臺北市,信義區,興雅里,2494,128,446,4,214,16,22,636,18,60,356,12,12,36,82,158,34,1948,6676
臺北市,信義區,西村里,1170,64,258,0,196,10,8,948,20,46,304,10,6,42,78,182,64,2068,5474
臺北市,信義區,長春里,2032,104,310,4,196,16,10,284,8,36,266,20,12,20,70,98,46,1402,4934
臺北市,信義區,雅祥里,2466,116,336,2,216,10,20,324,32,46,310,16,28,32,82,68,14,1638,5756
臺北市,信義區,雙和里,2832,152,496,4,302,16,22,880,14,116,512,16,12,70,134,174,84,2694,8530
臺北市,信義區,黎安里,680,30,90,2,48,4,12,204,8,4,124,10,8,4,48,38,24,1198,2536
臺北市,信義區,黎平里,2898,150,518,4,262,10,24,756,24,86,482,22,10,54,128,244,40,2586,8298
臺北市,信義區,黎忠里,2110,86,278,8,246,16,34,572,30,46,296,12,6,32,86,80,50,1738,5726
臺北市,信義區,黎順里,1692,82,290,4,162,8,8,512,12,48,244,10,6,16,68,100,44,1476,4782
臺北市,內湖區,五分里,4492,204,818,10,310,30,24,708,32,86,730,32,24,54,204,200,38,2902,10898
臺北市,內湖區,內湖里,2392,118,464,2,194,18,24,588,10,60,384,16,16,30,104,168,38,1938,6564
臺北市,內湖區,內溝里,2038,130,452,6,192,8,12,426,20,44,360,22,8,42,76,152,28,1430,5446
臺北市,內湖區,南湖里,1882,90,416,6,236,4,14,562,12,64,378,12,0,36,104,234,26,1760,5836
臺北市,內湖區,大湖里,2200,104,466,6,314,16,8,588,14,98,386,20,12,52,86,176,34,1764,6344
臺北市,內湖區,安泰里,2190,110,418,6,172,18,24,394,26,50,414,22,20,48,130,102,26,1876,6046
臺北市,內湖區,安湖里,3290,132,716,4,256,12,40,614,34,84,484,34,20,68,152,184,32,2452,8608
臺北市,內湖區,寶湖里,3082,118,502,4,346,16,8,806,10,64,534,16,20,58,108,282,36,2606,8616
臺北市,內湖區,康寧里,3294,154,684,8,374,8,14,822,18,88,668,14,12,34,148,198,60,2936,9534
臺北市,內湖區,明湖里,2284,110,428,12,176,12,16,386,18,48,354,4,6,24,106,108,32,1680,5804
臺北市,內湖區,東湖里,3704,176,614,4,326,12,34,510,30,114,672,24,26,26,140,170,24,2528,9134
臺北市,內湖區,樂康里,3882,186,680,4,288,18,28,602,22,90,640,32,12,46,172,222,30,2540,9494
臺北市,內湖區,清白里,3344,142,636,10,356,14,18,946,12,106,668,22,10,66,148,260,40,2778,9576
臺北市,內湖區,港墘里,2786,116,468,6,242,18,22,540,18,54,348,20,10,58,118,208,40,1876,6948
臺北市,內湖區,港富里,4444,174,734,20,308,22,36,760,36,114,630,28,176,76,154,246,50,3034,11042
臺北市,內湖區,港華里,4030,198,740,12,402,22,22,692,14,96,618,20,28,76,150,262,60,2940,10382
臺北市,內湖區,港都里,2592,108,458,2,200,2,18,420,14,60,406,10,24,36,78,138,26,1834,6426
臺北市,內湖區,湖元里,2510,110,464,6,212,14,12,496,18,84,336,16,10,12,94,140,58,1688,6280
臺北市,內湖區,湖濱里,2964,182,604,2,326,16,14,1078,18,80,520,24,18,68,94,262,60,3118,9448
臺北市,內湖區,湖興里,3386,152,600,6,268,12,20,584,12,86,526,32,16,50,148,186,28,2222,8334
臺北市,內湖區,瑞光里,1714,44,340,4,208,10,10,668,20,44,400,12,4,42,98,164,48,1826,5656
臺北市,內湖區,瑞陽里,2742,138,536,4,340,10,18,992,42,84,586,34,10,42,160,284,46,3380,9448
臺北市,內湖區,石潭里,1480,70,294,10,122,8,12,310,2,36,286,16,4,14,52,56,14,1118,3904
臺北市,內湖區,碧山里,2950,150,590,8,272,18,18,644,12,80,446,24,26,50,126,202,48,2214,7878
臺北市,內湖區,秀湖里,2484,114,434,0,272,12,14,772,12,60,422,14,10,50,100,184,52,2114,7120
臺北市,內湖區,紫星里,3754,166,676,8,314,22,28,800,30,86,476,14,14,46,124,260,46,2592,9456
臺北市,內湖區,紫陽里,3470,184,646,6,352,26,32,954,32,114,538,44,24,56,116,264,22,2600,9480
臺北市,內湖區,紫雲里,2102,100,372,4,190,6,10,680,8,72,426,12,12,42,114,256,44,2226,6676
臺北市,內湖區,葫洲里,2574,118,562,6,294,4,18,746,8,84,480,18,16,22,132,224,20,2290,7616
臺北市,內湖區,蘆洲里,664,26,112,0,22,4,6,26,16,6,98,0,6,4,22,8,2,332,1354
臺北市,內湖區,行善里,3420,192,474,16,208,24,14,492,28,70,482,18,10,34,134,136,24,2080,7856
臺北市,內湖區,西安里,2898,132,558,6,278,20,18,758,22,66,470,24,24,46,130,236,40,2266,7992
臺北市,內湖區,西康里,3650,194,756,6,428,24,28,1000,24,110,614,16,12,68,134,344,68,3322,10798
臺北市,內湖區,西湖里,3706,166,576,6,278,32,34,608,24,78,490,12,14,58,142,190,24,2284,8722
臺北市,內湖區,週美里,3852,150,514,10,268,8,32,562,32,90,508,28,14,18,100,150,24,2496,8856
臺北市,內湖區,金湖里,3500,130,706,8,444,10,24,1084,12,108,614,8,6,32,130,352,36,3016,10220
臺北市,內湖區,金瑞里,2862,120,544,8,260,18,24,592,12,68,458,18,34,60,116,202,38,2238,7672
臺北市,內湖區,金龍里,2372,90,398,8,218,10,28,450,22,62,414,30,14,38,98,142,26,1832,6252
臺北市,內湖區,麗山里,2814,140,490,10,284,12,24,442,30,64,408,20,26,22,88,184,24,1722,6804
臺北市,北投區,一德里,4078,214,544,8,228,6,50,346,14,46,416,14,20,58,168,112,26,2074,8422
臺北市,北投區,中和里,2368,154,384,8,182,10,18,438,12,26,334,10,10,26,172,146,32,1772,6102
臺北市,北投區,中央里,6510,338,864,20,464,28,36,690,32,104,730,24,10,82,266,226,50,3630,14104
臺北市,北投區,中庸里,2448,160,280,2,116,14,20,272,24,32,242,18,8,30,146,92,14,1236,5154
臺北市,北投區,中心里,3008,162,448,0,270,16,14,462,16,68,364,12,4,48,170,226,20,1768,7076
臺北市,北投區,八仙里,2872,108,390,4,202,16,30,374,16,38,300,6,10,22,142,114,20,1632,6296
臺北市,北投區,吉利里,3016,140,596,2,230,16,6,502,18,70,470,18,12,68,200,202,38,2390,7994
臺北市,北投區,吉慶里,2862,126,466,6,164,12,36,322,6,38,284,20,14,26,140,100,14,1544,6180
臺北市,北投區,大同里,3384,180,420,8,218,6,32,294,26,52,376,22,16,42,166,100,22,1632,6996
臺北市,北投區,大屯里,792,28,68,2,18,2,8,42,4,4,64,4,8,10,42,16,0,212,1324
臺北市,北投區,奇岩里,4840,276,744,6,354,34,32,688,32,96,542,28,10,56,272,306,58,3098,11472
臺北市,北投區,尊賢里,2618,158,368,0,190,12,12,238,14,46,270,20,8,32,114,106,24,1308,5538
臺北市,北投區,建民里,2340,152,324,6,144,8,12,328,16,58,248,22,0,8,96,98,20,1270,5150
臺北市,北投區,振華里,3494,176,512,10,320,14,28,696,34,64,480,20,12,44,204,216,46,2714,9084
臺北市,北投區,文化里,1344,66,262,0,158,6,14,550,12,50,258,6,8,52,126,132,64,1824,4932
臺北市,北投區,文林里,2426,88,316,4,178,14,8,200,10,34,246,8,0,40,108,86,10,1294,5070
臺北市,北投區,智仁里,2994,102,414,8,226,28,28,432,30,42,316,18,6,32,224,130,32,2062,7124
臺北市,北投區,東華里,1954,118,294,4,174,6,20,396,20,56,272,12,4,42,148,138,26,1698,5382
臺北市,北投區,林泉里,1270,76,216,2,112,8,16,288,12,34,212,16,2,38,86,64,26,1230,3708
臺北市,北投區,桃源里,3276,168,478,6,212,14,30,330,26,58,352,20,8,32,164,94,12,1872,7152
臺北市,北投區,榮光里,3554,148,472,6,184,14,36,486,14,68,382,16,10,60,200,192,48,2396,8286
臺北市,北投區,榮華里,3438,172,616,8,366,10,14,716,16,78,444,30,12,72,164,248,62,2458,8924
臺北市,北投區,永和里,4508,188,646,6,314,20,28,766,24,80,598,14,8,44,178,322,40,2618,10402
臺北市,北投區,永明里,2282,104,360,2,158,2,14,374,14,38,316,34,2,36,146,130,24,1656,5692
臺北市,北投區,永欣里,3200,174,610,4,360,22,24,932,8,94,450,12,8,56,152,256,46,2584,8992
臺北市,北投區,泉源里,1352,64,138,6,70,10,12,92,10,24,124,12,4,8,70,30,16,630,2672
臺北市,北投區,洲美里,1514,54,164,2,38,10,40,50,6,26,130,2,8,6,22,30,6,386,2494
臺北市,北投區,清江里,4748,214,516,12,250,12,42,448,26,66,536,26,24,44,244,194,62,2658,10122
臺北市,北投區,湖山里,996,62,80,6,42,0,14,98,4,16,134,8,2,10,22,36,56,484,2070
臺北市,北投區,湖田里,502,40,72,6,20,6,6,34,0,12,80,0,2,4,40,10,10,272,1116
臺北市,北投區,溫泉里,3438,188,488,4,208,14,24,388,36,106,420,20,20,50,196,132,42,2154,7928
臺北市,北投區,石牌里,2992,118,410,14,220,16,20,328,16,46,360,6,10,32,146,130,26,1620,6510
臺北市,北投區,福興里,3614,134,476,4,224,10,46,458,20,66,430,16,22,78,202,182,32,2204,8218
臺北市,北投區,秀山里,1656,78,176,6,104,6,14,236,12,24,192,18,14,26,128,96,26,1162,3974
臺北市,北投區,稻香里,2318,104,388,6,132,14,18,338,22,56,368,2,12,20,100,74,30,1740,5742
臺北市,北投區,立賢里,2808,132,398,2,220,8,18,356,16,58,330,12,12,30,114,142,16,1554,6226
臺北市,北投區,立農里,4760,192,736,8,336,10,38,618,22,84,494,30,14,74,224,222,32,2678,10572
臺北市,北投區,裕民里,3704,170,526,2,324,12,18,578,20,80,526,12,6,52,194,254,36,2464,8978
臺北市,北投區,豐年里,2342,92,320,6,92,10,18,242,14,42,296,12,10,12,162,72,30,1592,5364
臺北市,北投區,長安里,3032,136,438,6,202,12,24,336,18,46,312,18,6,36,160,114,38,1790,6724
臺北市,北投區,開明里,3126,158,422,6,252,8,16,542,24,64,392,26,6,64,200,156,50,2314,7826
臺北市,北投區,關渡里,5848,240,848,14,326,14,36,658,44,76,740,38,16,64,278,254,44,3396,12934
臺北市,南港區,三重里,2702,142,410,8,220,16,16,512,24,66,500,24,14,32,106,192,34,1936,6954
臺北市,南港區,中南里,1934,96,254,6,76,10,16,216,8,22,264,20,16,12,72,54,8,1112,4196
臺北市,南港區,中研里,4012,202,958,14,420,26,34,590,24,112,582,44,16,58,206,244,66,3004,10612
臺北市,南港區,九如里,2414,144,436,14,224,10,24,562,10,64,480,20,16,46,90,152,46,2476,7228
臺北市,南港區,仁福里,2006,108,404,6,172,16,14,714,16,60,530,12,8,58,100,160,66,1994,6444
臺北市,南港區,南港里,2698,132,494,10,204,6,22,402,20,54,406,14,12,40,78,116,24,1836,6568
臺北市,南港區,合成里,3504,174,450,20,214,18,24,472,16,80,460,14,12,36,144,142,16,2302,8098
臺北市,南港區,成福里,3208,184,534,6,288,6,24,700,28,80,622,32,20,70,128,172,74,2872,9048
臺北市,南港區,新光里,1656,60,262,10,116,8,8,300,18,42,318,16,8,20,74,70,28,1504,4518
臺北市,南港區,新富里,2042,70,346,4,112,10,26,254,16,36,256,24,14,24,74,76,6,1170,4560
臺北市,南港區,東新里,3342,186,546,4,180,16,24,422,28,74,478,16,14,46,122,146,32,2432,8108
臺北市,南港區,東明里,2026,98,370,0,180,6,16,402,10,58,344,12,12,26,88,120,24,1658,5450
臺北市,南港區,玉成里,2582,150,334,6,148,8,14,312,36,66,334,14,12,42,126,96,38,1428,5746
臺北市,南港區,百福里,2534,116,382,4,186,10,14,350,28,60,372,20,10,40,112,112,32,1816,6198
臺北市,南港區,聯成里,2260,100,386,12,184,12,18,462,14,48,364,14,6,38,96,114,32,1844,6004
臺北市,南港區,舊莊里,4242,192,718,12,292,28,48,536,30,78,644,32,26,56,162,222,18,2638,9974
臺北市,南港區,萬福里,1872,122,338,8,176,14,18,356,14,46,324,18,6,26,66,78,26,1702,5210
臺北市,南港區,西新里,2602,98,392,2,130,6,22,256,28,48,320,20,12,28,118,110,18,1232,5442
臺北市,南港區,重陽里,2020,76,428,6,238,6,6,540,4,62,456,20,8,20,66,168,40,1596,5760
臺北市,南港區,鴻福里,2144,122,304,6,200,14,16,400,10,54,332,20,0,18,100,102,32,1638,5512
臺北市,士林區,三玉里,2862,154,464,4,246,14,30,506,20,72,328,10,0,20,96,176,22,1884,6908
臺北市,士林區,仁勇里,2260,132,294,6,90,8,18,208,16,40,266,10,6,14,64,82,24,1102,4640
臺北市,士林區,公館里,890,42,72,0,36,14,2,38,2,10,62,2,4,2,28,18,16,310,1548
臺北市,士林區,前港里,2524,142,324,6,154,10,14,226,10,28,400,18,4,34,62,118,20,1230,5324
臺北市,士林區,名山里,3308,174,580,18,302,14,26,716,16,66,444,10,10,70,144,216,48,2416,8578
臺北市,士林區,天和里,3510,188,556,6,326,8,12,802,8,86,414,14,4,44,128,250,34,2354,8744
臺北市,士林區,天壽里,2334,86,392,2,208,6,20,472,6,40,278,20,6,38,76,130,24,1630,5768
臺北市,士林區,天山里,3070,156,496,2,318,16,14,728,14,60,374,22,0,40,106,222,50,2262,7950
臺北市,士林區,天母里,3026,152,462,2,292,12,18,752,18,70,422,6,4,58,132,212,30,2134,7802
臺北市,士林區,天玉里,3868,202,602,2,390,10,24,958,12,56,518,26,2,56,206,268,54,2732,9986
臺北市,士林區,天祿里,2690,142,378,4,202,12,20,332,12,68,328,10,6,32,122,144,36,1578,6116
臺北市,士林區,天福里,2868,120,470,8,286,4,8,622,8,50,328,10,10,34,116,182,30,2002,7156
臺北市,士林區,富光里,3460,206,458,6,150,20,30,298,38,52,394,18,4,44,100,76,16,1332,6702
臺北市,士林區,富洲里,4304,248,386,6,80,8,26,144,20,24,404,26,38,14,100,78,22,1002,6930
臺北市,士林區,岩山里,1464,74,264,4,164,4,4,332,10,36,184,12,0,30,64,88,8,1286,4028
臺北市,士林區,平等里,1202,42,82,4,34,8,10,40,2,12,44,8,6,6,36,14,12,258,1820
臺北市,士林區,後港里,4610,242,672,2,262,10,40,410,22,50,398,20,14,18,124,164,22,2278,9358
臺北市,士林區,德華里,3102,194,372,6,244,12,16,394,22,54,294,18,10,48,104,198,28,1678,6794
臺北市,士林區,德行里,2220,126,330,2,190,10,6,306,2,24,294,16,2,46,96,96,20,1406,5192
臺北市,士林區,忠誠里,1968,104,370,2,192,10,10,798,12,52,332,6,2,36,182,170,38,2370,6654
臺北市,士林區,承德里,2804,166,428,2,178,0,18,458,16,60,404,12,8,36,64,174,48,1754,6630
臺北市,士林區,新安里,3738,194,424,4,244,12,22,800,26,88,656,20,12,54,140,148,66,2822,9470
臺北市,士林區,明勝里,2802,110,444,4,172,4,10,336,6,32,332,16,6,36,70,112,22,1338,5852
臺北市,士林區,東山里,2084,106,296,6,198,4,2,548,10,40,340,6,10,58,90,160,42,1960,5960
臺北市,士林區,永倫里,4716,222,536,6,200,14,32,278,30,32,596,26,16,22,100,158,20,1722,8726
臺北市,士林區,永福里,734,58,82,0,50,4,4,4,6,4,74,0,6,10,22,36,2,352,1448
臺北市,士林區,溪山里,870,72,72,0,26,12,8,52,4,10,64,8,6,16,54,12,6,328,1620
臺北市,士林區,百齡里,4122,258,570,14,274,12,30,380,36,72,458,24,4,52,112,202,24,1988,8632
臺北市,士林區,社園里,4848,280,522,8,194,4,10,250,32,40,584,20,6,42,124,98,18,1530,8610
臺北市,士林區,社子里,4014,210,488,6,144,18,22,256,10,36,666,16,12,26,108,110,28,1480,7650
臺北市,士林區,社新里,5696,282,602,4,232,14,42,310,20,82,698,28,12,36,132,128,32,2118,10468
臺北市,士林區,福中里,3984,206,562,6,204,8,40,404,18,72,464,20,28,42,122,190,20,1652,8042
臺北市,士林區,福佳里,4220,248,522,24,266,26,44,576,36,62,444,34,12,58,138,250,36,2380,9376
臺北市,士林區,福安里,3980,164,322,6,86,10,14,118,10,16,344,22,22,18,70,32,8,584,5826
