行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,宋楚瑜/徐欣瑩_黨籍,朱立倫/王如玄_黨籍,蔡英文/陳建仁_黨籍
中山區,民安里,556,1632,3170,親民黨,中國國民黨,民主進步黨
中山區,永安里,1034,3968,5444,親民黨,中國國民黨,民主進步黨
中山區,江寧里,754,2922,4344,親民黨,中國國民黨,民主進步黨
中山區,江山里,814,2808,5286,親民黨,中國國民黨,民主進步黨
中山區,聚盛里,570,1604,2398,親民黨,中國國民黨,民主進步黨
中山區,聚葉里,508,1408,2404,親民黨,中國國民黨,民主進步黨
中山區,興亞里,648,1966,3552,親民黨,中國國民黨,民主進步黨
中山區,行仁里,996,2776,5802,親民黨,中國國民黨,民主進步黨
中山區,行孝里,470,1326,2916,親民黨,中國國民黨,民主進步黨
中山區,行政里,764,2270,3920,親民黨,中國國民黨,民主進步黨
中山區,金泰里,892,3092,3908,親民黨,中國國民黨,民主進步黨
中山區,集英里,884,2280,4744,親民黨,中國國民黨,民主進步黨
中山區,龍洲里,728,3394,2014,親民黨,中國國民黨,民主進步黨
中正區,三愛里,886,3710,4778,親民黨,中國國民黨,民主進步黨
中正區,光復里,516,1440,2040,親民黨,中國國民黨,民主進步黨
中正區,南福里,1128,4474,5486,親民黨,中國國民黨,民主進步黨
中正區,南門里,330,1468,1350,親民黨,中國國民黨,民主進步黨
中正區,富水里,382,1332,1012,親民黨,中國國民黨,民主進步黨
中正區,幸市里,480,2084,2834,親民黨,中國國民黨,民主進步黨
中正區,幸福里,536,1950,2568,親民黨,中國國民黨,民主進步黨
中正區,廈安里,498,1582,2418,親民黨,中國國民黨,民主進步黨
中正區,建國里,194,652,734,親民黨,中國國民黨,民主進步黨
中正區,忠勤里,1038,2928,3674,親民黨,中國國民黨,民主進步黨
中正區,愛國里,328,1410,1832,親民黨,中國國民黨,民主進步黨
中正區,文北里,550,2422,3178,親民黨,中國國民黨,民主進步黨
中正區,文盛里,328,1226,1558,親民黨,中國國民黨,民主進步黨
中正區,文祥里,850,3388,4234,親民黨,中國國民黨,民主進步黨
中正區,新營里,1098,4270,4174,親民黨,中國國民黨,民主進步黨
中正區,東門里,422,2002,2108,親民黨,中國國民黨,民主進步黨
中正區,板溪里,464,1550,1996,親民黨,中國國民黨,民主進步黨
中正區,林興里,590,2268,2192,親民黨,中國國民黨,民主進步黨
中正區,梅花里,304,1422,1958,親民黨,中國國民黨,民主進步黨
中正區,水源里,366,1256,1704,親民黨,中國國民黨,民主進步黨
中正區,永功里,704,2446,3970,親民黨,中國國民黨,民主進步黨
中正區,永昌里,666,2252,3274,親民黨,中國國民黨,民主進步黨
中正區,河堤里,586,2370,2492,親民黨,中國國民黨,民主進步黨
中正區,網溪里,722,2810,3320,親民黨,中國國民黨,民主進步黨
中正區,螢圃里,592,2754,3122,親民黨,中國國民黨,民主進步黨
中正區,螢雪里,640,2172,2616,親民黨,中國國民黨,民主進步黨
中正區,頂東里,738,2890,3670,親民黨,中國國民黨,民主進步黨
中正區,黎明里,456,1344,1522,親民黨,中國國民黨,民主進步黨
中正區,龍光里,422,1512,1814,親民黨,中國國民黨,民主進步黨
中正區,龍福里,736,2670,3384,親民黨,中國國民黨,民主進步黨
中正區,龍興里,480,1506,2268,親民黨,中國國民黨,民主進步黨
信義區,三張里,1154,4662,4674,親民黨,中國國民黨,民主進步黨
信義區,三犁里,658,2656,2676,親民黨,中國國民黨,民主進步黨
信義區,中坡里,564,2026,2736,親民黨,中國國民黨,民主進步黨
信義區,中興里,392,1556,1766,親民黨,中國國民黨,民主進步黨
信義區,中行里,1088,3082,5240,親民黨,中國國民黨,民主進步黨
信義區,五全里,598,2094,3572,親民黨,中國國民黨,民主進步黨
信義區,五常里,490,1642,2222,親民黨,中國國民黨,民主進步黨
信義區,六合里,878,3670,3218,親民黨,中國國民黨,民主進步黨
信義區,六藝里,490,1510,2372,親民黨,中國國民黨,民主進步黨
信義區,嘉興里,378,1430,1966,親民黨,中國國民黨,民主進步黨
信義區,四維里,604,2530,3182,親民黨,中國國民黨,民主進步黨
信義區,四育里,692,2262,3904,親民黨,中國國民黨,民主進步黨
信義區,國業里,950,3278,4058,親民黨,中國國民黨,民主進步黨
信義區,大仁里,450,1880,2550,親民黨,中國國民黨,民主進步黨
信義區,大道里,756,2672,4100,親民黨,中國國民黨,民主進步黨
信義區,安康里,1102,4526,5332,親民黨,中國國民黨,民主進步黨
信義區,富台里,592,2408,1852,親民黨,中國國民黨,民主進步黨
信義區,廣居里,870,3740,4368,親民黨,中國國民黨,民主進步黨
信義區,惠安里,884,3534,3268,親民黨,中國國民黨,民主進步黨
信義區,敦厚里,638,2374,2886,親民黨,中國國民黨,民主進步黨
信義區,新仁里,454,1780,1672,親民黨,中國國民黨,民主進步黨
信義區,景勤里,506,2110,2178,親民黨,中國國民黨,民主進步黨
信義區,景新里,608,2590,2568,親民黨,中國國民黨,民主進步黨
信義區,景聯里,608,2272,2710,親民黨,中國國民黨,民主進步黨
信義區,松光里,634,2098,3068,親民黨,中國國民黨,民主進步黨
信義區,松友里,908,2990,3674,親民黨,中國國民黨,民主進步黨
信義區,松隆里,336,924,1256,親民黨,中國國民黨,民主進步黨
信義區,正和里,630,2492,2234,親民黨,中國國民黨,民主進步黨
信義區,永吉里,480,1218,3016,親民黨,中國國民黨,民主進步黨
信義區,永春里,566,1980,3238,親民黨,中國國民黨,民主進步黨
信義區,泰和里,1036,3596,4140,親民黨,中國國民黨,民主進步黨
信義區,興隆里,358,1388,1294,親民黨,中國國民黨,民主進步黨
信義區,興雅里,674,2620,3396,親民黨,中國國民黨,民主進步黨
信義區,西村里,592,3104,1758,親民黨,中國國民黨,民主進步黨
信義區,長春里,584,1696,2664,親民黨,中國國民黨,民主進步黨
信義區,雅祥里,576,1998,3158,親民黨,中國國民黨,民主進步黨
信義區,雙和里,984,3644,3832,親民黨,中國國民黨,民主進步黨
信義區,黎安里,234,1468,892,親民黨,中國國民黨,民主進步黨
信義區,黎平里,1010,3408,3868,親民黨,中國國民黨,民主進步黨
信義區,黎忠里,636,2308,2804,親民黨,中國國民黨,民主進步黨
信義區,黎順里,456,2050,2272,親民黨,中國國民黨,民主進步黨
內湖區,五分里,1308,3636,6026,親民黨,中國國民黨,民主進步黨
內湖區,內湖里,720,2566,3246,親民黨,中國國民黨,民主進步黨
內湖區,內溝里,744,1874,2856,親民黨,中國國民黨,民主進步黨
內湖區,南湖里,674,2412,2700,親民黨,中國國民黨,民主進步黨
內湖區,大湖里,740,2452,3128,親民黨,中國國民黨,民主進步黨
內湖區,安泰里,834,2262,3012,親民黨,中國國民黨,民主進步黨
內湖區,安湖里,896,3216,4432,親民黨,中國國民黨,民主進步黨
內湖區,寶湖里,896,3550,4138,親民黨,中國國民黨,民主進步黨
內湖區,康寧里,1236,3726,4550,親民黨,中國國民黨,民主進步黨
內湖區,明湖里,700,2030,3098,親民黨,中國國民黨,民主進步黨
內湖區,東湖里,1094,3014,5016,親民黨,中國國民黨,民主進步黨
內湖區,樂康里,1258,3094,5132,親民黨,中國國民黨,民主進步黨
內湖區,清白里,1190,3846,4484,親民黨,中國國民黨,民主進步黨
內湖區,港墘里,760,2466,3748,親民黨,中國國民黨,民主進步黨
內湖區,港富里,1172,3948,5910,親民黨,中國國民黨,民主進步黨
內湖區,港華里,1084,3744,5578,親民黨,中國國民黨,民主進步黨
內湖區,港都里,686,2306,3434,親民黨,中國國民黨,民主進步黨
內湖區,湖元里,616,2224,3416,親民黨,中國國民黨,民主進步黨
內湖區,湖濱里,1056,4230,4166,親民黨,中國國民黨,民主進步黨
內湖區,湖興里,966,2858,4500,親民黨,中國國民黨,民主進步黨
內湖區,瑞光里,676,2608,2366,親民黨,中國國民黨,民主進步黨
內湖區,瑞陽里,1084,4482,3858,親民黨,中國國民黨,民主進步黨
內湖區,石潭里,496,1416,2010,親民黨,中國國民黨,民主進步黨
內湖區,碧山里,892,2956,3998,親民黨,中國國民黨,民主進步黨
內湖區,秀湖里,746,2942,3432,親民黨,中國國民黨,民主進步黨
內湖區,紫星里,994,3454,5016,親民黨,中國國民黨,民主進步黨
內湖區,紫陽里,1038,3656,4794,親民黨,中國國民黨,民主進步黨
內湖區,紫雲里,818,3074,2814,親民黨,中國國民黨,民主進步黨
內湖區,葫洲里,886,3092,3616,親民黨,中國國民黨,民主進步黨
內湖區,蘆洲里,170,352,850,親民黨,中國國民黨,民主進步黨
內湖區,行善里,878,2636,4360,親民黨,中國國民黨,民主進步黨
內湖區,西安里,892,3058,4034,親民黨,中國國民黨,民主進步黨
內湖區,西康里,1154,4436,5172,親民黨,中國國民黨,民主進步黨
內湖區,西湖里,920,2990,4916,親民黨,中國國民黨,民主進步黨
內湖區,週美里,950,2828,4902,親民黨,中國國民黨,民主進步黨
內湖區,金湖里,1142,4226,4820,親民黨,中國國民黨,民主進步黨
內湖區,金瑞里,862,2860,3962,親民黨,中國國民黨,民主進步黨
內湖區,金龍里,686,2298,3248,親民黨,中國國民黨,民主進步黨
內湖區,麗山里,740,2182,3856,親民黨,中國國民黨,民主進步黨
北投區,一德里,816,2480,5140,親民黨,中國國民黨,民主進步黨
北投區,中和里,646,2248,3192,親民黨,中國國民黨,民主進步黨
北投區,中央里,884,3026,6074,親民黨,中國國民黨,民主進步黨
北投區,中庸里,500,1546,3112,親民黨,中國國民黨,民主進步黨
北投區,中心里,720,2374,3938,親民黨,中國國民黨,民主進步黨
北投區,八仙里,594,2070,3646,親民黨,中國國民黨,民主進步黨
北投區,吉利里,924,3010,4056,親民黨,中國國民黨,民主進步黨
北投區,吉慶里,574,1864,3726,親民黨,中國國民黨,民主進步黨
北投區,大同里,696,2004,4334,親民黨,中國國民黨,民主進步黨
北投區,大屯里,110,294,936,親民黨,中國國民黨,民主進步黨
北投區,奇岩里,1152,3936,6362,親民黨,中國國民黨,民主進步黨
北投區,尊賢里,542,1618,3384,親民黨,中國國民黨,民主進步黨
北投區,建民里,502,1654,3014,親民黨,中國國民黨,民主進步黨
北投區,振華里,976,3450,4622,親民黨,中國國民黨,民主進步黨
北投區,文化里,522,2490,1916,親民黨,中國國民黨,民主進步黨
北投區,文林里,440,1588,3064,親民黨,中國國民黨,民主進步黨
北投區,智仁里,716,2534,3888,親民黨,中國國民黨,民主進步黨
北投區,東華里,576,2138,2670,親民黨,中國國民黨,民主進步黨
北投區,林泉里,412,1600,1682,親民黨,中國國民黨,民主進步黨
北投區,桃源里,738,2150,4222,親民黨,中國國民黨,民主進步黨
北投區,榮光里,860,3004,4460,親民黨,中國國民黨,民主進步黨
北投區,榮華里,828,3360,4708,親民黨,中國國民黨,民主進步黨
北投區,永和里,972,3574,5820,親民黨,中國國民黨,民主進步黨
北投區,永明里,610,2092,2976,親民黨,中國國民黨,民主進步黨
北投區,永欣里,836,3624,4456,親民黨,中國國民黨,民主進步黨
北投區,泉源里,250,748,1714,親民黨,中國國民黨,民主進步黨
北投區,洲美里,198,470,1844,親民黨,中國國民黨,民主進步黨
北投區,清江里,1006,3218,5942,親民黨,中國國民黨,民主進步黨
北投區,湖山里,230,604,1260,親民黨,中國國民黨,民主進步黨
北投區,湖田里,136,298,690,親民黨,中國國民黨,民主進步黨
北投區,溫泉里,814,2614,4502,親民黨,中國國民黨,民主進步黨
北投區,石牌里,658,2024,3816,親民黨,中國國民黨,民主進步黨
北投區,福興里,866,2742,4646,親民黨,中國國民黨,民主進步黨
北投區,秀山里,424,1488,2078,親民黨,中國國民黨,民主進步黨
北投區,稻香里,624,2080,3044,親民黨,中國國民黨,民主進步黨
北投區,立賢里,636,1928,3658,親民黨,中國國民黨,民主進步黨
北投區,立農里,1026,3438,6080,親民黨,中國國民黨,民主進步黨
北投區,裕民里,962,3218,4828,親民黨,中國國民黨,民主進步黨
北投區,豐年里,586,1876,2956,親民黨,中國國民黨,民主進步黨
北投區,長安里,664,2162,3904,親民黨,中國國民黨,民主進步黨
北投區,開明里,792,2952,4064,親民黨,中國國民黨,民主進步黨
北投區,關渡里,1308,4274,7518,親民黨,中國國民黨,民主進步黨
南港區,三重里,862,2518,3552,親民黨,中國國民黨,民主進步黨
南港區,中南里,496,1346,2388,親民黨,中國國民黨,民主進步黨
南港區,中研里,1230,3886,5698,親民黨,中國國民黨,民主進步黨
南港區,九如里,876,3008,3374,親民黨,中國國民黨,民主進步黨
南港區,仁福里,874,2788,2798,親民黨,中國國民黨,民主進步黨
南港區,南港里,724,2286,3578,親民黨,中國國民黨,民主進步黨
南港區,合成里,844,2734,4520,親民黨,中國國民黨,民主進步黨
南港區,成福里,1164,3600,4310,親民黨,中國國民黨,民主進步黨
南港區,新光里,500,1860,2194,親民黨,中國國民黨,民主進步黨
南港區,新富里,490,1446,2652,親民黨,中國國民黨,民主進步黨
南港區,東新里,920,2842,4468,親民黨,中國國民黨,民主進步黨
南港區,東明里,592,2102,2746,親民黨,中國國民黨,民主進步黨
南港區,玉成里,686,1720,3366,親民黨,中國國民黨,民主進步黨
南港區,百福里,750,2162,3316,親民黨,中國國民黨,民主進步黨
南港區,聯成里,670,2362,2986,親民黨,中國國民黨,民主進步黨
南港區,舊莊里,1212,3226,5626,親民黨,中國國民黨,民主進步黨
南港區,萬福里,636,2032,2564,親民黨,中國國民黨,民主進步黨
南港區,西新里,600,1532,3336,親民黨,中國國民黨,民主進步黨
南港區,重陽里,702,2188,2870,親民黨,中國國民黨,民主進步黨
南港區,鴻福里,578,2082,2844,親民黨,中國國民黨,民主進步黨
士林區,三玉里,688,2414,3770,親民黨,中國國民黨,民主進步黨
士林區,仁勇里,470,1336,2840,親民黨,中國國民黨,民主進步黨
士林區,公館里,136,340,1098,親民黨,中國國民黨,民主進步黨
士林區,前港里,616,1454,3262,親民黨,中國國民黨,民主進步黨
士林區,名山里,906,3238,4412,親民黨,中國國民黨,民主進步黨
士林區,天和里,770,3238,4672,親民黨,中國國民黨,民主進步黨
士林區,天壽里,516,2140,3116,親民黨,中國國民黨,民主進步黨
士林區,天山里,734,3062,4108,親民黨,中國國民黨,民主進步黨
士林區,天母里,828,2914,4030,親民黨,中國國民黨,民主進步黨
士林區,天玉里,980,3752,5230,親民黨,中國國民黨,民主進步黨
士林區,天祿里,578,2036,3494,親民黨,中國國民黨,民主進步黨
士林區,天福里,632,2704,3840,親民黨,中國國民黨,民主進步黨
士林區,富光里,678,1620,4454,親民黨,中國國民黨,民主進步黨
士林區,富洲里,532,1192,5290,親民黨,中國國民黨,民主進步黨
士林區,岩山里,422,1568,2030,親民黨,中國國民黨,民主進步黨
士林區,平等里,108,278,1434,親民黨,中國國民黨,民主進步黨
士林區,後港里,886,2648,5818,親民黨,中國國民黨,民主進步黨
士林區,德華里,604,2200,4000,親民黨,中國國民黨,民主進步黨
士林區,德行里,554,1786,2846,親民黨,中國國民黨,民主進步黨
士林區,忠誠里,716,3240,2684,親民黨,中國國民黨,民主進步黨
士林區,承德里,650,2358,3622,親民黨,中國國民黨,民主進步黨
士林區,新安里,172,670,1560,親民黨,中國國民黨,民主進步黨
士林區,明勝里,582,1702,3568,親民黨,中國國民黨,民主進步黨
士林區,東山里,662,2514,2786,親民黨,中國國民黨,民主進步黨
士林區,永倫里,772,2100,5872,親民黨,中國國民黨,民主進步黨
士林區,永福里,140,382,972,親民黨,中國國民黨,民主進步黨
士林區,溪山里,152,390,1096,親民黨,中國國民黨,民主進步黨
士林區,百齡里,832,2490,5322,親民黨,中國國民黨,民主進步黨
士林區,社園里,786,1826,6040,親民黨,中國國民黨,民主進步黨
士林區,社子里,828,1822,5020,親民黨,中國國民黨,民主進步黨
士林區,社新里,992,2524,7032,親民黨,中國國民黨,民主進步黨
士林區,福中里,802,2124,5138,親民黨,中國國民黨,民主進步黨
士林區,福佳里,872,3036,5464,親民黨,中國國民黨,民主進步黨
士林區,福安里,400,748,4712,親民黨,中國國民黨,民主進步黨
士林區,福德里,594,1932,2940,親民黨,中國國民黨,民主進步黨
士林區,福志里,762,3718,4650,親民黨,中國國民黨,民主進步黨
士林區,福林里,388,1314,1866,親民黨,中國國民黨,民主進步黨
士林區,福華里,736,2268,4320,親民黨,中國國民黨,民主進步黨
士林區,福順里,604,1522,4180,親民黨,中國國民黨,民主進步黨
士林區,義信里,340,1210,2006,親民黨,中國國民黨,民主進步黨
士林區,翠山里,326,1714,1086,親民黨,中國國民黨,民主進步黨
士林區,聖山里,596,2596,2934,親民黨,中國國民黨,民主進步黨
士林區,臨溪里,358,1390,1760,親民黨,中國國民黨,民主進步黨
士林區,舊佳里,606,2420,4256,親民黨,中國國民黨,民主進步黨
士林區,芝山里,952,3094,4732,親民黨,中國國民黨,民主進步黨
士林區,菁山里,192,578,1130,親民黨,中國國民黨,民主進步黨
士林區,葫東里,444,1190,3240,親民黨,中國國民黨,民主進步黨
士林區,葫蘆里,800,2772,5524,親民黨,中國國民黨,民主進步黨
士林區,蘭興里,724,2668,4374,親民黨,中國國民黨,民主進步黨
士林區,蘭雅里,932,3694,5606,親民黨,中國國民黨,民主進步黨
士林區,陽明里,346,1236,1934,親民黨,中國國民黨,民主進步黨
大同區,保安里,488,1244,3322,親民黨,中國國民黨,民主進步黨
大同區,光能里,628,1638,3860,親民黨,中國國民黨,民主進步黨
大同區,南芳里,402,1298,2882,親民黨,中國國民黨,民主進步黨
大同區,國慶里,494,1404,3396,親民黨,中國國民黨,民主進步黨
大同區,國順里,428,792,2384,親民黨,中國國民黨,民主進步黨
大同區,大有里,628,1424,3856,親民黨,中國國民黨,民主進步黨
大同區,延平里,614,1390,2880,親民黨,中國國民黨,民主進步黨
大同區,建功里,508,1548,3250,親民黨,中國國民黨,民主進步黨
大同區,建明里,414,1084,2538,親民黨,中國國民黨,民主進步黨
大同區,建泰里,406,1140,2838,親民黨,中國國民黨,民主進步黨
大同區,揚雅里,450,1026,2866,親民黨,中國國民黨,民主進步黨
大同區,斯文里,628,1584,4094,親民黨,中國國民黨,民主進步黨
大同區,星明里,734,1884,4068,親民黨,中國國民黨,民主進步黨
大同區,景星里,294,844,2068,親民黨,中國國民黨,民主進步黨
大同區,朝陽里,552,1386,3292,親民黨,中國國民黨,民主進步黨
大同區,民權里,742,2100,4504,親民黨,中國國民黨,民主進步黨
大同區,永樂里,636,1594,4066,親民黨,中國國民黨,民主進步黨
大同區,玉泉里,308,1058,2116,親民黨,中國國民黨,民主進步黨
大同區,老師里,692,1678,4804,親民黨,中國國民黨,民主進步黨
大同區,至聖里,952,2750,5970,親民黨,中國國民黨,民主進步黨
大同區,蓬萊里,608,1540,3626,親民黨,中國國民黨,民主進步黨
大同區,鄰江里,706,2046,5276,親民黨,中國國民黨,民主進步黨
大同區,重慶里,794,2388,4686,親民黨,中國國民黨,民主進步黨
大同區,隆和里,328,910,2380,親民黨,中國國民黨,民主進步黨
大同區,雙連里,1080,2874,6818,親民黨,中國國民黨,民主進步黨
大安區,仁愛里,486,2398,2582,親民黨,中國國民黨,民主進步黨
大安區,仁慈里,532,2310,2964,親民黨,中國國民黨,民主進步黨
大安區,住安里,616,2436,2660,親民黨,中國國民黨,民主進步黨
大安區,光信里,860,3608,4164,親民黨,中國國民黨,民主進步黨
大安區,光明里,382,1482,1906,親民黨,中國國民黨,民主進步黨
大安區,光武里,916,3386,3958,親民黨,中國國民黨,民主進步黨
大安區,全安里,446,2206,2230,親民黨,中國國民黨,民主進步黨
大安區,古莊里,784,3130,3844,親民黨,中國國民黨,民主進步黨
大安區,古風里,474,1948,2372,親民黨,中國國民黨,民主進步黨
大安區,和安里,748,3200,3348,親民黨,中國國民黨,民主進步黨
大安區,大學里,990,4050,4552,親民黨,中國國民黨,民主進步黨
大安區,學府里,334,1580,1288,親民黨,中國國民黨,民主進步黨
大安區,建倫里,626,2926,3006,親民黨,中國國民黨,民主進步黨
大安區,建安里,546,2358,2378,親民黨,中國國民黨,民主進步黨
大安區,德安里,580,2756,2664,親民黨,中國國民黨,民主進步黨
大安區,敦安里,562,2638,3376,親民黨,中國國民黨,民主進步黨
大安區,敦煌里,648,2800,3266,親民黨,中國國民黨,民主進步黨
大安區,新龍里,822,3936,2750,親民黨,中國國民黨,民主進步黨
大安區,昌隆里,294,1370,1880,親民黨,中國國民黨,民主進步黨
大安區,正聲里,468,2342,2420,親民黨,中國國民黨,民主進步黨
大安區,民炤里,800,3368,4498,親民黨,中國國民黨,民主進步黨
大安區,民輝里,824,2966,3878,親民黨,中國國民黨,民主進步黨
大安區,永康里,470,1624,1872,親民黨,中國國民黨,民主進步黨
大安區,法治里,558,2268,2184,親民黨,中國國民黨,民主進步黨
大安區,福住里,732,2634,3218,親民黨,中國國民黨,民主進步黨
大安區,群英里,852,4760,2566,親民黨,中國國民黨,民主進步黨
大安區,群賢里,640,3132,2910,親民黨,中國國民黨,民主進步黨
大安區,義安里,584,2662,2520,親民黨,中國國民黨,民主進步黨
大安區,義村里,760,3554,2496,親民黨,中國國民黨,民主進步黨
大安區,臥龍里,274,1008,874,親民黨,中國國民黨,民主進步黨
大安區,臨江里,532,1868,2506,親民黨,中國國民黨,民主進步黨
大安區,芳和里,690,2862,2986,親民黨,中國國民黨,民主進步黨
大安區,華聲里,454,2034,2214,親民黨,中國國民黨,民主進步黨
大安區,虎嘯里,458,1898,1914,親民黨,中國國民黨,民主進步黨
大安區,誠安里,440,1932,2412,親民黨,中國國民黨,民主進步黨
大安區,車層里,574,2852,3462,親民黨,中國國民黨,民主進步黨
大安區,通化里,810,2444,3798,親民黨,中國國民黨,民主進步黨
大安區,通安里,742,2568,3220,親民黨,中國國民黨,民主進步黨
大安區,錦安里,640,2686,2972,親民黨,中國國民黨,民主進步黨
大安區,錦泰里,320,1704,1720,親民黨,中國國民黨,民主進步黨
大安區,錦華里,522,2738,2902,親民黨,中國國民黨,民主進步黨
大安區,黎元里,760,2312,3226,親民黨,中國國民黨,民主進步黨
大安區,黎和里,624,2534,2448,親民黨,中國國民黨,民主進步黨
大安區,黎孝里,1050,3840,4274,親民黨,中國國民黨,民主進步黨
大安區,龍圖里,720,3362,3384,親民黨,中國國民黨,民主進步黨
大安區,龍坡里,708,2728,2926,親民黨,中國國民黨,民主進步黨
大安區,龍安里,702,2822,3450,親民黨,中國國民黨,民主進步黨
大安區,龍泉里,536,2042,2708,親民黨,中國國民黨,民主進步黨
大安區,龍淵里,1052,4110,5064,親民黨,中國國民黨,民主進步黨
大安區,龍生里,684,3254,3296,親民黨,中國國民黨,民主進步黨
大安區,龍門里,396,2006,2348,親民黨,中國國民黨,民主進步黨
大安區,龍陣里,392,1732,2026,親民黨,中國國民黨,民主進步黨
大安區,龍雲里,470,2310,2676,親民黨,中國國民黨,民主進步黨
文山區,博嘉里,706,2708,2958,親民黨,中國國民黨,民主進步黨
文山區,忠順里,514,2416,1778,親民黨,中國國民黨,民主進步黨
文山區,指南里,562,1494,2228,親民黨,中國國民黨,民主進步黨
文山區,政大里,830,3340,3438,親民黨,中國國民黨,民主進步黨
文山區,明義里,420,2094,1592,親民黨,中國國民黨,民主進步黨
文山區,明興里,906,3580,3338,親民黨,中國國民黨,民主進步黨
文山區,景仁里,676,2276,2414,親民黨,中國國民黨,民主進步黨
文山區,景慶里,858,3016,3472,親民黨,中國國民黨,民主進步黨
文山區,景東里,922,3672,3184,親民黨,中國國民黨,民主進步黨
文山區,景美里,676,2456,2748,親民黨,中國國民黨,民主進步黨
文山區,景華里,788,2876,3048,親民黨,中國國民黨,民主進步黨
文山區,景行里,810,2812,4014,親民黨,中國國民黨,民主進步黨
文山區,木新里,1042,4064,5132,親民黨,中國國民黨,民主進步黨
文山區,木柵里,1108,5134,3860,親民黨,中國國民黨,民主進步黨
文山區,樟文里,798,2964,3346,親民黨,中國國民黨,民主進步黨
文山區,樟新里,714,2654,2792,親民黨,中國國民黨,民主進步黨
文山區,樟林里,1176,4452,3938,親民黨,中國國民黨,民主進步黨
文山區,樟樹里,616,2324,2618,親民黨,中國國民黨,民主進步黨
文山區,樟腳里,698,2692,3094,親民黨,中國國民黨,民主進步黨
文山區,老泉里,84,268,678,親民黨,中國國民黨,民主進步黨
文山區,興光里,378,1820,1672,親民黨,中國國民黨,民主進步黨
文山區,興安里,882,3734,2824,親民黨,中國國民黨,民主進步黨
文山區,興家里,1122,3968,3624,親民黨,中國國民黨,民主進步黨
文山區,興得里,746,3200,2940,親民黨,中國國民黨,民主進步黨
文山區,興旺里,1156,4374,3620,親民黨,中國國民黨,民主進步黨
文山區,興昌里,966,3512,2970,親民黨,中國國民黨,民主進步黨
文山區,興業里,706,3136,2404,親民黨,中國國民黨,民主進步黨
文山區,興泰里,532,2138,2000,親民黨,中國國民黨,民主進步黨
文山區,興福里,726,2690,3074,親民黨,中國國民黨,民主進步黨
文山區,興豐里,614,2656,2472,親民黨,中國國民黨,民主進步黨
文山區,興邦里,670,2798,2100,親民黨,中國國民黨,民主進步黨
文山區,華興里,1220,4602,4264,親民黨,中國國民黨,民主進步黨
文山區,萬和里,444,2266,1174,親民黨,中國國民黨,民主進步黨
文山區,萬年里,664,2560,3086,親民黨,中國國民黨,民主進步黨
文山區,萬有里,740,2744,2760,親民黨,中國國民黨,民主進步黨
文山區,萬盛里,632,2602,2338,親民黨,中國國民黨,民主進步黨
文山區,萬祥里,528,2244,2538,親民黨,中國國民黨,民主進步黨
文山區,萬美里,992,3530,3422,親民黨,中國國民黨,民主進步黨
文山區,萬興里,898,3916,4464,親民黨,中國國民黨,民主進步黨
文山區,萬芳里,1146,4076,3696,親民黨,中國國民黨,民主進步黨
