行政區別,村里別,侯友宜/趙少康,柯文哲/吳欣盈,賴清德/蕭美琴,侯友宜/趙少康_黨籍,柯文哲/吳欣盈_黨籍,賴清德/蕭美琴_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
信義區,興隆里,1320,640,926,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1345,575,4,579,867,0,3,0
信義區,興雅里,2682,1426,2496,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1353,734,1,735,1026,0,3,0
信義區,西村里,2978,1274,1370,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1338,756,5,761,986,0,3,0
信義區,長春里,1866,1256,2026,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1391,885,6,891,1194,0,3,0
信義區,雅祥里,2272,1522,2414,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1377,757,5,762,1053,0,3,0
信義區,雙和里,3778,2158,3006,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1484,906,4,910,1207,0,3,0
信義區,黎安里,1138,424,646,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1504,642,5,647,904,0,3,0
信義區,黎平里,3766,1934,2964,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1495,927,4,931,1199,0,3,0
信義區,黎忠里,2500,1398,2042,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1500,773,8,781,1060,0,3,0
信義區,黎順里,2104,1046,1690,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,1492,774,4,778,1124,0,3,0
內湖區,五分里,4200,3646,4592,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,769,1012,8,1020,1342,0,3,0
內湖區,內湖里,3302,1976,2830,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,714,1037,4,1041,1409,0,3,0
內湖區,內溝里,2106,1532,2232,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,785,866,3,869,1097,0,3,0
內湖區,南湖里,2780,1770,2318,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,843,1184,5,1189,1543,0,3,0
內湖區,大湖里,2606,1756,2370,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,728,1098,13,1111,1474,0,3,0
內湖區,安泰里,2510,1898,2262,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,817,1059,5,1064,1407,0,3,0
內湖區,安湖里,3326,2604,3438,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,808,827,1,828,1117,0,3,0
內湖區,寶湖里,5024,2934,4026,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,838,1219,11,1230,1626,0,3,0
內湖區,康寧里,4078,2898,3576,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,825,884,2,886,1203,0,3,0
內湖區,明湖里,2248,2010,2292,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,830,1092,15,1107,1399,0,3,0
內湖區,東湖里,3472,2944,3698,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,775,1010,2,1012,1350,0,3,0
內湖區,樂康里,3232,2808,3434,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,780,987,10,997,1348,0,3,0
內湖區,清白里,4520,2588,3794,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,747,1122,7,1129,1505,0,3,0
內湖區,港墘里,2702,2030,2862,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,696,976,6,982,1291,0,3,0
內湖區,港富里,4248,3038,4512,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,703,951,4,955,1264,0,3,0
內湖區,港華里,4072,2924,4248,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,709,1108,2,1110,1467,0,3,0
內湖區,港都里,2312,1814,2626,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,700,1150,6,1156,1520,0,3,0
內湖區,湖元里,2724,2346,2968,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,805,1298,7,1305,1684,0,3,0
內湖區,湖濱里,4550,2540,3582,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,718,1183,6,1189,1505,0,3,0
內湖區,湖興里,3418,2488,3306,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,801,1092,4,1096,1549,0,3,0
內湖區,瑞光里,2548,1440,1722,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,766,1041,7,1048,1343,0,3,0
內湖區,瑞陽里,4654,2324,3000,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,761,1112,13,1125,1449,0,3,0
內湖區,石潭里,1950,1296,1818,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,798,1040,7,1047,1376,0,3,0
