行政區別,村里別,周可盛,柯文哲,楊秋興,連勝文,陳永昌,陳菊,馮光遠,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,大山里,672,0,0,0,0,134,0,806,20,826,0,826,332,1158,71.33
,海埔里,1024,0,0,0,0,232,0,1256,32,1288,0,1288,692,1980,65.05
,莊禮里,578,0,0,0,0,102,0,680,14,694,0,694,288,982,70.67
,港尾里,1380,0,0,0,0,282,0,1662,24,1686,0,1686,688,2374,71.02
,麻口里,1340,0,0,0,0,238,0,1578,32,1610,0,1610,488,2098,76.74
,安東里,640,0,0,0,0,168,0,808,14,822,0,822,408,1230,66.83
,安業里,816,0,0,0,0,124,0,940,24,964,0,964,292,1256,76.75
,安西里,878,0,0,0,0,104,0,982,28,1010,0,1010,430,1440,70.14
,謝安里,1106,0,0,0,0,202,0,1308,18,1326,0,1326,384,1710,77.54
,中民里,1156,0,0,0,0,154,0,1310,30,1340,0,1340,298,1638,81.81
,安正里,990,0,0,0,0,174,0,1164,18,1182,0,1182,572,1754,67.39
,磚井里,1278,0,0,0,0,228,0,1506,42,1548,0,1548,762,2310,67.01
,總計,40678,0,0,0,0,9498,0,50176,1172,51348,0,51348,21878,73226,70.12
下營區,,20910,0,0,0,0,7244,0,28154,788,28942,0,28942,12976,41918,69.04
,下營里,708,0,0,0,0,324,0,1032,46,1078,0,1078,602,1680,64.17
,仁里里,2438,0,0,0,0,1028,0,3466,70,3536,0,3536,2114,5650,62.58
,宅內里,900,0,0,0,0,504,0,1404,58,1462,0,1462,700,2162,67.62
,後街里,1322,0,0,0,0,748,0,2070,42,2112,0,2112,920,3032,69.66
,新興里,2336,0,0,0,0,976,0,3312,130,3442,0,3442,1162,4604,74.76
,營前里,1826,0,0,0,0,784,0,2610,68,2678,0,2678,1536,4214,63.55
,大屯里,944,0,0,0,0,194,0,1138,28,1166,0,1166,544,1710,68.19
,大埤里,836,0,0,0,0,284,0,1120,38,1158,0,1158,300,1458,79.42
,茅港里,1470,0,0,0,0,376,0,1846,42,1888,0,1888,488,2376,79.46
,中營里,1296,0,0,0,0,324,0,1620,36,1656,0,1656,516,2172,76.24
,開化里,1928,0,0,0,0,538,0,2466,44,2510,0,2510,1316,3826,65.6
,西連里,1002,0,0,0,0,176,0,1178,28,1206,0,1206,582,1788,67.45
,賀建里,1286,0,0,0,0,376,0,1662,50,1712,0,1712,910,2622,65.29
,甲中里,1162,0,0,0,0,250,0,1412,52,1464,0,1464,774,2238,65.42
,紅厝里,1456,0,0,0,0,362,0,1818,56,1874,0,1874,512,2386,78.54
,總計,20910,0,0,0,0,7244,0,28154,788,28942,0,28942,12976,41918,69.04
六甲區,,19468,0,0,0,0,6676,0,26144,720,26864,0,26864,10358,37222,72.17
