行政區別,村里別,璩美鳳,蘇煥智,蘇盈貴,陳其邁,陳永和,韓國瑜,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
,福田里,0,0,0,2000,0,2156,4156,106,4262,0,4262,1910,6172,69.05
,田中里,0,0,0,3078,0,3816,6894,208,7102,0,7102,3530,10632,66.8
,田安里,0,0,0,3246,0,3302,6548,142,6690,0,6690,4010,10700,62.52
,三民里,0,0,0,1804,0,1828,3632,110,3742,0,3742,1964,5706,65.58
,光明里,0,0,0,4214,0,3654,7868,192,8060,0,8060,4546,12606,63.94
,光正里,0,0,0,1540,0,1188,2728,80,2808,0,2808,1602,4410,63.67
,同安里,0,0,0,788,0,682,1470,32,1502,0,1502,1014,2516,59.7
,同慶里,0,0,0,1198,0,874,2072,52,2124,0,2124,984,3108,68.34
,菜寮里,0,0,0,1412,0,1244,2656,76,2732,0,2732,1148,3880,70.41
,永春里,0,0,0,1086,0,948,2034,60,2094,0,2094,1224,3318,63.11
,中正里,0,0,0,826,0,818,1644,46,1690,0,1690,828,2518,67.12
,吉利里,0,0,0,978,0,740,1718,52,1770,0,1770,802,2572,68.82
,大同里,0,0,0,1132,0,902,2034,82,2116,0,2116,1408,3524,60.05
,中民里,0,0,0,826,0,670,1496,54,1550,0,1550,746,2296,67.51
,平和里,0,0,0,948,0,810,1758,62,1820,0,1820,842,2662,68.37
,大安里,0,0,0,1118,0,862,1980,40,2020,0,2020,904,2924,69.08
,仁德里,0,0,0,1156,0,1224,2380,60,2440,0,2440,1202,3642,67.0
,忠孝里,0,0,0,1082,0,938,2020,64,2084,0,2084,1152,3236,64.4
,仁義里,0,0,0,716,0,654,1370,42,1412,0,1412,752,2164,65.25
,光榮里,0,0,0,800,0,742,1542,32,1574,0,1574,972,2546,61.82
,光輝里,0,0,0,980,0,860,1840,40,1880,0,1880,822,2702,69.58
,福星里,0,0,0,664,0,616,1280,38,1318,0,1318,682,2000,65.9
,福利里,0,0,0,1466,0,1122,2588,46,2634,0,2634,1338,3972,66.31
,清和里,0,0,0,2154,0,1916,4070,80,4150,0,4150,2682,6832,60.74
,永興里,0,0,0,858,0,736,1594,18,1612,0,1612,748,2360,68.31
,中山里,0,0,0,1510,0,1394,2904,68,2972,0,2972,1788,4760,62.44
,大園里,0,0,0,1468,0,1474,2942,44,2986,0,2986,1834,4820,61.95
,國隆里,0,0,0,1716,0,1444,3160,86,3246,0,3246,1558,4804,67.57
,重陽里,0,0,0,2098,0,1872,3970,114,4084,0,4084,2200,6284,64.99
,民生里,0,0,0,2360,0,2546,4906,98,5004,0,5004,2304,7308,68.47
,重新里,0,0,0,724,0,884,1608,42,1650,0,1650,892,2542,64.91
,正德里,0,0,0,588,0,664,1252,32,1284,0,1284,746,2030,63.25
,正義里,0,0,0,964,0,974,1938,38,1976,0,1976,1186,3162,62.49
,正安里,0,0,0,1038,0,934,1972,74,2046,0,2046,1398,3444,59.41
,自強里,0,0,0,1028,0,1076,2104,62,2166,0,2166,1006,3172,68.28
,文化里,0,0,0,1380,0,1428,2808,58,2866,0,2866,1284,4150,69.06
,中央里,0,0,0,862,0,984,1846,32,1878,0,1878,1322,3200,58.69
,雙園里,0,0,0,626,0,548,1174,12,1186,0,1186,508,1694,70.01
,錦通里,0,0,0,924,0,842,1766,42,1808,0,1808,916,2724,66.37
,錦安里,0,0,0,1070,0,936,2006,50,2056,0,2056,1268,3324,61.85
,長安里,0,0,0,1226,0,1212,2438,74,2512,0,2512,1394,3906,64.31
,光華里,0,0,0,1010,0,972,1982,58,2040,0,2040,1472,3512,58.09
,長生里,0,0,0,414,0,558,972,32,1004,0,1004,566,1570,63.95
,開元里,0,0,0,958,0,876,1834,42,1876,0,1876,830,2706,69.33
,大德里,0,0,0,508,0,558,1066,38,1104,0,1104,402,1506,73.31
,長元里,0,0,0,1412,0,1446,2858,74,2932,0,2932,1454,4386,66.85
,長江里,0,0,0,1060,0,1174,2234,52,2286,0,2286,1324,3610,63.32
,長泰里,0,0,0,1160,0,1270,2430,74,2504,0,2504,1450,3954,63.33
,長福里,0,0,0,796,0,792,1588,38,1626,0,1626,1124,2750,59.13
,介壽里,0,0,0,786,0,680,1466,30,1496,0,1496,576,2072,72.2
,萬壽里,0,0,0,1326,0,1048,2374,72,2446,0,2446,1098,3544,69.02
,錦江里,0,0,0,1260,0,1290,2550,72,2622,0,2622,1560,4182,62.7
,龍濱里,0,0,0,1928,0,1782,3710,92,3802,0,3802,1908,5710,66.58
,龍門里,0,0,0,1006,0,926,1932,42,1974,0,1974,1270,3244,60.85
,秀江里,0,0,0,786,0,710,1496,50,1546,0,1546,798,2344,65.96
,奕壽里,0,0,0,902,0,1024,1926,36,1962,0,1962,1152,3114,63.01
,三安里,0,0,0,1498,0,1474,2972,72,3044,0,3044,1662,4706,64.68
,福安里,0,0,0,1618,0,1732,3350,70,3420,0,3420,1854,5274,64.85
,信安里,0,0,0,1052,0,1050,2102,64,2166,0,2166,1266,3432,63.11
,安慶里,0,0,0,1186,0,1306,2492,66,2558,0,2558,1146,3704,69.06
,幸福里,0,0,0,2392,0,2470,4862,136,4998,0,4998,3068,8066,61.96
,六合里,0,0,0,2032,0,2132,4164,106,4270,0,4270,2250,6520,65.49
,六福里,0,0,0,2804,0,3204,6008,124,6132,0,6132,3326,9458,64.83
,順德里,0,0,0,1222,0,1280,2502,78,2580,0,2580,1306,3886,66.39
,承德里,0,0,0,918,0,1054,1972,40,2012,0,2012,1128,3140,64.08
,瑞德里,0,0,0,1346,0,1400,2746,76,2822,0,2822,1332,4154,67.93
,崇德里,0,0,0,2150,0,2374,4524,110,4634,0,4634,2384,7018,66.03
,厚德里,0,0,0,1950,0,1930,3880,102,3982,0,3982,2144,6126,65.0
,維德里,0,0,0,1532,0,1800,3332,70,3402,0,3402,1606,5008,67.93
,尚德里,0,0,0,1650,0,1464,3114,92,3206,0,3206,2202,5408,59.28
,培德里,0,0,0,1940,0,2224,4164,98,4262,0,4262,2190,6452,66.06
,永德里,0,0,0,2374,0,2750,5124,124,5248,0,5248,3154,8402,62.46
,永盛里,0,0,0,1646,0,1840,3486,104,3590,0,3590,1984,5574,64.41
,永福里,0,0,0,2532,0,3198,5730,116,5846,0,5846,3266,9112,64.16
,永清里,0,0,0,2722,0,3182,5904,112,6016,0,6016,3120,9136,65.85
,永安里,0,0,0,2196,0,2246,4442,88,4530,0,4530,2356,6886,65.79
,永煇里,0,0,0,1242,0,1746,2988,68,3056,0,3056,1390,4446,68.74
,溪美里,0,0,0,4278,0,4394,8672,208,8880,0,8880,5344,14224,62.43
,福隆里,0,0,0,2430,0,2452,4882,152,5034,0,5034,2590,7624,66.03
,五常里,0,0,0,2180,0,2444,4624,112,4736,0,4736,2424,7160,66.15
,五福里,0,0,0,2074,0,2082,4156,86,4242,0,4242,2282,6524,65.02
,仁忠里,0,0,0,1842,0,1814,3656,110,3766,0,3766,1742,5508,68.37
,慈福里,0,0,0,1138,0,1320,2458,62,2520,0,2520,1408,3928,64.15
,慈生里,0,0,0,1396,0,1530,2926,98,3024,0,3024,1090,4114,73.51
,慈惠里,0,0,0,1086,0,1448,2534,48,2582,0,2582,1194,3776,68.38
,慈愛里,0,0,0,1804,0,2142,3946,108,4054,0,4054,2120,6174,65.66
,慈化里,0,0,0,1460,0,1458,2918,84,3002,0,3002,1296,4298,69.85
,慈祐里,0,0,0,2422,0,2732,5154,132,5286,0,5286,2804,8090,65.34
,五華里,0,0,0,2450,0,2752,5202,148,5350,0,5350,3504,8854,60.42
,富貴里,0,0,0,3398,0,2796,6194,144,6338,0,6338,4452,10790,58.74
,富華里,0,0,0,1810,0,1748,3558,78,3636,0,3636,1920,5556,65.44
,富福里,0,0,0,1162,0,1234,2396,54,2450,0,2450,1112,3562,68.78
,碧華里,0,0,0,4280,0,3446,7726,214,7940,0,7940,5094,13034,60.92
,五谷里,0,0,0,1014,0,1078,2092,68,2160,0,2160,936,3096,69.77
,博愛里,0,0,0,2702,0,2486,5188,152,5340,0,5340,2740,8080,66.09
,福德里,0,0,0,2220,0,2072,4292,114,4406,0,4406,2438,6844,64.38
,永吉里,0,0,0,1608,0,1682,3290,68,3358,0,3358,1710,5068,66.26
,永發里,0,0,0,2744,0,3146,5890,144,6034,0,6034,3900,9934,60.74
,永順里,0,0,0,2380,0,2930,5310,104,5414,0,5414,3316,8730,62.02
,永豐里,0,0,0,2760,0,3058,5818,106,5924,0,5924,3844,9768,60.65
,立德里,0,0,0,1938,0,2166,4104,94,4198,0,4198,1694,5892,71.25
,福樂里,0,0,0,1868,0,2050,3918,98,4016,0,4016,2360,6376,62.99
,仁華里,0,0,0,2310,0,2354,4664,144,4808,0,4808,2396,7204,66.74
,五順里,0,0,0,2168,0,2164,4332,82,4414,0,4414,2448,6862,64.33
,總計,0,0,0,199850,0,201646,401496,10022,411518,0,411518,227102,638620,64.44
中和區,,0,0,0,278044,0,161104,439148,10622,449770,0,449770,241766,691536,65.04
,中原里,0,0,0,3512,0,2564,6076,108,6184,0,6184,3914,10098,61.24
,平河里,0,0,0,5908,0,3680,9588,226,9814,0,9814,5646,15460,63.48
,信和里,0,0,0,2774,0,2090,4864,72,4936,0,4936,2496,7432,66.42
,仁和里,0,0,0,2956,0,2068,5024,138,5162,0,5162,2164,7326,70.46
,中正里,0,0,0,2526,0,1862,4388,100,4488,0,4488,2518,7006,64.06
,建和里,0,0,0,2886,0,1314,4200,102,4302,0,4302,1890,6192,69.48
,連和里,0,0,0,2016,0,778,2794,40,2834,0,2834,1362,4196,67.54
,連城里,0,0,0,4632,0,2348,6980,142,7122,0,7122,3936,11058,64.41
,力行里,0,0,0,4142,0,2386,6528,150,6678,0,6678,3640,10318,64.72
,枋寮里,0,0,0,2444,0,1564,4008,84,4092,0,4092,2318,6410,63.84
,漳和里,0,0,0,2428,0,1560,3988,72,4060,0,4060,2182,6242,65.04
,廟美里,0,0,0,3000,0,2016,5016,120,5136,0,5136,2632,7768,66.12
,福真里,0,0,0,2818,0,2050,4868,122,4990,0,4990,2268,7258,68.75
,福善里,0,0,0,2784,0,1892,4676,124,4800,0,4800,2758,7558,63.51
,福美里,0,0,0,3138,0,2114,5252,130,5382,0,5382,2342,7724,69.68
,福祥里,0,0,0,3204,0,2346,5550,136,5686,0,5686,3066,8752,64.97
,瓦磘里,0,0,0,3618,0,2372,5990,176,6166,0,6166,3478,9644,63.94
,福和里,0,0,0,2606,0,1832,4438,116,4554,0,4554,1990,6544,69.59
,佳和里,0,0,0,3282,0,2058,5340,164,5504,0,5504,3072,8576,64.18
,安樂里,0,0,0,2868,0,1316,4184,108,4292,0,4292,2112,6404,67.02
,安和里,0,0,0,2218,0,1222,3440,90,3530,0,3530,1932,5462,64.63
,安平里,0,0,0,4524,0,1814,6338,144,6482,0,6482,3886,10368,62.52
,中安里,0,0,0,3700,0,1486,5186,110,5296,0,5296,2396,7692,68.85
,泰安里,0,0,0,2554,0,1418,3972,106,4078,0,4078,2160,6238,65.37
,新南里,0,0,0,5982,0,3034,9016,212,9228,0,9228,4606,13834,66.71
,南山里,0,0,0,3678,0,1962,5640,146,5786,0,5786,3070,8856,65.33
,秀山里,0,0,0,3476,0,1812,5288,174,5462,0,5462,2496,7958,68.64
,秀成里,0,0,0,2584,0,1362,3946,104,4050,0,4050,2172,6222,65.09
,秀福里,0,0,0,3326,0,2032,5358,142,5500,0,5500,2926,8426,65.27
,秀景里,0,0,0,4912,0,2146,7058,154,7212,0,7212,3868,11080,65.09
,秀明里,0,0,0,4130,0,1410,5540,124,5664,0,5664,3064,8728,64.89
,秀峰里,0,0,0,3620,0,1436,5056,114,5170,0,5170,2716,7886,65.56
,秀仁里,0,0,0,2386,0,1190,3576,72,3648,0,3648,2118,5766,63.27
,頂南里,0,0,0,2434,0,1018,3452,106,3558,0,3558,1830,5388,66.04
,華新里,0,0,0,5280,0,2076,7356,168,7524,0,7524,4872,12396,60.7
,東南里,0,0,0,4112,0,996,5108,100,5208,0,5208,2440,7648,68.1
,華南里,0,0,0,3974,0,1576,5550,130,5680,0,5680,3102,8782,64.68
,忠孝里,0,0,0,3648,0,1486,5134,140,5274,0,5274,3108,8382,62.92
,崇南里,0,0,0,3218,0,1214,4432,94,4526,0,4526,2734,7260,62.34
,景南里,0,0,0,2400,0,1174,3574,60,3634,0,3634,1934,5568,65.27
,橫路里,0,0,0,244,0,216,460,6,466,0,466,160,626,74.44
,內南里,0,0,0,3550,0,1792,5342,150,5492,0,5492,3382,8874,61.89
,壽南里,0,0,0,1732,0,968,2700,76,2776,0,2776,1340,4116,67.44
,外南里,0,0,0,2872,0,1738,4610,112,4722,0,4722,8488,13210,35.75
,復興里,0,0,0,3854,0,1984,5838,126,5964,0,5964,2852,8816,67.65
,和興里,0,0,0,3142,0,1672,4814,96,4910,0,4910,2638,7548,65.05
,景平里,0,0,0,4130,0,1846,5976,144,6120,0,6120,3374,9494,64.46
,景新里,0,0,0,2488,0,1448,3936,120,4056,0,4056,2244,6300,64.38
,景福里,0,0,0,3824,0,1914,5738,158,5896,0,5896,4084,9980,59.08
,景安里,0,0,0,3694,0,1774,5468,172,5640,0,5640,2576,8216,68.65
,景文里,0,0,0,2640,0,1366,4006,108,4114,0,4114,2010,6124,67.18
,錦和里,0,0,0,3656,0,2294,5950,122,6072,0,6072,3228,9300,65.29
,錦昌里,0,0,0,1582,0,740,2322,64,2386,0,2386,1416,3802,62.76
,灰磘里,0,0,0,494,0,452,946,34,980,0,980,352,1332,73.57
,積穗里,0,0,0,5640,0,3712,9352,258,9610,0,9610,4450,14060,68.35
,民享里,0,0,0,1630,0,1566,3196,84,3280,0,3280,1102,4382,74.85
,員山里,0,0,0,3720,0,2790,6510,144,6654,0,6654,4130,10784,61.7
,嘉穗里,0,0,0,1842,0,1262,3104,64,3168,0,3168,1726,4894,64.73
,文元里,0,0,0,3094,0,2670,5764,128,5892,0,5892,3356,9248,63.71
,嘉新里,0,0,0,2684,0,2092,4776,128,4904,0,4904,2044,6948,70.58
,民安里,0,0,0,3176,0,2590,5766,160,5926,0,5926,2594,8520,69.55
,安穗里,0,0,0,2790,0,2282,5072,146,5218,0,5218,2680,7898,66.07
,瑞穗里,0,0,0,1846,0,1054,2900,60,2960,0,2960,1196,4156,71.22
,明穗里,0,0,0,2670,0,2194,4864,126,4990,0,4990,2840,7830,63.73
,清穗里,0,0,0,2020,0,1676,3696,80,3776,0,3776,1682,5458,69.18
,自強里,0,0,0,2910,0,2554,5464,134,5598,0,5598,3014,8612,65.0
,德穗里,0,0,0,3210,0,2038,5248,126,5374,0,5374,2630,8004,67.14
,民生里,0,0,0,2862,0,1980,4842,94,4936,0,4936,2416,7352,67.14
,國光里,0,0,0,2524,0,1784,4308,98,4406,0,4406,2472,6878,64.06
,壽德里,0,0,0,3736,0,1372,5108,96,5204,0,5204,2448,7652,68.01
,明德里,0,0,0,2638,0,2094,4732,116,4848,0,4848,1890,6738,71.95
,秀水里,0,0,0,3204,0,1298,4502,88,4590,0,4590,1984,6574,69.82
,德行里,0,0,0,4330,0,2388,6718,190,6908,0,6908,4194,11102,62.22
