行政區別,村里別,宋楚瑜/徐欣瑩,朱立倫/王如玄,蔡英文/陳建仁,宋楚瑜/徐欣瑩_黨籍,朱立倫/王如玄_黨籍,蔡英文/陳建仁_黨籍
玉里鎮,啟模里,306,736,674,親民黨,中國國民黨,民主進步黨
玉里鎮,國武里,200,692,566,親民黨,中國國民黨,民主進步黨
玉里鎮,大禹里,154,476,424,親民黨,中國國民黨,民主進步黨
玉里鎮,德武里,108,440,98,親民黨,中國國民黨,民主進步黨
玉里鎮,春日里,192,460,350,親民黨,中國國民黨,民主進步黨
玉里鎮,東豐里,94,292,202,親民黨,中國國民黨,民主進步黨
玉里鎮,松浦里,190,718,408,親民黨,中國國民黨,民主進步黨
玉里鎮,樂合里,190,702,162,親民黨,中國國民黨,民主進步黨
玉里鎮,永昌里,180,666,400,親民黨,中國國民黨,民主進步黨
玉里鎮,泰昌里,152,646,306,親民黨,中國國民黨,民主進步黨
玉里鎮,源城里,276,540,514,親民黨,中國國民黨,民主進步黨
玉里鎮,觀音里,278,748,472,親民黨,中國國民黨,民主進步黨
玉里鎮,長良里,96,338,134,親民黨,中國國民黨,民主進步黨
瑞穗鄉,奇美村,46,222,64,親民黨,中國國民黨,民主進步黨
瑞穗鄉,富民村,156,466,156,親民黨,中國國民黨,民主進步黨
瑞穗鄉,富源村,124,338,288,親民黨,中國國民黨,民主進步黨
瑞穗鄉,富興村,92,240,356,親民黨,中國國民黨,民主進步黨
瑞穗鄉,瑞北村,100,304,198,親民黨,中國國民黨,民主進步黨
瑞穗鄉,瑞祥村,154,444,424,親民黨,中國國民黨,民主進步黨
瑞穗鄉,瑞穗村,308,980,824,親民黨,中國國民黨,民主進步黨
瑞穗鄉,瑞美村,226,982,738,親民黨,中國國民黨,民主進步黨
瑞穗鄉,瑞良村,92,290,230,親民黨,中國國民黨,民主進步黨
瑞穗鄉,舞鶴村,172,534,264,親民黨,中國國民黨,民主進步黨
瑞穗鄉,鶴岡村,102,556,164,親民黨,中國國民黨,民主進步黨
秀林鄉,佳民村,212,598,224,親民黨,中國國民黨,民主進步黨
秀林鄉,和平村,426,502,462,親民黨,中國國民黨,民主進步黨
秀林鄉,富世村,406,846,576,親民黨,中國國民黨,民主進步黨
秀林鄉,崇德村,370,722,258,親民黨,中國國民黨,民主進步黨
