行政區別,村里別,伍興明,林素美,簡智隆,蘇忠亮,許淑銀Otiam Cirig,陳秋英,陳長明,高小成Qaisul‧Tamapima,高毓真,伍興明_黨籍,林素美_黨籍,簡智隆_黨籍,蘇忠亮_黨籍,許淑銀Otiam Cirig_黨籍,陳秋英_黨籍,陳長明_黨籍,高小成Qaisul‧Tamapima_黨籍,高毓真_黨籍
卓溪鄉,崙山村,,,,390.0,,,,298.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
卓溪鄉,立山村,,,,784.0,,,,728.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,仁和村,,28.0,,,66.0,,,,22.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,仁安村,,12.0,,,18.0,,,,2.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,仁里村,,28.0,,,36.0,,,,24.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,光華村,,18.0,,,56.0,,,,30.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,勝安村,,24.0,,,20.0,,,,6.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,北昌村,,24.0,,,36.0,,,,18.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,南昌村,,8.0,,,44.0,,,,16.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,南華村,,36.0,,,102.0,,,,8.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,吉安村,,28.0,,,118.0,,,,30.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,太昌村,,46.0,,,108.0,,,,32.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,宜昌村,,14.0,,,42.0,,,,10.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,干城村,,96.0,,,50.0,,,,26.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,慶豐村,,60.0,,,214.0,,,,32.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,東昌村,,24.0,,,68.0,,,,18.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,永安村,,14.0,,,58.0,,,,10.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,永興村,,14.0,,,80.0,,,,52.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,福興村,,68.0,,,230.0,,,,46.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
吉安鄉,稻香村,,16.0,,,36.0,,,,12.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,光榮村,,0.0,,,20.0,,,,0.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,共和村,,4.0,,,4.0,,,,4.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,壽豐村,,2.0,,,14.0,,,,4.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,平和村,,6.0,,,14.0,,,,6.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,志學村,,26.0,,,50.0,,,,12.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,月眉村,,2.0,,,20.0,,,,2.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,樹湖村,,4.0,,,6.0,,,,2.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,水璉村,,2.0,,,22.0,,,,6.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,池南村,,6.0,,,28.0,,,,8.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,溪口村,,10.0,,,14.0,,,,0.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,米棧村,,0.0,,,2.0,,,,0.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,豐坪村,,2.0,,,0.0,,,,2.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,豐山村,,8.0,,,12.0,,,,0.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,豐裡村,,2.0,,,12.0,,,,6.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
壽豐鄉,鹽寮村,,8.0,,,12.0,,,,2.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,吳江村,,,,16.0,,,,18.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,學田村,,,,10.0,,,,8.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,富南村,,,,6.0,,,,0.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,富里村,,,,12.0,,,,18.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,新興村,,,,8.0,,,,0.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,明里村,,,,10.0,,,,0.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,東里村,,,,8.0,,,,8.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,永豐村,,,,0.0,,,,4.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,石牌村,,,,6.0,,,,2.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,竹田村,,,,8.0,,,,2.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,羅山村,,,,2.0,,,,2.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,萬寧村,,,,0.0,,,,0.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
富里鄉,豐南村,,,,0.0,,,,6.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
新城鄉,佳林村,,26.0,,,44.0,,,,8.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
新城鄉,北埔村,,96.0,,,188.0,,,,40.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
新城鄉,嘉新村,,34.0,,,116.0,,,,4.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
新城鄉,嘉里村,,94.0,,,204.0,,,,76.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
新城鄉,大漢村,,66.0,,,162.0,,,,40.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
新城鄉,康樂村,,92.0,,,150.0,,,,62.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
新城鄉,新城村,,18.0,,,76.0,,,,38.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
新城鄉,順安村,,22.0,,,56.0,,,,20.0,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,三民里,,,,8.0,,,,6.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,中城里,,,,108.0,,,,140.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,啟模里,,,,38.0,,,,28.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,國武里,,,,8.0,,,,4.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,大禹里,,,,28.0,,,,16.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,德武里,,,,4.0,,,,6.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,春日里,,,,4.0,,,,0.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,東豐里,,,,4.0,,,,16.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,松浦里,,,,4.0,,,,12.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,樂合里,,,,2.0,,,,8.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,永昌里,,,,32.0,,,,56.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,泰昌里,,,,38.0,,,,24.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,源城里,,,,12.0,,,,6.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,觀音里,,,,14.0,,,,22.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
玉里鎮,長良里,,,,20.0,,,,28.0,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
瑞穗鄉,奇美村,22.0,,26.0,,,14.0,6.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
瑞穗鄉,富民村,18.0,,36.0,,,6.0,6.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
瑞穗鄉,富源村,2.0,,0.0,,,4.0,2.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
瑞穗鄉,富興村,0.0,,0.0,,,0.0,2.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
瑞穗鄉,瑞北村,6.0,,16.0,,,0.0,12.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
瑞穗鄉,瑞祥村,24.0,,42.0,,,16.0,12.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
瑞穗鄉,瑞穗村,10.0,,24.0,,,10.0,4.0,,,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
