行政區別,村里別,余夏夫,吳國民,周駿宥,哈尼．噶照Hani  Kacaw,曾志德,李正文,林正福,林聖富,林聖明,林莉芳,林高捷,笛布斯‧顗賚,羅名材Halu．Lihang,萬榮財Lafi‧Mayaw,蔡依靜Lamen‧Panay,謝東穎,賴國祥O‧SENG‧KATI,陳建忠,陳英妹,余夏夫_黨籍,吳國民_黨籍,周駿宥_黨籍,哈尼．噶照Hani  Kacaw_黨籍,曾志德_黨籍,李正文_黨籍,林正福_黨籍,林聖富_黨籍,林聖明_黨籍,林莉芳_黨籍,林高捷_黨籍,笛布斯‧顗賚_黨籍,羅名材Halu．Lihang_黨籍,萬榮財Lafi‧Mayaw_黨籍,蔡依靜Lamen‧Panay_黨籍,謝東穎_黨籍,賴國祥O‧SENG‧KATI_黨籍,陳建忠_黨籍,陳英妹_黨籍
吉安鄉,仁安村,64.0,,116.0,,,84.0,,10.0,,,,150.0,68.0,,,24.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,仁里村,144.0,,144.0,,,152.0,,20.0,,,,262.0,252.0,,,44.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,光華村,40.0,,90.0,,,40.0,,10.0,,,,118.0,82.0,,,8.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,勝安村,20.0,,56.0,,,18.0,,6.0,,,,72.0,18.0,,,12.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,北昌村,34.0,,60.0,,,68.0,,10.0,,,,76.0,68.0,,,10.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,南昌村,94.0,,388.0,,,398.0,,10.0,,,,228.0,248.0,,,36.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,南華村,18.0,,102.0,,,54.0,,0.0,,,,66.0,40.0,,,12.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,吉安村,34.0,,144.0,,,64.0,,6.0,,,,86.0,44.0,,,14.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,太昌村,68.0,,186.0,,,192.0,,16.0,,,,150.0,58.0,,,14.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
吉安鄉,宜昌村,162.0,,338.0,,,198.0,,14.0,,,,160.0,110.0,,,6.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,民主進步黨,無黨籍及未經政黨推薦,中國國民黨,中國國民黨
