縣市,行政區別,村里別,合一行動聯盟,一邊一國行動黨,勞動黨,綠黨,宗教聯盟,民主進步黨,台灣民眾黨,台灣維新,台澎黨,國會政黨聯盟,台灣團結聯盟,中華統一促進黨,親民黨,安定力量,台灣基進,時代力量,新黨,喜樂島聯盟,中國國民黨,不分區政黨有效票數A
花蓮縣,玉里鎮,松浦里,28,8,8,8,2,190,56,0,0,0,10,12,30,0,16,50,10,2,884,1314
花蓮縣,玉里鎮,樂合里,10,4,4,6,2,122,26,0,0,2,10,22,20,4,12,24,0,8,718,994
花蓮縣,玉里鎮,永昌里,0,4,0,20,4,274,62,4,0,0,10,14,44,12,20,80,16,4,796,1364
花蓮縣,玉里鎮,泰昌里,4,2,2,30,4,198,68,0,0,0,14,18,54,6,12,52,14,2,760,1240
花蓮縣,玉里鎮,源城里,6,4,2,8,0,312,82,2,0,0,10,18,54,4,38,56,16,6,796,1414
花蓮縣,玉里鎮,觀音里,14,6,6,22,6,276,56,0,0,0,16,2,32,14,22,72,14,2,1012,1572
花蓮縣,玉里鎮,長良里,4,2,0,10,4,94,30,0,0,2,2,6,22,2,10,32,2,2,414,638
花蓮縣,瑞穗鄉,奇美村,2,2,0,2,2,42,12,0,2,0,4,0,2,4,0,8,0,0,206,288
花蓮縣,瑞穗鄉,富民村,10,0,6,6,6,90,32,0,0,0,2,8,26,6,14,34,0,4,622,866
花蓮縣,瑞穗鄉,富源村,4,0,0,10,0,178,68,0,2,0,2,8,22,0,14,36,4,4,484,836
花蓮縣,瑞穗鄉,富興村,10,0,0,4,0,206,22,0,0,0,4,4,12,4,6,28,0,6,354,660
花蓮縣,瑞穗鄉,瑞北村,2,6,2,6,2,114,28,2,2,2,0,2,16,2,8,30,4,2,400,630
花蓮縣,瑞穗鄉,瑞祥村,0,4,6,16,4,278,58,2,2,8,4,4,46,8,30,66,14,6,644,1200
花蓮縣,瑞穗鄉,瑞穗村,6,6,0,12,10,574,176,2,2,2,10,8,66,10,38,120,16,2,1264,2324
花蓮縣,瑞穗鄉,瑞美村,2,2,6,30,22,518,122,0,2,6,16,8,68,12,38,132,26,6,1270,2286
花蓮縣,瑞穗鄉,瑞良村,0,0,4,14,0,162,22,0,0,2,0,0,16,6,16,36,2,0,400,680
花蓮縣,瑞穗鄉,舞鶴村,4,2,4,6,18,204,30,4,0,2,10,6,14,8,30,54,10,4,684,1094
花蓮縣,瑞穗鄉,鶴岡村,14,0,0,8,4,108,30,0,0,0,2,12,30,14,18,36,0,0,648,924
花蓮縣,秀林鄉,佳民村,18,6,0,24,4,132,54,0,0,2,8,14,18,24,2,26,8,2,962,1304
花蓮縣,秀林鄉,和平村,10,4,8,14,4,352,114,0,2,2,8,2,58,8,22,80,16,18,1144,1866
花蓮縣,秀林鄉,富世村,6,8,8,22,6,430,84,2,4,6,16,12,72,20,24,62,20,4,1416,2222
花蓮縣,秀林鄉,崇德村,4,6,0,6,2,168,68,0,2,4,12,14,64,12,10,72,8,0,1260,1712
花蓮縣,秀林鄉,文蘭村,2,10,4,12,6,174,44,0,4,4,8,4,38,12,8,56,2,2,1098,1488
花蓮縣,秀林鄉,景美村,4,14,2,24,12,414,96,2,2,2,20,16,42,38,18,92,14,12,1360,2184
花蓮縣,秀林鄉,水源村,8,6,4,16,0,180,60,2,6,2,22,18,48,16,6,48,16,4,1076,1538
花蓮縣,秀林鄉,秀林村,4,10,6,24,2,376,124,0,2,2,14,10,58,20,16,78,16,8,1424,2194
花蓮縣,秀林鄉,銅門村,4,8,2,12,4,172,60,0,0,4,8,6,46,12,18,52,12,2,1184,1606
花蓮縣,花蓮市,主信里,0,4,0,14,0,240,92,0,0,0,2,0,18,2,28,52,6,0,386,844
花蓮縣,花蓮市,主力里,2,20,6,84,6,936,420,0,2,6,4,10,130,26,110,246,46,14,1710,3778
花蓮縣,花蓮市,主勤里,0,2,0,28,2,328,98,0,0,0,0,2,32,6,40,88,8,0,510,1144
花蓮縣,花蓮市,主和里,4,10,6,76,8,1072,380,4,4,12,14,8,178,18,98,230,40,16,1992,4170
花蓮縣,花蓮市,主商里,2,0,0,8,0,256,94,0,0,2,0,2,24,6,26,64,2,0,364,850
花蓮縣,花蓮市,主學里,2,14,4,56,10,644,298,2,0,6,6,4,84,18,58,156,8,8,1198,2576
花蓮縣,花蓮市,主安里,0,24,4,62,10,740,364,2,0,4,10,6,152,24,60,224,28,6,1644,3364
花蓮縣,花蓮市,主工里,0,6,0,22,0,206,90,2,0,0,2,2,28,8,20,56,16,4,330,792
花蓮縣,花蓮市,主權里,12,22,4,122,10,1672,668,6,2,16,30,22,218,74,180,448,80,4,3698,7288
花蓮縣,花蓮市,主睦里,2,8,0,18,2,226,66,2,4,0,4,2,32,0,12,40,12,0,336,766
花蓮縣,花蓮市,主義里,0,4,2,6,0,164,80,0,0,0,2,2,8,0,8,36,4,0,364,680
花蓮縣,花蓮市,主計里,2,4,0,28,6,262,76,4,0,2,0,2,32,10,14,78,6,4,520,1050
花蓮縣,花蓮市,主農里,8,10,0,116,8,1154,510,6,4,14,20,18,180,52,78,344,38,10,2426,4996
花蓮縣,花蓮市,國光里,0,8,0,42,6,414,108,0,0,0,2,2,60,12,28,114,36,0,790,1622
花蓮縣,花蓮市,國威里,6,8,2,46,0,574,206,2,0,2,6,6,82,30,56,118,20,2,900,2066
花蓮縣,花蓮市,國安里,0,2,0,18,2,182,78,2,0,0,6,2,42,12,12,70,16,4,404,852
花蓮縣,花蓮市,國富里,12,10,6,156,6,1716,648,2,0,18,18,16,234,38,164,418,108,12,3394,6976
花蓮縣,花蓮市,國強里,2,6,6,58,2,486,248,4,0,2,16,14,88,20,46,168,28,4,1206,2404
花蓮縣,花蓮市,國慶里,4,2,0,22,0,426,168,4,4,2,4,4,42,10,38,120,26,0,694,1570
花蓮縣,花蓮市,國治里,2,6,2,24,2,278,120,0,0,2,0,4,46,4,28,82,20,0,596,1216
花蓮縣,花蓮市,國盛里,2,20,6,102,2,1054,428,0,0,10,10,12,208,50,128,296,78,20,2440,4866
花蓮縣,花蓮市,國福里,0,4,0,20,0,412,150,0,0,2,10,12,64,12,24,104,20,2,1024,1860
花蓮縣,花蓮市,國聯里,2,12,2,56,8,1016,362,8,2,10,4,16,76,24,84,264,46,8,1796,3796
花蓮縣,花蓮市,國興里,6,6,8,148,6,1168,522,4,0,14,12,6,174,36,122,410,110,14,2980,5746
花蓮縣,花蓮市,國華里,2,4,2,88,12,810,304,0,4,6,10,18,102,18,66,220,44,6,1516,3232
花蓮縣,花蓮市,國裕里,2,22,8,134,10,1208,516,4,4,14,24,8,200,46,140,374,44,4,3060,5822
花蓮縣,花蓮市,國防里,2,4,0,24,2,292,94,2,2,2,0,4,36,14,16,102,10,0,538,1144
花蓮縣,花蓮市,國風里,2,14,2,116,6,1154,444,2,2,6,10,6,164,28,78,272,74,10,2240,4630
花蓮縣,花蓮市,國魂里,4,6,2,52,6,672,240,2,2,0,8,4,100,24,52,162,38,0,1288,2662
花蓮縣,花蓮市,民主里,0,2,2,22,4,162,84,2,0,4,2,0,32,14,8,44,12,0,396,790
花蓮縣,花蓮市,民享里,0,10,10,104,4,712,360,2,2,20,12,18,172,52,84,250,62,6,2304,4184
花蓮縣,花蓮市,民勤里,2,8,0,114,2,786,482,2,0,10,4,4,148,78,94,358,96,14,2332,4534
花蓮縣,花蓮市,民孝里,4,14,2,108,6,786,442,0,2,16,16,18,182,78,88,284,102,14,2806,4968
花蓮縣,花蓮市,民德里,0,6,6,74,0,438,238,0,0,6,4,6,72,28,52,198,40,6,1062,2236
花蓮縣,花蓮市,民心里,0,2,0,16,2,276,86,2,0,12,12,4,56,10,34,94,8,6,664,1284
花蓮縣,花蓮市,民意里,4,2,4,34,6,322,204,0,2,14,8,12,86,32,46,126,92,2,1678,2674
花蓮縣,花蓮市,民政里,4,18,2,140,4,1030,434,2,4,18,8,8,182,78,106,320,112,26,2702,5198
花蓮縣,花蓮市,民族里,0,0,0,10,0,156,60,0,0,0,0,0,24,0,16,48,18,4,318,654
花蓮縣,花蓮市,民有里,2,12,0,16,0,238,84,0,0,0,0,0,32,4,16,56,8,2,392,862
花蓮縣,花蓮市,民樂里,2,6,0,18,2,188,64,0,0,0,4,2,30,14,18,52,16,2,440,858
花蓮縣,花蓮市,民權里,0,4,0,14,0,104,54,2,0,0,2,2,20,6,10,42,14,0,288,562
花蓮縣,花蓮市,民生里,0,4,4,34,0,436,144,0,0,4,4,8,50,20,34,92,20,2,684,1540
花蓮縣,花蓮市,民立里,0,8,0,70,2,388,206,2,0,0,6,2,76,44,68,172,54,4,986,2088
花蓮縣,花蓮市,民運里,6,14,0,80,4,572,258,0,6,8,10,14,96,38,44,194,34,0,1374,2752
花蓮縣,萬榮鄉,明利村,2,6,0,6,0,106,30,0,0,0,4,2,12,14,10,26,2,6,558,784
花蓮縣,萬榮鄉,紅葉村,0,2,26,6,2,134,40,0,2,2,6,2,30,20,14,36,8,2,890,1222
花蓮縣,萬榮鄉,萬榮村,2,6,4,4,0,124,32,2,2,8,2,2,12,10,4,34,6,2,726,982
花蓮縣,萬榮鄉,西林村,0,6,0,34,0,166,34,0,0,2,8,4,30,10,16,36,10,4,998,1358
花蓮縣,萬榮鄉,見晴村,4,4,0,18,0,44,22,0,0,2,6,0,12,20,6,26,0,2,456,622
花蓮縣,萬榮鄉,馬遠村,2,2,0,10,2,160,40,0,4,0,12,2,32,18,12,44,10,10,816,1176
花蓮縣,豐濱鄉,新社村,0,4,2,4,0,98,24,2,0,2,2,30,18,6,2,14,2,0,354,564
花蓮縣,豐濱鄉,港口村,2,4,2,12,0,180,44,0,0,0,4,0,10,8,12,38,2,4,520,842
花蓮縣,豐濱鄉,磯崎村,0,2,0,10,0,56,22,0,0,0,6,0,10,4,6,0,4,0,308,428
花蓮縣,豐濱鄉,豐濱村,20,6,2,18,6,284,62,4,0,0,12,12,66,16,12,36,8,0,1172,1736
花蓮縣,豐濱鄉,靜浦村,2,6,2,4,0,80,14,0,0,2,0,4,16,4,4,24,0,2,508,672
花蓮縣,鳳林鎮,北林里,4,4,2,6,0,262,40,2,2,0,6,4,24,2,8,20,6,0,330,722
花蓮縣,鳳林鎮,南平里,0,2,0,8,0,206,42,2,0,6,2,2,18,2,4,24,12,4,368,702
花蓮縣,鳳林鎮,大榮里,2,2,6,20,4,454,88,4,2,2,16,10,46,4,24,80,10,0,844,1618
花蓮縣,鳳林鎮,山興里,0,2,2,6,2,96,22,2,0,0,2,6,28,16,4,44,2,0,424,658
花蓮縣,鳳林鎮,林榮里,0,2,6,12,0,220,64,2,0,2,2,2,30,16,28,46,10,0,654,1096
花蓮縣,鳳林鎮,森榮里,0,2,0,0,0,10,8,0,0,2,0,0,4,0,0,4,2,0,104,136
花蓮縣,鳳林鎮,長橋里,4,4,0,20,0,292,72,2,0,0,12,4,28,8,22,50,4,0,684,1206
花蓮縣,鳳林鎮,鳳仁里,0,2,2,20,4,388,86,2,0,0,6,4,40,6,18,98,18,0,904,1598
花蓮縣,鳳林鎮,鳳信里,12,4,4,22,2,314,94,0,2,4,6,8,54,6,10,72,22,0,1088,1724
花蓮縣,鳳林鎮,鳳智里,0,6,2,24,2,298,102,4,2,6,10,4,46,8,28,90,12,0,902,1546
花蓮縣,鳳林鎮,鳳禮里,4,2,0,12,0,210,38,0,2,0,2,4,10,0,6,70,2,6,486,854
花蓮縣,鳳林鎮,鳳義里,2,2,0,8,4,164,30,0,0,0,8,4,20,8,14,36,2,0,538,840
