縣市,行政區別,村里別,民主進步黨,台灣團結聯盟,時代力量,大愛憲改聯盟,綠黨社會民主黨聯盟,台灣獨立黨,無黨團結聯盟,新黨,健保免費連線,樹黨,親民黨,自由台灣黨,和平鴿聯盟黨,軍公教聯盟黨,民國黨,信心希望聯盟,中華統一促進黨,中國國民黨,不分區政黨有效票數A
花蓮縣,花蓮市,國治里,340,30,42,0,38,2,2,72,2,4,60,6,2,10,6,46,6,446,1114
花蓮縣,花蓮市,國盛里,1192,74,160,6,104,10,20,170,8,18,334,12,16,40,34,148,22,1640,4008
花蓮縣,花蓮市,國福里,472,20,50,6,24,10,8,38,2,6,150,4,20,12,20,34,8,630,1514
花蓮縣,花蓮市,國聯里,1170,46,128,2,70,2,16,174,10,26,286,18,10,34,60,66,14,1194,3326
花蓮縣,花蓮市,國興里,1174,48,204,6,196,10,8,326,10,26,352,8,6,66,50,166,26,1894,4576
花蓮縣,花蓮市,國華里,926,44,154,4,82,6,6,130,6,6,180,10,4,28,28,76,20,1124,2834
花蓮縣,花蓮市,國裕里,1472,68,198,2,132,10,8,236,14,20,392,14,6,50,78,164,20,2018,4902
花蓮縣,花蓮市,國防里,290,16,52,0,22,0,2,58,4,6,70,0,2,14,2,28,2,336,904
花蓮縣,花蓮市,國風里,1254,62,176,0,102,4,10,230,14,18,246,22,8,52,48,118,34,1510,3908
花蓮縣,花蓮市,國魂里,818,24,152,12,72,4,2,130,6,14,178,4,2,30,30,108,8,844,2438
花蓮縣,花蓮市,民享里,724,18,156,4,92,8,4,230,10,26,240,2,12,64,48,172,24,1422,3256
花蓮縣,花蓮市,民勤里,768,42,198,0,154,8,2,310,12,36,242,6,8,46,50,314,18,1658,3872
花蓮縣,花蓮市,民孝里,880,34,152,2,110,12,20,228,8,24,334,16,22,76,50,216,22,1868,4074
花蓮縣,花蓮市,民德里,502,22,106,2,96,0,6,148,2,16,96,2,0,20,14,134,6,782,1954
花蓮縣,花蓮市,民心里,362,24,30,0,34,10,4,46,10,10,120,8,2,14,58,28,0,368,1128
花蓮縣,花蓮市,民意里,354,24,72,0,54,2,8,178,2,10,222,6,6,32,52,126,10,1292,2450
花蓮縣,花蓮市,民政里,1036,52,168,2,174,4,16,308,4,20,248,12,8,62,38,232,34,1776,4194
花蓮縣,花蓮市,民族里,178,10,16,0,14,0,0,40,2,2,34,0,0,0,0,14,0,254,564
花蓮縣,花蓮市,民有里,302,12,14,0,20,2,6,26,2,6,62,0,0,0,6,14,2,272,746
花蓮縣,花蓮市,民樂里,158,6,34,0,36,0,8,50,0,2,52,0,0,14,14,56,2,276,708
花蓮縣,花蓮市,民權里,92,14,26,2,24,0,0,32,0,0,40,0,0,2,4,8,4,230,478
