行政區別,村里別,吳香蘭 Hisa‧Sakay,田韻馨,程美蓮,簡智隆,連一龍,金淑敏,高小成 Haisul．Tanapima,吳香蘭 Hisa‧Sakay_黨籍,田韻馨_黨籍,程美蓮_黨籍,簡智隆_黨籍,連一龍_黨籍,金淑敏_黨籍,高小成 Haisul．Tanapima_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
光復鄉,西富村,4.0,,,6.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,5,0,5,9,0,1,1
卓溪鄉,卓清村,,,,,,640.0,542.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,591,26,617,900,0,1,1
卓溪鄉,卓溪村,,,,,,538.0,330.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,434,22,456,613,0,1,1
卓溪鄉,古風村,,,,,,584.0,572.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,578,21,599,791,0,1,1
卓溪鄉,太平村,,,,,,360.0,572.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,466,16,482,655,0,1,1
卓溪鄉,崙山村,,,,,,332.0,326.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,329,16,345,472,0,1,1
卓溪鄉,立山村,,,,,,638.0,776.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,707,21,728,892,0,1,1
吉安鄉,仁和村,,44.0,62.0,,32.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,69,1,70,156,0,1,2
吉安鄉,仁安村,,14.0,14.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,17,0,17,31,0,1,2
吉安鄉,仁里村,,22.0,34.0,,18.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,37,2,39,80,0,1,2
吉安鄉,光華村,,34.0,54.0,,18.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,53,2,55,95,0,1,2
吉安鄉,勝安村,,8.0,8.0,,8.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,12,3,15,58,0,1,2
吉安鄉,北昌村,,32.0,30.0,,16.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,39,2,41,107,0,1,2
吉安鄉,南昌村,,24.0,30.0,,20.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,37,2,39,83,0,1,2
吉安鄉,南華村,,46.0,46.0,,60.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,76,3,79,138,0,1,2
吉安鄉,吉安村,,50.0,70.0,,40.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,80,3,83,161,0,1,2
吉安鄉,太昌村,,32.0,54.0,,44.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,65,4,69,169,0,1,2
吉安鄉,宜昌村,,24.0,26.0,,8.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,29,0,29,75,0,1,2
吉安鄉,干城村,,52.0,36.0,,62.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,75,5,80,150,0,1,2
吉安鄉,慶豐村,,80.0,98.0,,90.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,134,6,140,269,0,1,2
吉安鄉,東昌村,,28.0,60.0,,26.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,57,1,58,118,0,1,2
吉安鄉,永安村,,26.0,32.0,,22.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,40,2,42,99,0,1,2
吉安鄉,永興村,,50.0,38.0,,18.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,53,6,59,142,0,1,2
吉安鄉,福興村,,98.0,98.0,,114.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,155,7,162,301,0,1,2
吉安鄉,稻香村,,24.0,20.0,,12.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,28,0,28,65,0,1,2
壽豐鄉,光榮村,,4.0,2.0,,10.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,8,2,10,18,0,1,2
壽豐鄉,共和村,,8.0,2.0,,4.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,7,0,7,10,0,1,2
壽豐鄉,壽豐村,,8.0,14.0,,8.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,15,2,17,28,0,1,2
壽豐鄉,平和村,,10.0,4.0,,10.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,12,0,12,19,0,1,2
壽豐鄉,志學村,,46.0,14.0,,42.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,51,2,53,82,0,1,2
壽豐鄉,月眉村,,10.0,10.0,,2.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,11,0,11,16,0,1,2
壽豐鄉,樹湖村,,2.0,2.0,,0.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,2,0,2,9,0,1,2
壽豐鄉,水璉村,,8.0,6.0,,2.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,8,1,9,13,0,1,2
壽豐鄉,池南村,,6.0,22.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,17,6,23,34,0,1,2
壽豐鄉,溪口村,,14.0,4.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,12,0,12,23,0,1,2
壽豐鄉,米棧村,,2.0,0.0,,0.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,1,0,1,1,0,1,2
壽豐鄉,豐坪村,,4.0,0.0,,2.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,3,0,3,6,0,1,2
壽豐鄉,豐山村,,12.0,14.0,,10.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,18,1,19,32,0,1,2
壽豐鄉,豐裡村,,6.0,10.0,,12.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,14,1,15,27,0,1,2
壽豐鄉,鹽寮村,,14.0,8.0,,2.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,12,0,12,15,0,1,2
富里鄉,吳江村,,,,,,24.0,10.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,17,0,17,30,0,1,1
富里鄉,學田村,,,,,,2.0,8.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,5,1,6,8,0,1,1
富里鄉,富南村,,,,,,0.0,4.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,2,0,2,3,0,1,1
富里鄉,富里村,,,,,,24.0,4.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,14,3,17,28,0,1,1
富里鄉,新興村,,,,,,10.0,2.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,6,1,7,15,0,1,1
富里鄉,明里村,,,,,,2.0,10.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,6,0,6,8,0,1,1
富里鄉,東里村,,,,,,12.0,4.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,8,0,8,17,0,1,1
富里鄉,永豐村,,,,,,6.0,0.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,3,0,3,5,0,1,1
富里鄉,石牌村,,,,,,4.0,4.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,4,0,4,11,0,1,1
富里鄉,竹田村,,,,,,8.0,6.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,7,0,7,10,0,1,1
富里鄉,羅山村,,,,,,4.0,0.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,2,0,2,4,0,1,1
富里鄉,萬寧村,,,,,,0.0,2.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,1,0,1,1,0,1,1
富里鄉,豐南村,,,,,,2.0,2.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,2,2,4,8,0,1,1
新城鄉,佳林村,,10.0,36.0,,24.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,35,2,37,63,0,1,2
新城鄉,北埔村,,66.0,122.0,,88.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,138,5,143,266,0,1,2
新城鄉,嘉新村,,52.0,52.0,,40.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,72,8,80,148,0,1,2
新城鄉,嘉里村,,110.0,98.0,,110.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,159,8,167,331,0,1,2
新城鄉,大漢村,,46.0,62.0,,70.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,89,7,96,223,0,1,2
新城鄉,康樂村,,48.0,112.0,,84.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,122,5,127,228,0,1,2
新城鄉,新城村,,30.0,34.0,,26.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,45,8,53,94,0,1,2
新城鄉,新秀村,,34.0,46.0,,48.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,64,3,67,136,0,1,2
新城鄉,順安村,,56.0,28.0,,28.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,56,3,59,83,0,1,2
玉里鎮,三民里,,,,,,12.0,4.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,8,1,9,31,0,1,1
玉里鎮,中城里,,,,,,136.0,92.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,114,3,117,204,0,1,1
玉里鎮,啟模里,,,,,,36.0,22.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,29,3,32,75,0,1,1
玉里鎮,國武里,,,,,,4.0,6.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,5,0,5,15,0,1,1
玉里鎮,大禹里,,,,,,34.0,24.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,29,0,29,46,0,1,1
玉里鎮,德武里,,,,,,8.0,8.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,8,0,8,10,0,1,1
玉里鎮,春日里,,,,,,6.0,2.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,4,0,4,8,0,1,1
玉里鎮,東豐里,,,,,,6.0,20.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,13,0,13,25,0,1,1
玉里鎮,松浦里,,,,,,2.0,10.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,6,0,6,13,0,1,1
玉里鎮,樂合里,,,,,,6.0,2.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,4,0,4,7,0,1,1
玉里鎮,永昌里,,,,,,44.0,20.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,32,1,33,67,0,1,1
玉里鎮,泰昌里,,,,,,14.0,24.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,19,1,20,46,0,1,1
玉里鎮,源城里,,,,,,8.0,4.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,6,0,6,17,0,1,1
玉里鎮,觀音里,,,,,,20.0,14.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,17,0,17,32,0,1,1
玉里鎮,長良里,,,,,,38.0,8.0,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,23,1,24,41,0,1,1
瑞穗鄉,奇美村,28.0,,,36.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,32,1,33,68,0,1,1
瑞穗鄉,富民村,32.0,,,36.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,34,1,35,59,0,1,1
瑞穗鄉,富源村,4.0,,,0.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,2,1,3,10,0,1,1
瑞穗鄉,富興村,2.0,,,0.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,1,0,1,2,0,1,1
瑞穗鄉,瑞北村,18.0,,,28.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,23,1,24,35,0,1,1
瑞穗鄉,瑞祥村,28.0,,,42.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,35,2,37,51,0,1,1
瑞穗鄉,瑞穗村,26.0,,,24.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,25,2,27,47,0,1,1
瑞穗鄉,瑞美村,16.0,,,46.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,31,3,34,57,0,1,1
瑞穗鄉,瑞良村,12.0,,,0.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,6,0,6,9,0,1,1
瑞穗鄉,舞鶴村,30.0,,,16.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,23,0,23,32,0,1,1
瑞穗鄉,鶴岡村,12.0,,,2.0,,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,7,1,8,17,0,1,1
秀林鄉,佳民村,,372.0,340.0,,364.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,538,7,545,777,0,1,2
秀林鄉,和平村,,264.0,702.0,,552.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,759,26,785,1011,0,1,2
秀林鄉,富世村,,802.0,628.0,,786.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,1108,32,1140,1482,0,1,2
秀林鄉,崇德村,,338.0,768.0,,452.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,779,14,793,1046,0,1,2
秀林鄉,文蘭村,,312.0,388.0,,762.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,731,25,756,989,0,1,2
秀林鄉,景美村,,462.0,1000.0,,652.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,1057,47,1104,1524,0,1,2
秀林鄉,水源村,,456.0,556.0,,528.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,770,39,809,1019,0,1,2
秀林鄉,秀林村,,384.0,838.0,,896.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,1059,34,1093,1544,0,1,2
秀林鄉,銅門村,,546.0,578.0,,414.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,0,769,37,806,1080,0,1,2
花蓮市,主信里,,0.0,6.0,,4.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,33,5,0,5,14,0,1,2
花蓮市,主力里,,4.0,28.0,,12.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,53,7,0,7,12,0,1,2
花蓮市,主勤里,,4.0,10.0,,4.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,31,9,0,9,14,0,1,2
花蓮市,主和里,,16.0,4.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,37,3,0,3,8,0,1,2
花蓮市,主商里,,0.0,0.0,,0.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,30,0,0,0,3,0,1,2
花蓮市,主學里,,10.0,6.0,,2.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,40,6,0,6,16,0,1,2
花蓮市,主安里,,12.0,14.0,,6.0,,,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,46,9,0,9,25,0,1,2
