行政區別,村里別,劉曉玫,徐榛蔚,黄師鵬,劉曉玫_黨籍,徐榛蔚_黨籍,黄師鵬_黨籍
秀林鄉,文蘭村,236,1310,16,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
秀林鄉,景美村,466,1924,22,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
秀林鄉,水源村,268,1426,12,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
秀林鄉,秀林村,520,1884,20,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
秀林鄉,銅門村,260,1490,16,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主信里,260,428,4,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主力里,1086,1782,108,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主勤里,380,630,38,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主和里,1234,2406,96,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主商里,352,406,20,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主學里,758,1406,102,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主安里,810,1858,96,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主工里,260,396,22,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主權里,1868,3986,186,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主睦里,280,412,26,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主義里,234,420,10,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主計里,314,580,42,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,主農里,1336,2794,116,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國光里,438,884,34,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國威里,616,960,38,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國安里,202,410,24,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國富里,1844,3702,198,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國強里,634,1428,66,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國慶里,462,834,62,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國治里,366,680,38,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國盛里,1062,2598,110,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國福里,420,1242,62,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國聯里,1092,1872,108,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國興里,1242,3068,176,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國華里,804,1716,100,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國裕里,1430,3314,154,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國防里,302,608,32,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國風里,1242,2588,134,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,國魂里,738,1416,78,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民主里,176,450,20,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民享里,802,2404,104,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民勤里,962,2530,128,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民孝里,1008,2986,132,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民德里,590,1144,80,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民心里,376,692,60,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民意里,362,1934,30,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民政里,1232,2950,154,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民族里,178,342,24,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民有里,262,488,40,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民樂里,210,472,16,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民權里,108,374,22,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民生里,492,732,30,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民立里,498,1016,62,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
花蓮市,民運里,808,1460,88,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
萬榮鄉,明利村,146,800,6,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
萬榮鄉,紅葉村,270,1346,42,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
萬榮鄉,萬榮村,140,1000,10,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
萬榮鄉,西林村,234,1214,22,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
萬榮鄉,見晴村,100,736,6,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
萬榮鄉,馬遠村,244,1314,28,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
豐濱鄉,新社村,162,812,28,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
豐濱鄉,港口村,278,744,32,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
豐濱鄉,磯崎村,158,578,16,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
豐濱鄉,豐濱村,488,2034,58,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
豐濱鄉,靜浦村,172,774,26,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,北林里,232,522,6,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,南平里,182,484,22,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,大榮里,376,1214,40,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,山興里,86,610,22,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,林榮里,214,860,22,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,森榮里,6,118,2,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,長橋里,298,910,16,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,鳳仁里,402,1248,32,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,鳳信里,346,1374,40,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,鳳智里,320,1298,42,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,鳳禮里,246,634,24,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
鳳林鎮,鳳義里,128,710,4,民主進步黨,中國國民黨,無黨籍及未經政黨推薦
