縣市,行政區別,村里別,小民參政歐巴桑聯盟,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,不分區政黨有效票數A
花蓮縣,吉安鄉,稻香村,40,12,12,934,2,26,2,14,28,16,6,6,892,2,76,2208,4276
花蓮縣,壽豐鄉,光榮村,2,4,6,162,2,2,2,2,18,2,0,2,158,2,12,602,978
花蓮縣,壽豐鄉,共和村,8,0,2,152,0,2,2,2,6,2,6,2,226,2,16,538,966
花蓮縣,壽豐鄉,壽豐村,16,0,4,360,4,8,4,8,24,10,6,0,492,8,38,1044,2026
花蓮縣,壽豐鄉,平和村,10,4,6,334,0,8,0,8,16,4,10,2,518,4,34,786,1744
花蓮縣,壽豐鄉,志學村,22,8,4,648,2,22,0,20,60,22,18,6,884,8,98,1480,3302
花蓮縣,壽豐鄉,月眉村,2,4,4,124,4,2,0,2,2,10,4,4,114,2,6,662,946
花蓮縣,壽豐鄉,樹湖村,4,2,0,92,0,4,0,4,4,6,0,0,106,2,4,192,420
花蓮縣,壽豐鄉,水璉村,2,4,2,92,0,4,0,0,4,10,6,10,180,0,8,436,758
花蓮縣,壽豐鄉,池南村,6,0,0,130,2,2,0,4,18,4,4,0,232,2,14,466,884
花蓮縣,壽豐鄉,溪口村,12,2,4,184,4,2,0,6,12,10,2,2,290,2,22,646,1200
花蓮縣,壽豐鄉,米棧村,0,0,0,34,0,2,0,0,6,0,0,0,62,2,4,230,340
花蓮縣,壽豐鄉,豐坪村,4,0,2,166,0,10,0,0,8,8,4,4,232,8,8,556,1010
花蓮縣,壽豐鄉,豐山村,8,4,2,430,2,26,2,2,34,10,2,6,552,4,40,1046,2170
花蓮縣,壽豐鄉,豐裡村,4,2,4,354,0,2,0,4,10,14,4,4,378,2,26,788,1596
花蓮縣,壽豐鄉,鹽寮村,4,4,0,106,0,2,0,4,8,0,0,6,128,2,12,306,582
花蓮縣,富里鄉,吳江村,2,0,0,54,0,6,0,2,0,6,2,0,84,0,2,262,420
花蓮縣,富里鄉,學田村,8,2,0,82,0,6,0,2,2,6,2,2,236,0,6,362,716
花蓮縣,富里鄉,富南村,0,4,2,52,0,0,0,2,4,2,2,2,118,2,2,246,438
花蓮縣,富里鄉,富里村,2,4,2,212,2,4,4,4,10,12,2,8,346,2,28,726,1368
花蓮縣,富里鄉,新興村,0,2,0,92,2,2,2,4,2,0,4,0,102,0,2,350,564
花蓮縣,富里鄉,明里村,4,0,0,56,0,0,0,0,0,0,0,0,82,0,4,232,378
花蓮縣,富里鄉,東里村,8,0,4,152,0,6,2,4,14,8,0,2,214,6,4,490,914
花蓮縣,富里鄉,永豐村,4,0,0,52,0,2,0,4,10,4,0,0,102,2,2,256,438
