行政區別,村里別,徐榛蔚,谷辣斯．尤達卡 Kolas Yotaka,黄師鵬,徐榛蔚_黨籍,谷辣斯．尤達卡 Kolas Yotaka_黨籍,黄師鵬_黨籍,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
富里鄉,富南村,418,102,12,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,266,6,272,449,0,1,2
富里鄉,富里村,1132,416,34,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,791,13,804,1279,0,1,2
富里鄉,新興村,504,206,8,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,359,12,371,580,0,1,2
富里鄉,明里村,430,108,6,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,272,4,276,348,0,1,2
富里鄉,東里村,782,296,26,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,552,16,568,942,0,1,2
富里鄉,永豐村,448,92,10,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,275,6,281,422,0,1,2
富里鄉,石牌村,876,234,22,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,566,13,579,844,0,1,2
富里鄉,竹田村,1050,266,36,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,676,17,693,1016,0,1,2
富里鄉,羅山村,444,108,14,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,283,7,290,422,0,1,2
富里鄉,萬寧村,544,136,18,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,349,1,350,579,0,1,2
富里鄉,豐南村,556,146,8,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,355,13,368,575,0,1,2
新城鄉,佳林村,726,358,36,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,560,13,573,936,0,1,2
新城鄉,北埔村,2086,1098,114,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1649,51,1700,3040,0,1,2
新城鄉,嘉新村,1016,310,26,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,676,33,709,1185,0,1,2
新城鄉,嘉里村,2460,1108,114,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1841,55,1896,3634,0,1,2
新城鄉,大漢村,1682,736,76,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1247,37,1284,2387,0,1,2
新城鄉,康樂村,1786,864,68,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1359,33,1392,2330,0,1,2
新城鄉,新城村,1028,488,46,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,781,33,814,1165,0,1,2
新城鄉,新秀村,1028,514,56,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,799,20,819,1512,0,1,2
新城鄉,順安村,622,520,40,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,591,13,604,838,0,1,2
玉里鎮,三民里,640,288,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,474,18,492,841,0,1,2
玉里鎮,中城里,3904,1862,154,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,2960,57,3017,4876,0,1,2
玉里鎮,啟模里,1130,460,32,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,811,25,836,1489,0,1,2
玉里鎮,國武里,854,480,28,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,681,20,701,1090,0,1,2
玉里鎮,大禹里,900,254,22,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,588,25,613,972,0,1,2
玉里鎮,德武里,680,252,10,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,471,13,484,717,0,1,2
玉里鎮,春日里,622,334,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,488,15,503,807,0,1,2
玉里鎮,東豐里,450,186,14,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,325,17,342,489,0,1,2
玉里鎮,松浦里,972,448,16,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,718,29,747,1373,0,1,2
玉里鎮,樂合里,542,538,14,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,547,8,555,920,0,1,2
玉里鎮,永昌里,820,298,16,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,567,18,585,1154,0,1,2
玉里鎮,泰昌里,760,238,26,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,512,15,527,1210,0,1,2
玉里鎮,源城里,1080,322,32,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,717,18,735,1180,0,1,2
玉里鎮,觀音里,1084,424,18,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,763,35,798,1452,0,1,2
玉里鎮,長良里,478,154,14,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,323,10,333,586,0,1,2
瑞穗鄉,奇美村,338,58,2,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,199,5,204,311,0,1,2
瑞穗鄉,富民村,806,154,10,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,485,17,502,794,0,1,2
瑞穗鄉,富源村,602,214,26,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,421,18,439,701,0,1,2
瑞穗鄉,富興村,458,198,16,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,336,15,351,559,0,1,2
瑞穗鄉,瑞北村,522,182,6,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,355,6,361,553,0,1,2
瑞穗鄉,瑞祥村,738,312,30,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,540,14,554,877,0,1,2
瑞穗鄉,瑞穗村,1528,652,68,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1124,16,1140,1742,0,1,2
瑞穗鄉,瑞美村,1632,632,70,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1167,17,1184,1795,0,1,2
瑞穗鄉,瑞良村,502,172,18,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,346,9,355,491,0,1,2
瑞穗鄉,舞鶴村,796,314,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,565,12,577,896,0,1,2
瑞穗鄉,鶴岡村,824,308,10,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,571,17,588,831,0,1,2
秀林鄉,佳民村,1086,350,18,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,727,9,736,1047,0,1,2
秀林鄉,和平村,1582,692,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1147,24,1171,1603,0,1,2
秀林鄉,富世村,1620,1008,30,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1329,31,1360,1878,0,1,2
秀林鄉,崇德村,1540,406,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,983,26,1009,1404,0,1,2
秀林鄉,文蘭村,1276,388,14,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,839,12,851,1109,0,1,2
秀林鄉,景美村,1668,780,26,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1237,37,1274,1795,0,1,2
秀林鄉,水源村,1344,436,22,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,901,25,926,1209,0,1,2
秀林鄉,秀林村,1588,738,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1173,33,1206,1768,0,1,2
秀林鄉,銅門村,1262,458,20,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,870,19,889,1195,0,1,2
花蓮市,主信里,392,274,30,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,348,11,359,636,0,1,2
花蓮市,主力里,1366,946,128,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1220,34,1254,2483,0,1,2
花蓮市,主勤里,464,312,28,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,402,14,416,730,0,1,2
花蓮市,主和里,1840,1014,142,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1498,44,1542,2756,0,1,2
花蓮市,主商里,270,254,28,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,276,7,283,497,0,1,2
花蓮市,主學里,894,618,100,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,806,29,835,1739,0,1,2
花蓮市,主安里,1390,752,96,中國國民黨,民主進步黨,無黨籍及未經政黨推薦,0,1119,26,1145,2339,0,1,2
